round,sample,wall_ms,read_bytes,write_bytes,effective_MB_s,effective_Mb_s
0,0,0.216003,262656,16416,1291.9820558047804,10335.856446438243
0,1,0.193474,262656,16416,1442.4263725358446,11539.410980286757
0,2,0.08877,262656,16416,3143.764785400473,25150.118283203785
0,3,0.11139299999999999,262656,16416,2505.2920740082413,20042.33659206593
0,4,0.07923300000000001,262656,16416,3522.1687933058197,28177.350346446558
0,5,0.07584099999999999,262656,16416,3679.698316214185,29437.58652971348
0,6,0.183651,262656,16416,1519.5778950291585,12156.623160233268
0,7,0.189634,262656,16416,1471.6348334159486,11773.078667327589
0,8,0.18640299999999999,262656,16416,1497.143286320499,11977.146290563993
0,9,0.296356,262656,16416,941.6782518322557,7533.4260146580455
0,10,0.5885830000000001,262656,16416,474.14213458424723,3793.137076673978
0,11,0.087457,262656,16416,3190.9624158157726,25527.69932652618
0,12,0.11475300000000001,262656,16416,2431.9364199628767,19455.491359703014
0,13,0.07875299999999999,262656,16416,3543.6364328977947,28349.091463182358
0,14,0.077057,262656,16416,3621.6307408801276,28973.04592704102
0,15,0.192003,262656,16416,1453.477289417353,11627.818315338824
0,16,0.085537,262656,16416,3262.588119761039,26100.70495808831
0,17,0.106529,262656,16416,2619.6810258239543,20957.448206591635
0,18,0.07846500000000001,262656,16416,3556.643089275473,28453.144714203783
0,19,0.077025,262656,16416,3623.1353456669913,28985.08276533593
0,20,0.08829,262656,16416,3160.85626911315,25286.8501529052
0,21,0.20608200000000002,262656,16416,1354.1794043147872,10833.435234518298
0,22,0.087617,262656,16416,3185.135304792449,25481.082438339592
0,23,0.10717,262656,16416,2604.0123168797236,20832.09853503779
0,24,0.078881,262656,16416,3537.886182984495,28303.08946387596
0,25,0.074945,262656,16416,3723.6907065181135,29789.52565214491
0,26,0.16413,262656,16416,1700.3107292999453,13602.485834399562
0,27,0.081665,262656,16416,3417.277903630686,27338.22322904549
0,28,0.10381,262656,16416,2688.295925248049,21506.367401984393
0,29,0.078401,262656,16416,3559.5464343567046,28476.371474853637
0,30,0.075873,262656,16416,3678.1463761812506,29425.171009450005
0,31,0.07449700000000001,262656,16416,3746.0837349154995,29968.669879323996
0,32,0.197634,262656,16416,1412.0647257050912,11296.51780564073
0,33,0.086561,262656,16416,3223.992329108952,25791.938632871617
0,34,0.107266,262656,16416,2601.6818003840917,20813.454403072734
0,35,0.077665,262656,16416,3593.278825725874,28746.23060580699
0,36,0.07600100000000001,262656,16416,3671.9516848462513,29375.61347877001
0,37,0.07596900000000001,262656,16416,3673.498400663428,29387.987205307425
0,38,0.17385799999999998,262656,16416,1605.1720369496945,12841.376295597556
0,39,0.08694500000000001,262656,16416,3209.7532923112312,25678.02633848985
0,40,0.108193,262656,16416,2579.390533583504,20635.12426866803
0,41,0.078305,262656,16416,3563.910350552327,28511.282804418617
0,42,0.07552099999999999,262656,16416,3695.290051773679,29562.32041418943
0,43,0.328196,262656,16416,850.321149556972,6802.569196455776
0,44,0.086689,262656,16416,3219.2319671469277,25753.85573717542
0,45,0.10736200000000001,262656,16416,2599.3554516495597,20794.843613196477
0,46,0.077761,262656,16416,3588.8427360759247,28710.741888607397
0,47,0.076417,262656,16416,3651.9622597066095,29215.698077652876
0,48,0.075041,262656,16416,3718.926986580669,29751.415892645353
0,49,0.16656200000000002,262656,16416,1675.4842040801623,13403.873632641298
0,50,0.085473,262656,16416,3265.0310624407707,26120.248499526166
0,51,0.105826,262656,16416,2637.083514448245,21096.66811558596
0,52,0.07721700000000001,262656,16416,3614.126422937954,28913.01138350363
0,53,0.075009,262656,16416,3720.513538375395,29764.10830700316
0,54,0.215971,262656,16416,1292.173486255099,10337.387890040793
0,55,0.086657,262656,16416,3220.4207392362996,25763.365913890397
0,56,0.11004900000000001,262656,16416,2535.888558732928,20287.108469863422
0,57,0.080193,262656,16416,3480.004489169878,27840.035913359025
0,58,0.07750499999999999,262656,16416,3600.6967292432746,28805.573833946197
0,59,0.076289,262656,16416,3658.089632843529,29264.717062748234
0,60,0.179075,262656,16416,1558.4084880636603,12467.267904509283
0,61,0.082913,262656,16416,3365.841303535031,26926.730428280247
0,62,0.10630500000000001,262656,16416,2625.201072386059,21001.60857908847
0,63,0.078177,262656,16416,3569.7455773437205,28557.964618749764
0,64,0.076865,262656,16416,3630.6771612567486,29045.41729005399
0,65,0.200387,262656,16416,1392.6651928518318,11141.321542814654
0,66,0.087009,262656,16416,3207.39233872358,25659.13870978864
0,67,0.109954,262656,16416,2538.0795605435,20304.636484348
0,68,0.07942500000000001,262656,16416,3513.654390934844,28109.23512747875
0,69,0.076289,262656,16416,3658.089632843529,29264.717062748234
0,70,0.075041,262656,16416,3718.926986580669,29751.415892645353
0,71,0.15862600000000002,262656,16416,1759.3080579476252,14074.464463581002
0,72,0.080385,262656,16416,3471.6924799402877,27773.539839522302
0,73,0.105473,262656,16416,2645.909379651664,21167.275037213312
0,74,0.077633,262656,16416,3594.7599603261506,28758.079682609205
0,75,0.074209,262656,16416,3760.62202697786,30084.97621582288
0,76,0.850506,262656,16416,328.12466931450217,2624.9973545160174
0,77,0.089154,262656,16416,3130.2241066020592,25041.792852816474
0,78,0.08054499999999999,262656,16416,3464.7960767272953,27718.368613818362
0,79,0.078433,262656,16416,3558.094169545982,28464.753356367855
0,80,0.07670500000000001,262656,16416,3638.2504399973923,29106.00351997914
0,81,0.075265,262656,16416,3707.858898558427,29662.871188467416
0,82,0.07510499999999999,262656,16416,3715.7579388855606,29726.063511084485
0,83,0.07491300000000001,262656,16416,3725.2813263385524,29802.25061070842
0,84,0.10217699999999999,262656,16416,2731.2604597903637,21850.08367832291
0,85,0.07856099999999999,262656,16416,3552.2969412303814,28418.37552984305
0,86,0.075361,262656,16416,3703.1355741033162,29625.08459282653
0,87,0.089057,262656,16416,3133.633515613596,25069.06812490877
0,88,0.126594,262656,16416,2204.4646665718756,17635.717332575005
0,89,0.079009,262656,16416,3532.1545646698473,28257.23651735878
0,90,0.075617,262656,16416,3690.5986749011463,29524.78939920917
0,91,0.095745,262656,16416,2914.7422841923863,23317.93827353909
0,92,0.077761,262656,16416,3588.8427360759247,28710.741888607397
0,93,0.104801,262656,16416,2662.875354242803,21303.002833942424
0,94,0.12093,262656,16416,2307.715207144629,18461.72165715703
0,95,2.26454,262656,16416,123.2356240119406,985.8849920955248
0,96,0.085858,262656,16416,3250.390179132987,26003.121433063898
0,97,0.081313,262656,16416,3432.071132537233,27456.569060297865
0,98,0.11830600000000001,262656,16416,2358.8998022078335,18871.19841766267
0,99,0.09801699999999999,262656,16416,2847.1795708907644,22777.436567126115
0,100,0.078785,262656,16416,3542.197118740877,28337.576949927017
0,101,0.076641,262656,16416,3641.2886053156926,29130.30884252554
0,102,0.076353,262656,16416,3655.0233782562573,29240.18702605006
0,103,0.102082,262656,16416,2733.802237416978,21870.417899335825
0,104,0.103425,262656,16416,2698.303118201595,21586.42494561276
0,105,2.326974,262656,16416,119.92914402997197,959.4331522397757
0,106,0.088129,262656,16416,3166.630734491484,25333.04587593187
0,107,0.103521,262656,16416,2695.8008520010435,21566.406816008348
0,108,0.077601,262656,16416,3596.242316464994,28769.938531719952
0,109,0.076449,262656,16416,3650.4336224149433,29203.468979319547
0,110,0.074209,262656,16416,3760.62202697786,30084.97621582288
0,111,0.075425,262656,16416,3699.993370898243,29599.946967185944
0,112,0.075169,262656,16416,3712.5942875387464,29700.75430030997
0,113,0.075265,262656,16416,3707.858898558427,29662.871188467416
0,114,0.074849,262656,16416,3728.466646180978,29827.733169447823
0,115,0.075361,262656,16416,3703.1355741033162,29625.08459282653
0,116,0.075073,262656,16416,3717.3417873270014,29738.73429861601
0,117,0.075393,262656,16416,3701.56380565835,29612.5104452668
0,118,0.07552099999999999,262656,16416,3695.290051773679,29562.32041418943
0,119,0.076225,262656,16416,3661.161036405379,29289.288291243032
0,120,0.074656,262656,16416,3738.1054436348054,29904.843549078443
0,121,0.074337,262656,16416,3754.1466564429556,30033.173251543645
0,122,0.105058,262656,16416,2656.3612480724937,21250.88998457995
0,123,0.07868900000000001,262656,16416,3546.518573116954,28372.148584935632
0,124,0.077057,262656,16416,3621.6307408801276,28973.04592704102
0,125,0.096769,262656,16416,2883.898769233949,23071.190153871594
0,126,0.17843399999999998,262656,16416,1564.0068596792091,12512.054877433673
0,127,0.080385,262656,16416,3471.6924799402877,27773.539839522302
0,128,0.076609,262656,16416,3642.8095915623494,29142.476732498795
0,129,0.075681,262656,16416,3687.4777024616483,29499.821619693186
0,130,0.075137,262656,16416,3714.175439530458,29713.403516243663
0,131,0.075873,262656,16416,3678.1463761812506,29425.171009450005
0,132,0.110369,262656,16416,2528.536092562223,20228.288740497785
0,133,0.110242,262656,16416,2531.448994031313,20251.591952250503
0,134,0.079905,262656,16416,3492.547400037545,27940.37920030036
0,135,0.09318499999999999,262656,16416,2994.8167623544564,23958.53409883565
0,136,0.081665,262656,16416,3417.277903630686,27338.22322904549
0,137,0.07721700000000001,262656,16416,3614.126422937954,28913.01138350363
0,138,0.075489,262656,16416,3696.856495648373,29574.851965186983
0,139,0.160226,262656,16416,1741.7397925430332,13933.918340344266
0,140,0.105729,262656,16416,2639.5028800045397,21116.023040036318
0,141,0.170883,262656,16416,1633.1173961131299,13064.939168905039
0,142,0.08400099999999999,262656,16416,3322.246163736146,26577.96930988917
0,143,0.077665,262656,16416,3593.278825725874,28746.23060580699
0,144,0.075393,262656,16416,3701.56380565835,29612.5104452668
0,145,0.102145,262656,16416,2732.116109452249,21856.928875617992
0,146,0.101474,262656,16416,2750.1823127106454,22001.458501685163
0,147,0.159298,262656,16416,1751.8864015869628,14015.091212695703
0,148,0.086689,262656,16416,3219.2319671469277,25753.85573717542
0,149,0.078721,262656,16416,3545.076917213958,28360.615337711664
0,150,0.075137,262656,16416,3714.175439530458,29713.403516243663
0,151,0.102529,262656,16416,2721.8835646500015,21775.068517200012
0,152,0.101506,262656,16416,2749.315311410163,21994.522491281303
0,153,2.392542,262656,16416,116.64246646453854,933.1397317163083
0,154,0.08790500000000001,262656,16416,3174.6999601842895,25397.599681474316
0,155,0.08048100000000001,262656,16416,3467.5513475230177,27740.410780184142
0,156,0.076929,262656,16416,3627.6566704363768,29021.253363491014
0,157,0.075905,262656,16416,3676.595744680851,29412.76595744681
0,158,0.07616,262656,16416,3664.285714285714,29314.285714285714
0,159,0.145249,262656,16416,1921.3350866443143,15370.680693154514
0,160,0.849931,262656,16416,328.346654022503,2626.773232180024
0,161,0.091874,262656,16416,3037.5514291312015,24300.411433049612
0,162,0.076865,262656,16416,3630.6771612567486,29045.41729005399
0,163,0.07596900000000001,262656,16416,3673.498400663428,29387.987205307425
0,164,0.07510499999999999,262656,16416,3715.7579388855606,29726.063511084485
0,165,0.075489,262656,16416,3696.856495648373,29574.851965186983
0,166,0.074881,262656,16416,3726.8733056449564,29814.98644515965
0,167,0.140321,262656,16416,1988.8113682200099,15910.490945760079
0,168,0.08643300000000001,262656,16416,3228.766790461976,25830.13432369581
0,169,0.077921,262656,16416,3581.473543717355,28651.78834973884
0,170,0.07472100000000001,262656,16416,3734.8536555988276,29878.82924479062
0,171,0.074977,262656,16416,3722.1014444429625,29776.8115555437
0,172,0.074177,262656,16416,3762.2443614597514,30097.95489167801
0,173,0.244835,262656,16416,1139.837033103927,9118.696264831417
0,174,0.08518500000000001,262656,16416,3276.0697305863705,26208.557844690964
0,175,0.110561,262656,16416,2524.145042103454,20193.160336827634
0,176,0.077857,262656,16416,3584.4175860873142,28675.340688698514
0,177,0.076449,262656,16416,3650.4336224149433,29203.468979319547
0,178,0.161634,262656,16416,1726.5674301199008,13812.539440959206
0,179,0.084609,262656,16416,3298.372513562387,26386.980108499098
0,180,0.109505,262656,16416,2548.486370485366,20387.89096388293
0,181,0.084129,262656,16416,3317.191455978319,26537.531647826552
0,182,0.078497,262656,16416,3555.1931920965135,28441.545536772108
0,183,0.076417,262656,16416,3651.9622597066095,29215.698077652876
0,184,0.16621,262656,16416,1679.0325491847664,13432.260393478131
0,185,0.082625,262656,16416,3377.573373676248,27020.586989409985
0,186,0.104865,262656,16416,2661.250178801316,21290.001430410528
0,187,0.077601,262656,16416,3596.242316464994,28769.938531719952
0,188,0.07545700000000001,262656,16416,3698.424268126217,29587.394145009737
0,189,0.15760200000000002,262656,16416,1770.7389500133245,14165.911600106596
0,190,0.084833,262656,16416,3289.663220680631,26317.30576544505
0,191,0.107201,262656,16416,2603.25929795431,20826.07438363448
0,192,0.078369,262656,16416,3560.999885158673,28487.999081269383
0,193,0.076609,262656,16416,3642.8095915623494,29142.476732498795
0,194,0.076961,262656,16416,3626.1483088837203,29009.186471069763
0,195,0.163426,262656,16416,1707.6352599953495,13661.082079962796
0,196,0.08637,262656,16416,3231.121917332407,25848.975338659257
0,197,0.11033699999999999,262656,16416,2529.269420049485,20234.15536039588
0,198,0.082913,262656,16416,3365.841303535031,26926.730428280247
0,199,0.078049,262656,16416,3575.5999436251586,28604.79954900127
1,0,0.159042,262656,16416,1754.706303995171,14037.650431961369
1,1,0.08630499999999999,262656,16416,3233.555413938938,25868.443311511503
1,2,0.105697,262656,16416,2640.301995326263,21122.415962610103
1,3,0.078881,262656,16416,3537.886182984495,28303.08946387596
1,4,0.075777,262656,16416,3682.80612850865,29462.4490280692
1,5,0.075745,262656,16416,3684.3620040926794,29474.896032741435
1,6,0.155938,262656,16416,1789.6343418538136,14317.074734830509
1,7,0.085281,262656,16416,3272.3818904562563,26179.05512365005
1,8,0.106754,262656,16416,2614.1596567810107,20913.277254248085
1,9,0.078081,262656,16416,3574.1345525800134,28593.076420640107
1,10,0.075425,262656,16416,3699.993370898243,29599.946967185944
1,11,0.212771,262656,16416,1311.6073149066367,10492.858519253094
1,12,0.086401,262656,16416,3229.9626161734236,25839.70092938739
1,13,0.124033,262656,16416,2249.981859666379,17999.854877331032
1,14,0.078721,262656,16416,3545.076917213958,28360.615337711664
1,15,0.096289,262656,16416,2898.2749846815314,23186.19987745225
1,16,0.155842,262656,16416,1790.7367718586775,14325.89417486942
1,17,0.085505,262656,16416,3263.809133968774,26110.47307175019
1,18,0.105889,262656,16416,2635.51454825336,21084.11638602688
1,19,0.078113,262656,16416,3572.670362167629,28581.36289734103
1,20,0.075425,262656,16416,3699.993370898243,29599.946967185944
1,21,0.082274,262656,16416,3391.9828864525853,27135.863091620682
1,22,0.094593,262656,16416,2950.2394468935336,23601.91557514827
1,23,0.107681,262656,16416,2591.6549809158537,20733.23984732683
1,24,0.079553,262656,16416,3508.000955337951,28064.007642703607
1,25,0.077697,262656,16416,3591.798911154871,28734.391289238967
1,26,0.075777,262656,16416,3682.80612850865,29462.4490280692
1,27,0.157666,262656,16416,1770.0201692184746,14160.161353747797
1,28,0.084577,262656,16416,3299.620464192393,26396.963713539142
1,29,0.109665,262656,16416,2544.768157570784,20358.14526056627
1,30,0.07856099999999999,262656,16416,3552.2969412303814,28418.37552984305
1,31,0.07731299999999999,262656,16416,3609.6387412207523,28877.10992976602
1,32,0.082497,262656,16416,3382.8139205062,27062.5113640496
1,33,0.169954,262656,16416,1642.0443178742485,13136.354542993988
1,34,0.109153,262656,16416,2556.7048088462984,20453.638470770387
1,35,0.081473,262656,16416,3425.3310912817747,27402.648730254197
1,36,0.077473,262656,16416,3602.18398667923,28817.47189343384
1,37,0.075937,262656,16416,3675.046420058733,29400.371360469864
1,38,0.15689799999999998,262656,16416,1778.684240716899,14229.473925735192
1,39,0.14829,262656,16416,1881.9340481488973,15055.472385191179
1,40,0.145346,262656,16416,1920.0528394314258,15360.422715451406
1,41,0.086209,262656,16416,3237.1562133883936,25897.24970710715
1,42,0.078625,262656,16416,3549.4054054054054,28395.243243243243
1,43,0.076097,262656,16416,3667.3193424182296,29338.554739345836
1,44,0.139266,262656,16416,2003.8774718883287,16031.01977510663
1,45,0.14227399999999998,262656,16416,1961.5108874425407,15692.087099540326
1,46,0.137218,262656,16416,2033.7856549432288,16270.28523954583
1,47,0.10630500000000001,262656,16416,2625.201072386059,21001.60857908847
