timestamp_ns,emc_percent,emc_mhz,gpu_percent,ram_reported_mb,swap_reported_mb
14840390608690,1.0,665.0,0.0,2418.0,0.0
14840612224308,1.0,665.0,0.0,2418.0,0.0
14840833648917,1.0,665.0,0.0,2418.0,0.0
14841054544046,1.0,665.0,0.0,2418.0,0.0
14841273868210,1.0,665.0,0.0,2418.0,0.0
14841492751984,1.0,665.0,0.0,2418.0,0.0
14841712180309,1.0,665.0,0.0,2418.0,0.0
14841932206818,1.0,665.0,0.0,2418.0,0.0
14842153348958,1.0,665.0,0.0,2418.0,0.0
14842375023681,1.0,665.0,0.0,2418.0,0.0
14842599489705,1.0,665.0,0.0,2418.0,0.0
14842823327721,1.0,665.0,0.0,2418.0,0.0
14843043846653,1.0,665.0,0.0,2418.0,0.0
14843266400491,1.0,665.0,0.0,2418.0,0.0
14843487333924,1.0,665.0,0.0,2418.0,0.0
14843711813932,1.0,665.0,0.0,2418.0,0.0
14843932939016,1.0,665.0,0.0,2418.0,0.0
14844160501337,1.0,665.0,0.0,2418.0,0.0
14844388042858,1.0,665.0,0.0,2418.0,0.0
14844618619652,1.0,665.0,0.0,2418.0,0.0
14844846395224,1.0,665.0,0.0,2418.0,0.0
14845067850679,1.0,665.0,0.0,2418.0,0.0
14845288285385,1.0,665.0,0.0,2418.0,0.0
14845508238163,1.0,665.0,0.0,2418.0,0.0
14845729195308,1.0,665.0,0.0,2418.0,0.0
14845949678686,1.0,665.0,0.0,2418.0,0.0
14846174796013,1.0,665.0,0.0,2418.0,0.0
14846396337901,1.0,665.0,0.0,2418.0,0.0
14846618383988,1.0,665.0,0.0,2418.0,0.0
14846840197111,1.0,665.0,0.0,2418.0,0.0
14847062058107,1.0,665.0,0.0,2418.0,0.0
14847284309956,1.0,665.0,0.0,2418.0,0.0
14847503793576,1.0,665.0,0.0,2418.0,0.0
14847723960309,1.0,665.0,0.0,2418.0,0.0
14847944570279,1.0,665.0,0.0,2418.0,0.0
14848165207226,1.0,665.0,0.0,2418.0,0.0
14848390787120,1.0,665.0,0.0,2418.0,0.0
14848614634574,1.0,665.0,0.0,2418.0,0.0
14848837452990,1.0,665.0,0.0,2418.0,0.0
14849060420848,1.0,665.0,0.0,2418.0,0.0
14849282779161,1.0,665.0,0.0,2418.0,0.0
14849503412972,1.0,665.0,0.0,2418.0,0.0
14849725012907,1.0,665.0,0.0,2418.0,0.0
14849946491849,1.0,665.0,0.0,2418.0,0.0
14850168190762,1.0,665.0,0.0,2418.0,0.0
14850395902555,1.0,665.0,0.0,2418.0,0.0
14850619412692,1.0,665.0,0.0,2418.0,0.0
14850842751210,1.0,665.0,0.0,2418.0,0.0
14851067390354,1.0,665.0,0.0,2418.0,0.0
14851289505271,1.0,665.0,0.0,2418.0,0.0
14851510951444,1.0,665.0,0.0,2418.0,0.0
14851732496530,1.0,665.0,0.0,2418.0,0.0
14851954394197,1.0,665.0,0.0,2418.0,0.0
14852176914335,1.0,665.0,0.0,2418.0,0.0
14852400704699,1.0,665.0,0.0,2418.0,0.0
14852624677561,1.0,665.0,0.0,2418.0,0.0
14852847396135,1.0,665.0,0.0,2418.0,0.0
14853070595547,1.0,665.0,0.0,2418.0,0.0
14853294224500,1.0,665.0,0.0,2418.0,0.0
14853514692259,1.0,665.0,0.0,2418.0,0.0
14853736869864,1.0,665.0,0.0,2418.0,0.0
14853960406784,1.0,665.0,0.0,2418.0,0.0
14854183968312,1.0,665.0,0.0,2418.0,0.0
14854408301083,1.0,665.0,0.0,2418.0,0.0
14854635159423,1.0,665.0,0.0,2418.0,0.0
14854857963117,1.0,665.0,0.0,2418.0,0.0
14855080355445,1.0,665.0,0.0,2418.0,0.0
14855307858785,3.0,204.0,0.0,2404.0,0.0
14855543317785,1.0,665.0,0.0,2417.0,0.0
