09-13-2026 11:52:49 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [20%@729,4%@729,0%@729,8%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.437C Tboard@36C SOC2@42.093C Tdiode@36.5C SOC0@42.656C CV1@-256C GPU@-256C tj@45.281C SOC1@42C CV2@-256C VDD_GPU_SOC 1996mW/2029mW VDD_CPU_CV 0mW/199mW VIN_SYS_5V0 2516mW/2657mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/410mW NC 0mW/0mW
09-13-2026 11:52:49 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [17%@729,4%@729,0%@729,4%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.312C Tboard@36C SOC2@42.093C Tdiode@36.5C SOC0@42.781C CV1@-256C GPU@-256C tj@45.312C SOC1@42.187C CV2@-256C VDD_GPU_SOC 1996mW/2026mW VDD_CPU_CV 0mW/184mW VIN_SYS_5V0 2512mW/2646mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/401mW NC 0mW/0mW
09-13-2026 11:52:50 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,16%@729,0%@729,4%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.312C Tboard@36C SOC2@42.031C Tdiode@36.5C SOC0@42.656C CV1@-256C GPU@-256C tj@45.312C SOC1@41.968C CV2@-256C VDD_GPU_SOC 1996mW/2024mW VDD_CPU_CV 0mW/171mW VIN_SYS_5V0 2512mW/2636mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/394mW NC 0mW/0mW
09-13-2026 11:52:50 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [22%@729,21%@729,8%@729,8%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.562C Tboard@36C SOC2@42C Tdiode@36.5C SOC0@42.75C CV1@-256C GPU@-256C tj@45.562C SOC1@41.968C CV2@-256C VDD_GPU_SOC 1996mW/2022mW VDD_CPU_CV 0mW/159mW VIN_SYS_5V0 2516mW/2628mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/395mW NC 0mW/0mW
09-13-2026 11:52:50 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,20%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.593C Tboard@36C SOC2@42.093C Tdiode@36.5C SOC0@42.687C CV1@-256C GPU@-256C tj@45.343C SOC1@42C CV2@-256C VDD_GPU_SOC 1996mW/2020mW VDD_CPU_CV 0mW/149mW VIN_SYS_5V0 2512mW/2621mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/389mW NC 0mW/0mW
09-13-2026 11:52:50 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,17%@729,0%@729,0%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.406C Tboard@36C SOC2@41.968C Tdiode@36.5C SOC0@42.781C CV1@-256C GPU@-256C tj@45.406C SOC1@41.875C CV2@-256C VDD_GPU_SOC 1996mW/2019mW VDD_CPU_CV 0mW/140mW VIN_SYS_5V0 2512mW/2614mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/384mW NC 0mW/0mW
09-13-2026 11:52:51 RAM 3584/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,24%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.281C Tboard@36C SOC2@42.093C Tdiode@36.5C SOC0@42.687C CV1@-256C GPU@-256C tj@45.281C SOC1@42.156C CV2@-256C VDD_GPU_SOC 1996mW/2018mW VDD_CPU_CV 0mW/133mW VIN_SYS_5V0 2512mW/2609mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/379mW NC 0mW/0mW
09-13-2026 11:52:51 RAM 3587/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,29%@729,8%@729,8%@729,4%@729,0%@729,0%@729,9%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.687C Tboard@36C SOC2@42.125C Tdiode@36.5C SOC0@42.625C CV1@-256C GPU@-256C tj@45.406C SOC1@42.031C CV2@-256C VDD_GPU_SOC 1996mW/2016mW VDD_CPU_CV 0mW/126mW VIN_SYS_5V0 2516mW/2604mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/375mW NC 0mW/0mW
09-13-2026 11:52:51 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [12%@729,4%@729,0%@729,21%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.437C Tboard@36C SOC2@42C Tdiode@36.5C SOC0@42.656C CV1@-256C GPU@-256C tj@45.437C SOC1@41.968C CV2@-256C VDD_GPU_SOC 1996mW/2015mW VDD_CPU_CV 0mW/119mW VIN_SYS_5V0 2516mW/2599mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/376mW NC 0mW/0mW
09-13-2026 11:52:51 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,0%@729,4%@729,0%@1728,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.375C Tboard@36C SOC2@42.031C Tdiode@36.5C SOC0@42.718C CV1@-256C GPU@-256C tj@45.375C SOC1@42C CV2@-256C VDD_GPU_SOC 1996mW/2014mW VDD_CPU_CV 0mW/114mW VIN_SYS_5V0 2516mW/2595mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/377mW NC 0mW/0mW
09-13-2026 11:52:51 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,0%@729,10%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.343C Tboard@36C SOC2@42.093C Tdiode@36.5C SOC0@42.687C CV1@-256C GPU@-256C tj@45.343C SOC1@42.062C CV2@-256C VDD_GPU_SOC 1996mW/2014mW VDD_CPU_CV 0mW/108mW VIN_SYS_5V0 2512mW/2591mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/374mW NC 0mW/0mW
09-13-2026 11:52:52 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,4%@729,20%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.375C Tboard@36C SOC2@42.031C Tdiode@36.5C SOC0@42.718C CV1@-256C GPU@-256C tj@45.375C SOC1@42C CV2@-256C VDD_GPU_SOC 1995mW/2013mW VDD_CPU_CV 0mW/104mW VIN_SYS_5V0 2516mW/2588mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/371mW NC 0mW/0mW
09-13-2026 11:52:52 RAM 3584/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [22%@729,4%@729,9%@729,0%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.312C Tboard@36C SOC2@42.062C Tdiode@36.5C SOC0@42.75C CV1@-256C GPU@-256C tj@45.312C SOC1@42C CV2@-256C VDD_GPU_SOC 1995mW/2012mW VDD_CPU_CV 0mW/99mW VIN_SYS_5V0 2516mW/2585mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/372mW NC 0mW/0mW
09-13-2026 11:52:52 RAM 3584/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,4%@729,0%@729,10%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.343C Tboard@36C SOC2@42.031C Tdiode@36.5C SOC0@42.718C CV1@-256C GPU@-256C tj@45.562C SOC1@41.937C CV2@-256C VDD_GPU_SOC 1996mW/2011mW VDD_CPU_CV 0mW/95mW VIN_SYS_5V0 2512mW/2582mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/373mW NC 0mW/0mW
09-13-2026 11:52:52 RAM 3584/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,4%@729,8%@729,10%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.406C Tboard@36C SOC2@42.031C Tdiode@36.5C SOC0@42.718C CV1@-256C GPU@-256C tj@45.406C SOC1@41.875C CV2@-256C VDD_GPU_SOC 1996mW/2011mW VDD_CPU_CV 0mW/92mW VIN_SYS_5V0 2512mW/2579mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/370mW NC 0mW/0mW
09-13-2026 11:52:53 RAM 3584/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,0%@729,17%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.281C Tboard@36C SOC2@42.031C Tdiode@36.5C SOC0@42.625C CV1@-256C GPU@-256C tj@45.281C SOC1@41.906C CV2@-256C VDD_GPU_SOC 1996mW/2010mW VDD_CPU_CV 0mW/88mW VIN_SYS_5V0 2512mW/2577mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/368mW NC 0mW/0mW
09-13-2026 11:52:53 RAM 3584/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [21%@729,25%@729,4%@729,8%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.531C Tboard@36C SOC2@42.062C Tdiode@36.5C SOC0@42.562C CV1@-256C GPU@-256C tj@45.531C SOC1@42.031C CV2@-256C VDD_GPU_SOC 1996mW/2010mW VDD_CPU_CV 0mW/85mW VIN_SYS_5V0 2516mW/2575mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/369mW NC 0mW/0mW
