stage,sequence,release_ns,queued_ns,start_ns,end_ns,queue_ms,service_ms,age_ms,dispatch_lag_ms,thread_cpu_ms,beam_index,output_samples
live,838,12222806911871,12222807059417,12222807149274,12222808231335,0.089857,1.082061,1.319464,0.147546,0.722912,0,480
live,839,12222816911871,12222817070673,12222817150578,12222818275903,0.079905,1.125325,1.364032,0.158802,0.774848,0,480
live,840,12222826911871,12222827056328,12222827137001,12222829133728,0.080673,1.996727,2.221857,0.144457,1.624064,0,480
live,841,12222836911871,12222837055391,12222837136000,12222838198860,0.080609,1.06286,1.286989,0.14352,0.709984,0,480
live,842,12222846911871,12222847056534,12222847134935,12222848233284,0.078401,1.098349,1.321413,0.144663,0.721408,0,480
live,843,12222856911871,12222857056653,12222857132142,12222858183643,0.075489,1.051501,1.271772,0.144782,0.71072,0,480
live,844,12222866911871,12222867053508,12222867130565,12222868205842,0.077057,1.075277,1.293971,0.141637,0.708608,0,480
live,845,12222876911871,12222877054107,12222877133052,12222878157097,0.078945,1.024045,1.245226,0.142236,0.682656,0,480
live,846,12222886911871,12222887050803,12222887129172,12222888199360,0.078369,1.070188,1.287489,0.138932,0.702208,0,480
live,847,12222896911871,12222897055018,12222897118539,12222898190231,0.063521,1.071692,1.27836,0.143147,0.724928,0,480
live,848,12222906911871,12222907051809,12222907118146,12222908194191,0.066337,1.076045,1.28232,0.139938,0.705376,0,480
live,849,12222916911871,12222917049208,12222917124537,12222918163845,0.075329,1.039308,1.251974,0.137337,0.692832,0,480
live,850,12222926911871,12222927051439,12222927114704,12222928182621,0.063265,1.067917,1.27075,0.139568,0.702016,0,480
live,851,12222936911871,12222937054215,12222937118695,12222938167700,0.06448,1.049005,1.255829,0.142344,0.695584,0,480
live,852,12222946911871,12222947049566,12222947116638,12222948194283,0.067072,1.077645,1.282412,0.137695,0.697952,0,480
live,853,12222956911871,12222957050805,12222957116566,12222958177602,0.065761,1.061036,1.265731,0.138934,0.711872,0,480
live,854,12222966911871,12222967051116,12222967116141,12222968179386,0.065025,1.063245,1.267515,0.139245,0.698208,0,480
live,855,12222976911871,12222977047043,12222977122084,12222978161328,0.075041,1.039244,1.249457,0.135172,0.69264,0,480
live,856,12222986911871,12222987054298,12222987133115,12222988184872,0.078817,1.051757,1.273001,0.142427,0.688608,0,480
live,857,12222996911871,12222997049330,12222997128403,12222998180511,0.079073,1.052108,1.26864,0.137459,0.70272,0,480
live,858,12223006911871,12223007054249,12223007118890,12223008180310,0.064641,1.06142,1.268439,0.142378,0.690496,0,480
live,859,12223016911871,12223017046848,12223017111041,12223018149069,0.064193,1.038028,1.237198,0.134977,0.687968,0,480
live,860,12223026911871,12223027072919,12223027150296,12223029016463,0.077377,1.866167,2.104592,0.161048,1.496448,0,480
live,861,12223036911871,12223037053742,12223037137967,12223038197020,0.084225,1.059053,1.285149,0.141871,0.709376,0,480
live,862,12223046911871,12223047055078,12223047141991,12223048210675,0.086913,1.068684,1.298804,0.143207,0.70944,0,480
live,863,12223056911871,12223057055485,12223057131678,12223058180266,0.076193,1.048588,1.268395,0.143614,0.702912,0,480
live,864,12223066911871,12223067053716,12223067122261,12223068191585,0.068545,1.069324,1.279714,0.141845,0.702656,0,480
live,865,12223076911871,12223077054603,12223077131308,12223078170392,0.076705,1.039084,1.258521,0.142732,0.695744,0,480
live,866,12223086911871,12223087049922,12223087123075,12223088177040,0.073153,1.053965,1.265169,0.138051,0.695936,0,480
live,867,12223096911871,12223097052377,12223097133786,12223098164647,0.081409,1.030861,1.252776,0.140506,0.683968,0,480
live,868,12223106911871,12223107053489,12223107128594,12223108187774,0.075105,1.05918,1.275903,0.141618,0.69728,0,480
live,869,12223116911871,12223117057576,12223117125673,12223118157237,0.068097,1.031564,1.245366,0.145705,0.686976,0,480
live,870,12223126911871,12223127049183,12223127115712,12223128164236,0.066529,1.048524,1.252365,0.137312,0.68464,0,480
live,871,12223136911871,12223137055990,12223137126839,12223138157699,0.070849,1.03086,1.245828,0.144119,0.682944,0,480
live,872,12223146911871,12223147049901,12223147124590,12223148201979,0.074689,1.077389,1.290108,0.13803,0.716,0,480
live,873,12223156911871,12223157053893,12223157129221,12223158176498,0.075328,1.047277,1.264627,0.142022,0.701728,0,480
live,874,12223166911871,12223167049052,12223167123549,12223168186025,0.074497,1.062476,1.274154,0.137181,0.697248,0,480
live,875,12223176911871,12223177052627,12223177116628,12223178156416,0.064001,1.039788,1.244545,0.140756,0.697824,0,480
live,876,12223186911871,12223187050506,12223187116651,12223188173879,0.066145,1.057228,1.262008,0.138635,0.692672,0,480
live,877,12223196911871,12223197047393,12223197121698,12223198150542,0.074305,1.028844,1.238671,0.135522,0.686784,0,480
live,878,12223206911871,12223207050328,12223207125433,12223208164998,0.075105,1.039565,1.253127,0.138457,0.682112,0,480
live,879,12223216911871,12223217051344,12223217128497,12223218170397,0.077153,1.0419,1.258526,0.139473,0.688608,0,480
live,880,12223226911871,12223227050215,12223227126728,12223228938909,0.076513,1.812181,2.027038,0.138344,1.480032,0,480
live,881,12223236911871,12223237121311,12223237263648,12223238183499,0.142337,0.919851,1.271628,0.20944,0.836416,0,480
live,882,12223246911871,12223247077813,12223247161078,12223247920512,0.083265,0.759434,1.008641,0.165942,0.715232,0,480
live,883,12223256911871,12223257056236,12223257146829,12223257925623,0.090593,0.778794,1.013752,0.144365,0.736512,0,480
live,884,12223266911871,12223267059300,12223267146405,12223267889998,0.087105,0.743593,0.978127,0.147429,0.698944,0,480
live,885,12223276911871,12223277088315,12223277176060,12223278250633,0.087745,1.074573,1.338762,0.176444,0.718336,0,480
live,886,12223286911871,12223287061522,12223287137939,12223288222720,0.076417,1.084781,1.310849,0.149651,0.709664,0,480
live,887,12223296911871,12223297056297,12223297134698,12223298182583,0.078401,1.047885,1.270712,0.144426,0.694272,0,480
live,888,12223306911871,12223307053760,12223307117121,12223307851082,0.063361,0.733961,0.939211,0.141889,0.6912,0,480
live,889,12223316911871,12223317049015,12223317123960,12223318205925,0.074945,1.081965,1.294054,0.137144,0.726496,0,480
live,890,12223326911871,12223327051567,12223327138896,12223328202172,0.087329,1.063276,1.290301,0.139696,0.699424,0,480
live,891,12223336911871,12223337049414,12223337129607,12223338164499,0.080193,1.034892,1.252628,0.137543,0.686432,0,480
live,892,12223346911871,12223347049981,12223347123742,12223347854631,0.073761,0.730889,0.94276,0.13811,0.689216,0,480
live,893,12223356911871,12223357049684,12223357112149,12223358132321,0.062465,1.020172,1.22045,0.137813,0.67024,0,480
live,894,12223366911871,12223367046635,12223367125452,12223368181977,0.078817,1.056525,1.270106,0.134764,0.702752,0,480
live,895,12223376911871,12223377049602,12223377124131,12223378152272,0.074529,1.028141,1.240401,0.137731,0.681568,0,480
live,896,12223386911871,12223387050554,12223387117818,12223388189287,0.067264,1.071469,1.277416,0.138683,0.707168,0,480
live,897,12223396911871,12223397049809,12223397122418,12223398153918,0.072609,1.0315,1.242047,0.137938,0.685696,0,480
live,898,12223406911871,12223407052424,12223407117065,12223407842961,0.064641,0.725896,0.93109,0.140553,0.683424,0,480
live,899,12223416911871,12223417049311,12223417113216,12223418143468,0.063905,1.030252,1.231597,0.13744,0.682208,0,480
live,900,12223426911871,12223427046678,12223427119799,12223429135247,0.073121,2.015448,2.223376,0.134807,1.587168,0,480
live,901,12223436911871,12223437050606,12223437139119,12223437895736,0.088513,0.756617,0.983865,0.138735,0.697792,0,480
live,902,12223446911871,12223447053829,12223447131846,12223447861550,0.078017,0.729704,0.949679,0.141958,0.685984,0,480
live,903,12223456911871,12223457059100,12223457127613,12223458181769,0.068513,1.054156,1.269898,0.147229,0.697952,0,480
live,904,12223466911871,12223467053139,12223467116116,12223468214177,0.062977,1.098061,1.302306,0.141268,0.7232,0,480
live,905,12223476911871,12223477047722,12223477129163,12223478167288,0.081441,1.038125,1.255417,0.135851,0.695392,0,480
live,906,12223486911871,12223487056226,12223487133666,12223487867243,0.07744,0.733577,0.955372,0.144355,0.689344,0,480
live,907,12223496911871,12223497053241,12223497142746,12223497878947,0.089505,0.736201,0.967076,0.14137,0.691488,0,480
live,908,12223506911871,12223507055984,12223507139313,12223507873178,0.083329,0.733865,0.961307,0.144113,0.691296,0,480
live,909,12223516911871,12223517053543,12223517120392,12223517843792,0.066849,0.7234,0.931921,0.141672,0.68224,0,480
live,910,12223526911871,12223527050526,12223527116127,12223527883880,0.065601,0.767753,0.972009,0.138655,0.726592,0,480
live,911,12223536911871,12223537084630,12223537164791,12223537909504,0.080161,0.744713,0.997633,0.172759,0.702336,0,480
live,912,12223546911871,12223547070285,12223547149326,12223547877558,0.079041,0.728232,0.965687,0.158414,0.6848,0,480
live,913,12223556911871,12223557054276,12223557134117,12223558190993,0.079841,1.056876,1.279122,0.142405,0.707072,0,480
live,914,12223566911871,12223567056571,12223567121948,12223568179656,0.065377,1.057708,1.267785,0.1447,0.695392,0,480
live,915,12223576911871,12223577052242,12223577116819,12223577837916,0.064577,0.721097,0.926045,0.140371,0.678624,0,480
live,916,12223586911871,12223587049065,12223587112138,12223587834291,0.063073,0.722153,0.92242,0.137194,0.679552,0,480
live,917,12223596911871,12223597047296,12223597130849,12223597870762,0.083553,0.739913,0.958891,0.135425,0.698144,0,480
live,918,12223606911871,12223607048184,12223607121529,12223607843265,0.073345,0.721736,0.931394,0.136313,0.679328,0,480
live,919,12223616911871,12223617050671,12223617125168,12223617851032,0.074497,0.725864,0.939161,0.1388,0.683872,0,480
live,920,12223626911871,12223627054310,12223627119239,12223629097598,0.064929,1.978359,2.185727,0.142439,1.614912,0,480
live,921,12223636911871,12223637058493,12223637131390,12223638208907,0.072897,1.077517,1.297036,0.146622,0.732736,0,480
live,922,12223646911871,12223647054036,12223647135797,12223648213826,0.081761,1.078029,1.301955,0.142165,0.7168,0,480
live,923,12223656911871,12223657070380,12223657148845,12223658193753,0.078465,1.044908,1.281882,0.158509,0.706048,0,480
live,924,12223666911871,12223667052451,12223667137028,12223668213585,0.084577,1.076557,1.301714,0.14058,0.71136,0,480
live,925,12223676911871,12223677053146,12223677134555,12223678181703,0.081409,1.047148,1.269832,0.141275,0.704832,0,480
live,926,12223686911871,12223687054609,12223687121362,12223688206463,0.066753,1.085101,1.294592,0.142738,0.719648,0,480
live,927,12223696911871,12223697052776,12223697116521,12223698154645,0.063745,1.038124,1.242774,0.140905,0.695808,0,480
