case,round,sample,wall_ms,thread_cpu_ms,device_ms,budget_ms
weights_das_1,0,137,0.256867,0.259712,,
weights_das_1,0,138,0.252163,0.254848,,
weights_das_1,0,139,0.250467,0.253184,,
weights_das_1,0,140,0.249795,0.252704,,
weights_das_1,0,141,0.251171,0.253824,,
weights_das_1,0,142,0.249411,0.251968,,
weights_das_1,0,143,0.249987,0.25248,,
weights_das_1,0,144,0.255491,0.258528,,
weights_das_1,0,145,0.250275,0.253088,,
weights_das_1,0,146,0.251619,0.254176,,
weights_das_1,0,147,0.24925,0.251968,,
weights_das_1,0,148,0.250819,0.253408,,
weights_das_1,0,149,0.253187,0.255968,,
weights_das_1,0,150,0.261347,0.256992,,
weights_das_1,0,151,0.251491,0.25408,,
weights_das_1,0,152,0.250915,0.253632,,
weights_das_1,0,153,0.248451,0.25104,,
weights_das_1,0,154,0.248355,0.250912,,
weights_das_1,0,155,0.247907,0.250432,,
weights_das_1,0,156,0.247907,0.250592,,
weights_das_1,0,157,0.250211,0.252832,,
weights_das_1,0,158,0.249123,0.251872,,
weights_das_1,0,159,0.249603,0.252192,,
weights_das_1,0,160,0.251619,0.254304,,
weights_das_1,0,161,0.249315,0.251936,,
weights_das_1,0,162,0.250403,0.253024,,
weights_das_1,0,163,0.247363,0.250048,,
weights_das_1,0,164,0.249251,0.251968,,
weights_das_1,0,165,0.259876,0.254912,,
weights_das_1,0,166,0.251523,0.2544,,
weights_das_1,0,167,0.251651,0.254272,,
weights_das_1,0,168,0.248035,0.250752,,
weights_das_1,0,169,0.246851,0.249664,,
weights_das_1,0,170,0.251587,0.254592,,
weights_das_1,0,171,0.248803,0.251712,,
weights_das_1,0,172,0.249699,0.25232,,
weights_das_1,0,173,0.249027,0.25168,,
weights_das_1,0,174,0.250307,0.253152,,
weights_das_1,0,175,0.250659,0.253504,,
weights_das_1,0,176,0.247747,0.25056,,
weights_das_1,0,177,0.248579,0.251264,,
weights_das_1,0,178,0.249155,0.25184,,
weights_das_1,0,179,0.253987,0.256768,,
weights_das_1,0,180,0.261411,0.257344,,
weights_das_1,0,181,0.251619,0.254272,,
weights_das_1,0,182,0.249603,0.25216,,
weights_das_1,0,183,0.255267,0.258176,,
weights_das_1,0,184,0.259715,0.263264,,
weights_das_1,0,185,0.252323,0.255296,,
weights_das_1,0,186,0.249923,0.252576,,
weights_das_1,0,187,0.248067,0.25056,,
weights_das_1,0,188,0.248035,0.250528,,
weights_das_1,0,189,0.248867,0.251424,,
weights_das_1,0,190,0.249571,0.252224,,
weights_das_1,0,191,0.248611,0.251232,,
weights_das_1,0,192,0.250691,0.253184,,
weights_das_1,0,193,0.248515,0.251168,,
weights_das_1,0,194,0.254883,0.251264,,
weights_das_1,0,195,0.251811,0.254464,,
weights_das_1,0,196,0.251459,0.25408,,
weights_das_1,0,197,0.247843,0.250528,,
weights_das_1,0,198,0.248195,0.250816,,
weights_das_1,0,199,0.248227,0.25088,,
fft_1024,0,0,0.057473,0.04416,,
fft_1024,0,1,0.055457,0.040896,,
fft_1024,0,2,0.053025,0.038016,,
fft_1024,0,3,0.05104,0.035936,,
fft_1024,0,4,0.048576,0.033632,,
fft_1024,0,5,0.047073,0.031936,,
fft_1024,0,6,0.046465,0.031552,,
fft_1024,0,7,0.047425,0.032288,,
fft_1024,0,8,0.047168,0.031872,,
fft_1024,0,9,0.046592,0.031424,,
fft_1024,0,10,0.047233,0.031936,,
fft_1024,0,11,0.047361,0.032192,,
fft_1024,0,12,0.046656,0.03136,,
fft_1024,0,13,0.048544,0.033472,,
fft_1024,0,14,0.046881,0.031936,,
fft_1024,0,15,0.046433,0.031392,,
fft_1024,0,16,0.046208,0.031104,,
fft_1024,0,17,0.057632,0.02304,,
fft_1024,0,18,0.050657,0.035136,,
fft_1024,0,19,0.049313,0.034144,,
fft_1024,0,20,0.047393,0.032384,,
fft_1024,0,21,0.046752,0.03184,,
fft_1024,0,22,0.045696,0.030592,,
fft_1024,0,23,0.046657,0.031392,,
fft_1024,0,24,0.046561,0.031488,,
fft_1024,0,25,0.046336,0.031168,,
fft_1024,0,26,0.046496,0.030976,,
fft_1024,0,27,0.047393,0.032,,
fft_1024,0,28,0.047009,0.031488,,
fft_1024,0,29,0.046624,0.031104,,
fft_1024,0,30,0.04624,0.030944,,
fft_1024,0,31,0.046497,0.031424,,
fft_1024,0,32,0.046209,0.030976,,
fft_1024,0,33,0.046304,0.031072,,
fft_1024,0,34,0.04784,0.032608,,
fft_1024,0,35,0.046593,0.03136,,
fft_1024,0,36,0.047969,0.032544,,
fft_1024,0,37,0.045952,0.030624,,
fft_1024,0,38,0.046496,0.031264,,
fft_1024,0,39,0.046625,0.031648,,
fft_1024,0,40,0.045569,0.030176,,
fft_1024,0,41,0.046368,0.031264,,
fft_1024,0,42,0.045568,0.03024,,
