accepted,expected_hops,completed_hops,dropped_hops,late_hops,late_percent,age_p99_ms,age_max_ms,service_p95_ms,service_median_ms,replay_expected,replay_completed,replay_dropped,replay_late,people,beams_per_person,candidate_beams,selected_streams,origin_ns,elapsed_s,process_cpu_percent_one_core,shared_history_bytes,backend,threads,modeled_live_access_MB_s,sampled_rss_peak_bytes,sampled_rss_increase_bytes,cupy_reserved_bytes,cupy_used_bytes,directory
True,1500,1500,0,0,0.0,6.68044784,7.073903,4.4487072,2.268348,0,0,0,0,8,1,8,8,13908867770887,14.993731723,28.443510897352635,1169408,cpu,4,85.37647756070899,64868352,12812288,,,cpu_4t_people8_beams1_round2
False,1500,1500,0,145,9.666666666666666,18.55819112,19.364601,5.607515199999823,2.978789,0,0,0,0,8,4,32,8,13925755804863,14.993768796,43.17765544048447,1169408,cpu,4,262.75235089999586,68640768,16347136,,,cpu_4t_people8_beams4_round0
False,1500,1500,0,146,9.733333333333333,18.43788341,19.405648,5.996723699999771,2.7892505,0,0,0,0,8,4,32,8,13942671152885,14.993656044,42.041883950959594,1169408,cpu,4,262.7543267925321,68177920,16265216,,,cpu_4t_people8_beams4_round1
False,1500,1500,0,148,9.866666666666667,18.55525407,19.628741,9.505467849999821,2.9019880000000002,0,0,0,0,8,4,32,8,13959693925516,14.994153861,43.073693581390046,1169408,cpu,4,262.745603154512,71426048,18903040,,,cpu_4t_people8_beams4_round2
False,1500,1500,0,59,3.933333333333333,11.06119475,19.382058,5.445184399999809,2.8724350000000003,0,0,0,0,16,1,16,16,13976557373847,14.993528786,36.722876597552045,1169408,cpu,4,154.35779215370627,69787648,14024704,,,cpu_4t_people16_beams1_round0
False,1500,1500,0,64,4.266666666666667,11.062698809999999,26.016833,5.686488249999952,2.909988,0,0,0,0,16,1,16,16,13993461024645,14.99260902,38.01676664198775,1169408,cpu,4,154.36726168958685,66191360,14086144,,,cpu_4t_people16_beams1_round1
False,1500,1500,0,53,3.533333333333333,10.958650239999999,12.60067,5.194238849999968,2.874755,0,0,0,0,16,1,16,16,14010424951951,14.993397309,35.357217168078456,1169408,cpu,4,154.35914571614583,67141632,13996032,,,cpu_4t_people16_beams1_round2
False,1500,1500,0,189,12.6,25.83327455,27.012633,7.864607799999534,3.8090390000000003,0,0,0,0,16,4,64,16,14027429062141,14.998615607,51.61804824349914,1169408,cpu,4,508.94297180583783,74248192,20180992,,,cpu_4t_people16_beams4_round0
False,1500,1500,0,178,11.866666666666667,25.31645943,26.954886,7.491941049999481,3.867952,0,0,0,0,16,4,64,16,14044430563518,14.999464604,51.65855108183488,1169408,cpu,4,508.9141647072085,72548352,18407424,,,cpu_4t_people16_beams4_round1
False,1500,1500,0,185,12.333333333333334,25.76810773,27.024903,6.826432949999405,3.798143,0,0,0,0,16,4,64,16,14061441999632,14.999365013,51.855703793872756,1169408,cpu,4,508.9175437349562,72482816,20426752,,,cpu_4t_people16_beams4_round2
