case,round,sample,wall_ms,thread_cpu_ms,device_ms,budget_ms
weights_das_4,0,0,0.812842,0.824416,0.7900159955024719,
weights_das_4,0,1,0.816042,0.820768,0.7957760095596313,
weights_das_4,0,2,0.803754,0.808352,0.7855679988861084,
weights_das_4,0,3,0.829386,0.819264,0.8117120265960693,
weights_das_4,0,4,0.801993,0.806496,0.7839679718017578,
weights_das_4,0,5,0.804969,0.809408,0.7876799702644348,
weights_das_4,0,6,0.794281,0.798784,0.7766720056533813,
weights_das_4,0,7,0.81633,0.809184,0.7979199886322021,
weights_das_4,0,8,0.808554,0.812864,0.7902399897575378,
weights_das_4,0,9,0.794058,0.798464,0.7767680287361145,
weights_das_4,0,10,0.80657,0.810944,0.7888000011444092,
weights_das_4,0,11,0.804106,0.8088,0.7850559949874878,
weights_das_4,0,12,0.839338,0.824608,0.8221120238304138,
weights_das_4,0,13,0.802346,0.807008,0.7840960025787354,
weights_das_4,0,14,0.78737,0.791968,0.7705919742584229,
weights_das_4,0,15,0.79553,0.80016,0.7779840230941772,
weights_das_4,0,16,0.787754,0.792096,0.7702400088310242,
weights_das_4,0,17,0.812746,0.80608,0.794975996017456,
weights_das_4,0,18,0.792362,0.796896,0.7753599882125854,
weights_das_4,0,19,0.790698,0.7952,0.7734079957008362,
weights_das_4,0,20,0.79889,0.803488,0.7812479734420776,
weights_das_4,0,21,0.800234,0.804736,0.7828480005264282,
weights_das_4,0,22,0.820298,0.812992,0.8024320006370544,
weights_das_4,0,23,0.797609,0.802016,0.780351996421814,
weights_das_4,0,24,0.791881,0.796224,0.7741439938545227,
weights_das_4,0,25,0.795465,0.79984,0.77811199426651,
weights_das_4,0,26,0.830122,0.823552,0.8119040131568909,
weights_das_4,0,27,0.798218,0.802688,0.781279981136322,
weights_das_4,0,28,0.788202,0.792512,0.7711679935455322,
weights_das_4,0,29,0.810346,0.814976,0.7922239899635315,
weights_das_4,0,30,0.798058,0.802656,0.7810239791870117,
weights_das_4,0,31,0.812618,0.805504,0.7949439883232117,
