stage,sequence,release_ns,queued_ns,start_ns,end_ns,queue_ms,service_ms,age_ms,dispatch_lag_ms,thread_cpu_ms,beam_index,output_samples
live,730,12760842794397,12760842959094,12760843022678,12760846692167,0.063584,3.669489,3.89777,0.164697,3.620256,2,480
live,731,12760852794397,12760852958842,12760853023227,12760856923183,0.064385,3.899956,4.128786,0.164445,3.77456,3,480
live,732,12760862794397,12760862964319,12760863039200,12760868650602,0.074881,5.611402,5.856205,0.169922,4.254592,3,480
live,733,12760872794397,12760872942915,12760872991588,12760875919722,0.048673,2.928134,3.125325,0.148518,2.880032,2,480
live,734,12760882794397,12760882948936,12760883018345,12760887020126,0.069409,4.001781,4.225729,0.154539,3.933728,2,480
live,735,12760892794397,12760892964428,12760893037837,12760898158321,0.073409,5.120484,5.363924,0.170031,3.834336,0,480
live,736,12760902794397,12760902944593,12760902998289,12760906210620,0.053696,3.212331,3.416223,0.150196,2.856288,1,480
live,737,12760912794397,12760912943573,12760913010838,12760916774632,0.067265,3.763794,3.980235,0.149176,3.697792,0,480
live,738,12760922794397,12760922972218,12760923054587,12760928148671,0.082369,5.094084,5.354274,0.177821,4.28816,3,480
live,739,12760932794397,12760932948030,12760932998943,12760936195209,0.050913,3.196266,3.400812,0.153633,2.85456,0,480
live,740,12760942794397,12760942947491,12760943022852,12760949041556,0.075361,6.018704,6.247159,0.153094,5.927872,3,480
live,741,12760952794397,12760953017128,12760953104490,12760956920188,0.087362,3.815698,4.125791,0.222731,3.759456,0,480
live,742,12760962794397,12760962945964,12760963006093,12760967038978,0.060129,4.032885,4.244581,0.151567,3.822688,3,480
live,743,12760972794397,12760972974193,12760973043762,12760978609308,0.069569,5.565546,5.814911,0.179796,4.217376,3,480
live,744,12760982794397,12760983010966,12760983103543,12760989133927,0.092577,6.030384,6.33953,0.216569,4.598208,3,480
live,745,12760992794397,12760992967034,12760993034203,12760996480072,0.067169,3.445869,3.685675,0.172637,3.192128,0,480
live,746,12761002794397,12761002922398,12761002967870,12761006930003,0.045472,3.962133,4.135606,0.128001,3.762336,2,480
live,747,12761012794397,12761012971747,12761013047172,12761019307191,0.075425,6.260019,6.512794,0.17735,4.11808,0,480
live,748,12761022794397,12761022973959,12761023050888,12761026682553,0.076929,3.631665,3.888156,0.179562,3.583136,0,480
