stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,884,18069493019212,18069493158720,18069493249601,18069497949243,4.930031,0.090881,4.699642,15360
live,885,18069503019212,18069503147676,18069503263517,18069507450993,4.431781,0.115841,4.187476,15360
live,886,18069513019212,18069513147896,18069513256442,18069517349196,4.329984,0.108546,4.092754,15360
live,887,18069523019212,18069523153397,18069523418008,18069527819983,4.800771,0.264611,4.401975,15360
live,888,18069533019212,18069533142353,18069533250098,18069537466374,4.447162,0.107745,4.216276,15360
live,889,18069543019212,18069543146797,18069543225902,18069547478435,4.459223,0.079105,4.252533,15360
live,890,18069553019212,18069553147593,18069553410924,18069557729506,4.710294,0.263331,4.318582,15360
live,891,18069563019212,18069563142725,18069563250759,18069567334425,4.315213,0.108034,4.083666,15360
live,892,18069573019212,18069573145826,18069573401093,18069577523128,4.503916,0.255267,4.122035,15360
live,893,18069583019212,18069583139838,18069583228191,18069587552725,4.533513,0.088353,4.324534,15360
live,894,18069593019212,18069593143130,18069593226811,18069597480112,4.4609,0.083681,4.253301,15360
live,895,18069603019212,18069603145046,18069603395738,18069607489196,4.469984,0.250692,4.093458,15360
live,896,18069613019212,18069613139059,18069613242548,18069617390887,4.371675,0.103489,4.148339,15360
live,897,18069623019212,18069623146383,18069623257264,18069627595622,4.57641,0.110881,4.338358,15360
live,898,18069633019212,18069633144587,18069633405582,18069637876518,4.857306,0.260995,4.470936,15360
live,899,18069643019212,18069643450187,18069643571053,18069667477686,24.458474,0.120866,23.906633,15360
replay,899,18069643019212,18069643490636,18069643765423,18069666170597,23.151385,0.274787,22.405174,1169408
live,900,18069653019212,18069653621226,18069667696632,18069675613787,22.594575,14.075406,7.917155,15360
live,901,18069663019212,18069663156864,18069675765917,18069680638617,17.619405,12.609053,4.8727,15360
live,902,18069673019212,18069673285694,18069680775515,18069685772569,12.753357,7.489821,4.997054,15360
live,903,18069683019212,18069683348443,18069685897435,18069689714954,6.695742,2.548992,3.817519,15360
live,904,18069693019212,18069693143349,18069693210261,18069696981636,3.962424,0.066912,3.771375,15360
live,905,18069703019212,18069703138417,18069703230930,18069706853023,3.833811,0.092513,3.622093,15360
live,906,18069713019212,18069713178893,18069713269455,18069717204960,4.185748,0.090562,3.935505,15360
live,907,18069723019212,18069723145257,18069723223402,18069727325693,4.306481,0.078145,4.102291,15360
live,908,18069733019212,18069733137925,18069733224423,18069737779039,4.759827,0.086498,4.554616,15360
live,909,18069743019212,18069743136034,18069743207203,18069747213044,4.193832,0.071169,4.005841,15360
live,910,18069753019212,18069753129342,18069753188735,18069757009518,3.990306,0.059393,3.820783,15360
live,911,18069763019212,18069763130138,18069763188539,18069766961738,3.942526,0.058401,3.773199,15360
live,912,18069773019212,18069773131318,18069773198327,18069777161800,4.142588,0.067009,3.963473,15360
live,913,18069783019212,18069783167315,18069783243636,18069788940315,5.921103,0.076321,5.696679,15360
live,914,18069793019212,18069793162991,18069793248208,18069797665767,4.646555,0.085217,4.417559,15360
live,915,18069803019212,18069803143531,18069803222540,18069807323839,4.304627,0.079009,4.101299,15360
live,916,18069813019212,18069813133223,18069813202984,18069817159481,4.140269,0.069761,3.956497,15360
live,917,18069823019212,18069823136516,18069823211237,18069827288695,4.269483,0.074721,4.077458,15360
live,918,18069833019212,18069833142784,18069833406883,18069837625496,4.606284,0.264099,4.218613,15360
live,919,18069843019212,18069843132956,18069843215357,18069847438322,4.41911,0.082401,4.222965,15360
live,920,18069853019212,18069853143320,18069853217145,18069858854815,5.835603,0.073825,5.63767,15360
live,921,18069863019212,18069863135189,18069863206869,18069867170759,4.151547,0.07168,3.96389,15360
live,922,18069873019212,18069873135313,18069873210354,18069877151811,4.132599,0.075041,3.941457,15360
live,923,18069883019212,18069883139469,18069883216270,18069887262336,4.243124,0.076801,4.046066,15360
live,924,18069893019212,18069893133033,18069893376940,18069897515968,4.496756,0.243907,4.139028,15360
