09-13-2026 11:11:35 RAM 2468/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [9%@729,0%@856,0%@1728,0%@1193,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 30%@3199 GR3D_FREQ 96%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.468C Tboard@37C SOC2@43.843C Tdiode@38.5C SOC0@44.562C CV1@-256C GPU@43.781C tj@47.343C SOC1@43.687C CV2@-256C VDD_GPU_SOC 7984mW/6917mW VDD_CPU_CV 399mW/432mW VIN_SYS_5V0 7435mW/6468mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3310mW/2727mW NC 0mW/0mW
09-13-2026 11:11:35 RAM 2468/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [13%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 31%@3199 GR3D_FREQ 96%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.531C Tboard@37C SOC2@43.906C Tdiode@38.5C SOC0@44.343C CV1@-256C GPU@43.562C tj@47.343C SOC1@43.687C CV2@-256C VDD_GPU_SOC 7980mW/6998mW VDD_CPU_CV 399mW/429mW VIN_SYS_5V0 7435mW/6542mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3310mW/2772mW NC 0mW/0mW
09-13-2026 11:11:36 RAM 2468/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [17%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 31%@3199 GR3D_FREQ 94%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.687C Tboard@37C SOC2@43.937C Tdiode@38.25C SOC0@44.406C CV1@-256C GPU@43.906C tj@47.375C SOC1@43.75C CV2@-256C VDD_GPU_SOC 7980mW/7068mW VDD_CPU_CV 399mW/427mW VIN_SYS_5V0 7536mW/6613mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3310mW/2810mW NC 0mW/0mW
09-13-2026 11:11:36 RAM 2468/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 32%@3199 GR3D_FREQ 96%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.5C Tboard@37C SOC2@43.906C Tdiode@38.25C SOC0@44.5C CV1@-256C GPU@43.718C tj@47.5C SOC1@43.656C CV2@-256C VDD_GPU_SOC 7980mW/7129mW VDD_CPU_CV 399mW/425mW VIN_SYS_5V0 7435mW/6668mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3310mW/2844mW NC 0mW/0mW
09-13-2026 11:11:36 RAM 2469/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [9%@1696,0%@729,0%@729,0%@729,4%@729,0%@729,0%@729,4%@729,off,off,off,off] EMC_FREQ 32%@3199 GR3D_FREQ 94%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.656C Tboard@37C SOC2@44C Tdiode@38.5C SOC0@44.531C CV1@-256C GPU@43.687C tj@47.656C SOC1@43.625C CV2@-256C VDD_GPU_SOC 7980mW/7182mW VDD_CPU_CV 399mW/423mW VIN_SYS_5V0 7536mW/6722mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3310mW/2873mW NC 0mW/0mW
09-13-2026 11:11:36 RAM 2469/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@835,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 33%@3199 GR3D_FREQ 96%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.437C Tboard@37C SOC2@44C Tdiode@38.5C SOC0@44.406C CV1@-256C GPU@43.687C tj@47.437C SOC1@43.75C CV2@-256C VDD_GPU_SOC 8379mW/7253mW VDD_CPU_CV 399mW/422mW VIN_SYS_5V0 7536mW/6770mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3310mW/2898mW NC 0mW/0mW
09-13-2026 11:11:36 RAM 2469/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [13%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 33%@3199 GR3D_FREQ 96%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.437C Tboard@37C SOC2@44.062C Tdiode@38.5C SOC0@44.375C CV1@-256C GPU@43.843C tj@47.437C SOC1@43.781C CV2@-256C VDD_GPU_SOC 7984mW/7293mW VDD_CPU_CV 399mW/421mW VIN_SYS_5V0 7536mW/6812mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3310mW/2921mW NC 0mW/0mW
09-13-2026 11:11:37 RAM 2469/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 33%@3199 GR3D_FREQ 95%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.406C Tboard@37C SOC2@43.968C Tdiode@38.5C SOC0@44.406C CV1@-256C GPU@43.937C tj@47.593C SOC1@43.687C CV2@-256C VDD_GPU_SOC 7984mW/7330mW VDD_CPU_CV 399mW/419mW VIN_SYS_5V0 7536mW/6850mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3310mW/2942mW NC 0mW/0mW
09-13-2026 11:11:37 RAM 2469/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 34%@3199 GR3D_FREQ 95%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.437C Tboard@37C SOC2@44C Tdiode@38.5C SOC0@44.5C CV1@-256C GPU@43.718C tj@47.437C SOC1@43.687C CV2@-256C VDD_GPU_SOC 7980mW/7362mW VDD_CPU_CV 399mW/418mW VIN_SYS_5V0 7536mW/6885mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3310mW/2960mW NC 0mW/0mW
09-13-2026 11:11:37 RAM 2469/62801MB (lfb 14035x4MB) SWAP 0/31400MB (cached 0MB) CPU [13%@729,0%@729,0%@729,0%@849,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 34%@3199 GR3D_FREQ 95%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.5C Tboard@37C SOC2@44.093C Tdiode@38.5C SOC0@44.375C CV1@-256C GPU@43.812C tj@47.5C SOC1@43.781C CV2@-256C VDD_GPU_SOC 7984mW/7392mW VDD_CPU_CV 399mW/417mW VIN_SYS_5V0 7536mW/6916mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3310mW/2977mW NC 0mW/0mW
09-13-2026 11:11:37 RAM 2787/62801MB (lfb 13998x4MB) SWAP 0/31400MB (cached 0MB) CPU [61%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 32%@3199 GR3D_FREQ 0%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.625C Tboard@37C SOC2@44.156C Tdiode@38.25C SOC0@44.5C CV1@-256C GPU@43.437C tj@47.625C SOC1@43.843C CV2@-256C VDD_GPU_SOC 7185mW/7382mW VDD_CPU_CV 399mW/417mW VIN_SYS_5V0 6732mW/6907mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2813mW/2969mW NC 0mW/0mW
09-13-2026 11:11:38 RAM 2779/62801MB (lfb 14000x4MB) SWAP 0/31400MB (cached 0MB) CPU [100%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729,4%@729,0%@729,off,off,off,off] EMC_FREQ 27%@3199 GR3D_FREQ 0%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@47.656C Tboard@37C SOC2@44.093C Tdiode@38.5C SOC0@44.468C CV1@-256C GPU@43.562C tj@47.656C SOC1@43.937C CV2@-256C VDD_GPU_SOC 5988mW/7322mW VDD_CPU_CV 798mW/433mW VIN_SYS_5V0 5635mW/6852mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2110mW/2932mW NC 0mW/0mW
