round,sample,wall_ms,read_bytes,write_bytes,effective_MB_s,effective_Mb_s
0,0,6.020108,134217728,134217728,44589.80735893775,356718.458871502
0,1,4.833565,134217728,134217728,55535.7083229459,444285.6665835672
0,2,4.602394,134217728,134217728,58325.1794609501,466601.4356876008
0,3,4.262005,134217728,134217728,62983.37425695183,503866.99405561463
0,4,4.611194,134217728,134217728,58213.871721727606,465710.97377382085
0,5,4.248597,134217728,134217728,63182.141304529476,505457.1304362358
0,6,4.250805,134217728,134217728,63149.32254008359,505194.5803206687
0,7,4.27151,134217728,134217728,62843.22312250234,502745.78498001874
0,8,4.623258,134217728,134217728,58061.96755621253,464495.7404497002
0,9,4.675162,134217728,134217728,57417.359227338005,459338.87381870404
0,10,4.579001,134217728,134217728,58623.14858634012,468985.18869072094
0,11,4.356087,134217728,134217728,61623.07042995239,492984.56343961915
0,12,4.169524,134217728,134217728,64380.35996435084,515042.87971480674
0,13,4.237493,134217728,134217728,63347.704881164405,506781.63904931524
0,14,4.18674,134217728,134217728,64115.62600018152,512925.00800145214
0,15,4.225141,134217728,134217728,63532.89890207214,508263.19121657714
0,16,4.1645959999999995,134217728,134217728,64456.541762994544,515652.33410395635
0,17,4.235125,134217728,134217728,63383.12470115994,507064.9976092795
0,18,4.1628680000000005,134217728,134217728,64483.2975727311,515866.3805818488
0,19,4.238997,134217728,134217728,63325.22905772285,506601.8324617828
0,20,4.162548,134217728,134217728,64488.25479009491,515906.03832075925
0,21,3.9372649999999996,134217728,134217728,68178.15310882046,545425.2248705637
0,22,4.534039999999999,134217728,134217728,59204.474596607004,473635.79677285603
0,23,4.196275999999999,134217728,134217728,63969.92380863414,511759.39046907314
0,24,3.8756329999999997,134217728,134217728,69262.35172422157,554098.8137937726
0,25,3.9190889999999996,134217728,134217728,68494.35060035637,547954.8048028509
0,26,4.171572,134217728,134217728,64348.752940138635,514790.0235211091
0,27,4.2373970000000005,134217728,134217728,63349.14004989383,506793.12039915065
0,28,4.166836,134217728,134217728,64421.89133433617,515375.13067468937
0,29,4.240149000000001,134217728,134217728,63308.02431706998,506464.19453655987
0,30,4.168468,134217728,134217728,64396.66947185393,515173.35577483143
0,31,3.924145,134217728,134217728,68406.10018233271,547248.8014586617
0,32,4.169492,134217728,134217728,64380.85407047188,515046.83256377507
0,33,4.245461,134217728,134217728,63228.81213606721,505830.49708853767
0,34,4.533241,134217728,134217728,59214.90959779107,473719.27678232855
0,35,4.2318929999999995,134217728,134217728,63431.53194090683,507452.25552725466
0,36,4.173557,134217728,134217728,64318.14780533727,514545.18244269816
0,37,4.184372,134217728,134217728,64151.910011824955,513215.28009459964
0,38,3.925169,134217728,134217728,68388.25436560821,547106.0349248657
0,39,4.171636,134217728,134217728,64347.76572069087,514782.12576552696
0,40,3.929233,134217728,134217728,68317.52049318531,546540.1639454825
0,41,4.1677,134217728,134217728,64408.536123041486,515268.2889843319
0,42,4.201397,134217728,134217728,63891.95212925606,511135.6170340485
0,43,3.869936,134217728,134217728,69364.31403516751,554914.5122813401
0,44,3.9172649999999996,134217728,134217728,68526.24369298478,548209.9495438782
0,45,4.643706,134217728,134217728,57806.29867610051,462450.38940880407
0,46,4.430968,134217728,134217728,60581.673349931654,484653.38679945323
0,47,4.282582,134217728,134217728,62680.751004884434,501446.0080390755
0,48,4.437816,134217728,134217728,60488.189686097845,483905.51748878276
0,49,3.9310889999999996,134217728,134217728,68285.26548241467,546282.1238593174
0,50,4.561241,134217728,134217728,58851.4082022853,470811.2656182824
0,51,4.534937,134217728,134217728,59192.76408911523,473542.11271292187
0,52,4.561529,134217728,134217728,58847.69251713625,470781.54013709
0,53,4.5894330000000005,134217728,134217728,58489.89537487528,467919.16299900226
0,54,4.162675999999999,134217728,134217728,64486.27181169037,515890.17449352297
0,55,4.232565,134217728,134217728,63421.46098169786,507371.6878535829
0,56,4.173299999999999,134217728,134217728,64322.10864304029,514576.8691443223
0,57,4.271509,134217728,134217728,62843.23783468559,502745.90267748473
0,58,4.523033,134217728,134217728,59348.551292904565,474788.4103432365
0,59,4.222069,134217728,134217728,63579.12577932762,508633.006234621
0,60,4.168501,134217728,134217728,64396.15967466483,515169.2773973186
0,61,4.1837,134217728,134217728,64162.214307909264,513297.7144632741
0,62,3.933074,134217728,134217728,68250.80229866004,546006.4183892803
0,63,4.170452,134217728,134217728,64366.03418526337,514928.273482107
0,64,4.244565,134217728,134217728,63242.15932610291,505937.2746088233
0,65,4.16434,134217728,134217728,64460.50418553721,515684.0334842977
0,66,4.234101,134217728,134217728,63398.453650491574,507187.6292039326
0,67,4.202805000000001,134217728,134217728,63870.54740821903,510964.3792657522
0,68,4.171284,134217728,134217728,64353.195802539456,514825.56642031565
0,69,4.248277,134217728,134217728,63186.90047753477,505495.20382027817
0,70,4.530009,134217728,134217728,59257.157325736,474057.258605888
0,71,4.251733,134217728,134217728,63135.5393200843,505084.3145606744
0,72,4.168628,134217728,134217728,64394.197803210074,515153.5824256806
0,73,4.231637,134217728,134217728,63435.36933815448,507482.95470523584
0,74,4.1708359999999995,134217728,134217728,64360.108141389406,514880.86513111525
0,75,4.213013,134217728,134217728,63715.791050253116,509726.3284020249
0,76,4.168019999999999,134217728,134217728,64403.59115359331,515228.7292287465
0,77,3.9187689999999997,134217728,134217728,68499.94373233023,547999.5498586418
0,78,4.173141,134217728,134217728,64324.55936667369,514596.4749333895
0,79,3.927473,134217728,134217728,68348.13530226688,546785.082418135
0,80,4.181653,134217728,134217728,64193.622952454454,513548.98361963563
0,81,4.196596,134217728,134217728,63965.045956294096,511720.36765035277
0,82,4.210547999999999,134217728,134217728,63753.09247157378,510024.7397725902
0,83,4.16514,134217728,134217728,64448.12323235233,515584.98585881863
0,84,3.9361129999999998,134217728,134217728,68198.10711735157,545584.8569388125
0,85,4.159732,134217728,134217728,64531.91119043246,516255.2895234597
0,86,3.923505,134217728,134217728,68417.25854816039,547338.0683852831
0,87,4.171860000000001,134217728,134217728,64344.31069115454,514754.4855292363
0,88,3.931826,134217728,134217728,68272.46577035708,546179.7261628567
0,89,4.1601479999999995,134217728,134217728,64525.45822888994,516203.6658311195
0,90,4.231413,134217728,134217728,63438.72744163711,507509.81953309686
0,91,4.173813,134217728,134217728,64314.20286438324,514513.6229150659
0,92,4.239541,134217728,134217728,63317.103431715834,506536.82745372667
0,93,4.539641,134217728,134217728,59131.428234082836,473051.4258726627
0,94,4.425944,134217728,134217728,60650.44112623205,485203.5290098564
0,95,4.166740000000001,134217728,134217728,64423.37558858964,515387.0047087171
0,96,4.250294,134217728,134217728,63156.91479224731,505255.3183379785
0,97,4.184916,134217728,134217728,64143.57086259318,513148.56690074544
0,98,4.228085,134217728,134217728,63488.66117876059,507909.2894300847
