09-13-2026 12:05:48 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,8%@729,13%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.906C Tboard@35C SOC2@41.593C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@45.156C SOC1@41.468C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/166mW VIN_SYS_5V0 2512mW/2580mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/376mW NC 0mW/0mW
09-13-2026 12:05:49 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,21%@729,0%@729,4%@729,0%@729,0%@729,4%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.812C Tboard@35C SOC2@41.656C Tdiode@36.25C SOC0@42.187C CV1@-256C GPU@-256C tj@44.812C SOC1@41.531C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/153mW VIN_SYS_5V0 2512mW/2575mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/370mW NC 0mW/0mW
09-13-2026 12:05:49 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,8%@729,24%@729,0%@729,0%@729,0%@729,4%@729,9%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45C Tboard@35C SOC2@41.562C Tdiode@36C SOC0@42.093C CV1@-256C GPU@-256C tj@45C SOC1@41.531C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/142mW VIN_SYS_5V0 2512mW/2571mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/365mW NC 0mW/0mW
09-13-2026 12:05:49 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,12%@729,17%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.187C Tboard@35C SOC2@41.562C Tdiode@36C SOC0@42.343C CV1@-256C GPU@-256C tj@45.187C SOC1@41.625C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/133mW VIN_SYS_5V0 2512mW/2567mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/361mW NC 0mW/0mW
09-13-2026 12:05:49 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [8%@729,0%@729,17%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.875C Tboard@35C SOC2@41.593C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@44.781C SOC1@41.468C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/124mW VIN_SYS_5V0 2512mW/2563mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/357mW NC 0mW/0mW
09-13-2026 12:05:50 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,8%@729,21%@729,0%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.875C Tboard@35C SOC2@41.562C Tdiode@35.75C SOC0@42.187C CV1@-256C GPU@-256C tj@44.875C SOC1@41.5C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/117mW VIN_SYS_5V0 2512mW/2560mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/354mW NC 0mW/0mW
09-13-2026 12:05:50 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,17%@729,0%@729,0%@729,0%@729,4%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.906C Tboard@35C SOC2@41.562C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@45.062C SOC1@41.375C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/110mW VIN_SYS_5V0 2512mW/2557mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/351mW NC 0mW/0mW
09-13-2026 12:05:50 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [8%@729,8%@729,16%@729,4%@729,4%@729,0%@729,12%@729,4%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45C Tboard@35C SOC2@41.531C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@45C SOC1@41.468C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/105mW VIN_SYS_5V0 2512mW/2555mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/348mW NC 0mW/0mW
09-13-2026 12:05:50 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,0%@729,0%@729,0%@729,0%@729,17%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.843C Tboard@35C SOC2@41.5C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@44.843C SOC1@41.656C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/99mW VIN_SYS_5V0 2516mW/2553mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/346mW NC 0mW/0mW
09-13-2026 12:05:51 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,4%@729,4%@729,17%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.812C Tboard@35C SOC2@41.468C Tdiode@36C SOC0@42.25C CV1@-256C GPU@-256C tj@44.812C SOC1@41.531C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/95mW VIN_SYS_5V0 2512mW/2551mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/344mW NC 0mW/0mW
09-13-2026 12:05:51 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,20%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.781C Tboard@35C SOC2@41.593C Tdiode@36C SOC0@42.25C CV1@-256C GPU@-256C tj@44.781C SOC1@41.562C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/90mW VIN_SYS_5V0 2512mW/2549mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/342mW NC 0mW/0mW
09-13-2026 12:05:51 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,16%@729,0%@729,4%@729,4%@729,8%@729,20%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.843C Tboard@35C SOC2@41.625C Tdiode@36C SOC0@42.218C CV1@-256C GPU@-256C tj@44.843C SOC1@41.625C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/86mW VIN_SYS_5V0 2512mW/2548mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/340mW NC 0mW/0mW
09-13-2026 12:05:51 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,13%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.937C Tboard@35C SOC2@41.562C Tdiode@36C SOC0@42.218C CV1@-256C GPU@-256C tj@45C SOC1@41.406C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/83mW VIN_SYS_5V0 2512mW/2546mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/338mW NC 0mW/0mW
09-13-2026 12:05:51 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,4%@729,0%@729,4%@729,0%@729,4%@729,20%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.125C Tboard@35C SOC2@41.593C Tdiode@36C SOC0@42.218C CV1@-256C GPU@-256C tj@45.125C SOC1@41.468C CV2@-256C VDD_GPU_SOC 1996mW/1995mW VDD_CPU_CV 0mW/79mW VIN_SYS_5V0 2512mW/2545mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/337mW NC 0mW/0mW
09-13-2026 12:05:52 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,4%@729,0%@729,0%@729,0%@729,0%@729,16%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.906C Tboard@35C SOC2@41.531C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@44.906C SOC1@41.437C CV2@-256C VDD_GPU_SOC 1996mW/1995mW VDD_CPU_CV 0mW/76mW VIN_SYS_5V0 2512mW/2543mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/335mW NC 0mW/0mW
09-13-2026 12:05:52 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,13%@729,0%@729,0%@729,9%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.875C Tboard@35C SOC2@41.562C Tdiode@36C SOC0@42.218C CV1@-256C GPU@-256C tj@44.875C SOC1@41.625C CV2@-256C VDD_GPU_SOC 1996mW/1995mW VDD_CPU_CV 0mW/73mW VIN_SYS_5V0 2512mW/2542mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/334mW NC 0mW/0mW
