stage,sequence,release_ns,queued_ns,start_ns,end_ns,queue_ms,service_ms,age_ms,dispatch_lag_ms,thread_cpu_ms,beam_index,output_samples
live,1063,13194291847738,13194292050784,13194292127425,13194294896324,0.076641,2.768899,3.048586,0.203046,2.752,0,480
live,1064,13194301847738,13194301994334,13194302296130,13194306626553,0.301796,4.330423,4.778815,0.146596,4.310272,0,480
live,1065,13194311847738,13194312060958,13194312356098,13194317117599,0.29514,4.761501,5.269861,0.21322,3.689824,0,480
live,1066,13194321847738,13194321971132,13194322240576,13194325827437,0.269444,3.586861,3.979699,0.123394,3.56224,0,480
live,1067,13194331847738,13194332045500,13194332441058,13194336895450,0.395558,4.454392,5.047712,0.197762,4.415328,0,480
live,1068,13194341847738,13194342024219,13194342421600,13194346998715,0.397381,4.577115,5.150977,0.176481,4.02944,0,480
live,1069,13194351847738,13194351983290,13194352043355,13194354827838,0.060065,2.784483,2.9801,0.135552,2.76752,0,480
live,1070,13194361847738,13194361955289,13194362016250,13194365588871,0.060961,3.572621,3.741133,0.107551,3.559584,0,480
live,1071,13194371847738,13194371995417,13194372085402,13194375990891,0.089985,3.905489,4.143153,0.147679,3.900832,0,480
live,1072,13194381847738,13194381971831,13194382025656,13194384768219,0.053825,2.742563,2.920481,0.124093,2.715584,0,480
live,1073,13194391847738,13194391957750,13194392031511,13194395638437,0.073761,3.606926,3.790699,0.110012,3.61312,0,480
live,1074,13194401847738,13194401976150,13194402029847,13194404761145,0.053697,2.731298,2.913407,0.128412,2.700032,0,480
live,1075,13194411847738,13194411961653,13194412030806,13194416058921,0.069153,4.028115,4.211183,0.113915,4.018048,0,480
live,1076,13194421847738,13194421992276,13194422072181,13194426016616,0.079905,3.944435,4.168878,0.144538,3.922976,0,480
live,1077,13194431847738,13194431978739,13194432044532,13194435387679,0.065793,3.343147,3.539941,0.131001,2.824032,0,480
live,1078,13194441847738,13194441957266,13194442026483,13194445820964,0.069217,3.794481,3.973226,0.109528,3.780096,0,480
live,1079,13194451847738,13194451987634,13194452076115,13194456129735,0.088481,4.05362,4.281997,0.139896,4.032928,0,480
live,1080,13194461847738,13194461974001,13194462031410,13194466058533,0.057409,4.027123,4.210795,0.126263,4.004288,0,480
live,1081,13194471847738,13194471967536,13194472066897,13194476803438,0.099361,4.736541,4.9557,0.119798,4.206304,0,480
live,1082,13194481847738,13194481969679,13194482038416,13194487036944,0.068737,4.998528,5.189206,0.121941,4.329056,0,480
live,1083,13194491847738,13194492077456,13194492204721,13194497935514,0.127265,5.730793,6.087776,0.229718,4.323744,0,480
live,1084,13194501847738,13194501997582,13194502066543,13194505311672,0.068961,3.245129,3.463934,0.149844,3.00224,0,480
live,1085,13194511847738,13194511966637,13194512038958,13194515706236,0.072321,3.667278,3.858498,0.118899,3.674144,0,480
live,1086,13194521847738,13194521989548,13194522059341,13194525912638,0.069793,3.853297,4.0649,0.14181,3.824,0,480
live,1087,13194531847738,13194531998252,13194532096077,13194535942302,0.097825,3.846225,4.094564,0.150514,3.840384,0,480
live,1088,13194541847738,13194541973578,13194542033355,13194545195283,0.059777,3.161928,3.347545,0.12584,2.881568,0,480
