case,round,sample,wall_ms,budget_ms,device_ms
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,37,8.589159,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,37,8.626119,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,38,8.084352,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,38,8.117793,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,39,8.05248,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,39,8.086528,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,40,7.358328,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,40,7.391,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,41,7.178198,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,41,7.212726,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,42,7.714525,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,42,7.749949,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,43,7.445273,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,43,7.481433,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,44,7.688668,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,44,7.761565,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,45,7.250455,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,45,7.296023,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,46,7.815134,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,46,7.850526,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,47,8.036064,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,47,8.068736,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,48,8.019328,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,48,8.049856,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,49,8.059264,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,49,8.094241,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,50,8.393861,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,50,8.427941,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,51,8.696904,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,51,8.728168,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,52,8.160098,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,52,8.189378,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,53,8.467813,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,53,8.491942,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,54,8.342916,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,54,8.368484,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,55,8.300803,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,55,8.332131,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,56,8.052481,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,56,8.096065,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,57,7.837949,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,57,7.87219,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,58,7.757853,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,58,7.793117,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,59,8.215266,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,59,8.239587,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,60,7.874974,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,60,7.899422,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,61,7.646011,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,61,7.673884,40.0,
