09-13-2026 11:56:33 RAM 3579/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [31%@1728,34%@1728,37%@1728,27%@1728,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@665 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.312C Tboard@36C SOC2@41.875C Tdiode@36.25C SOC0@42.5C CV1@-256C GPU@-256C tj@45.312C SOC1@41.718C CV2@-256C VDD_GPU_SOC 2394mW/2394mW VDD_CPU_CV 798mW/798mW VIN_SYS_5V0 3019mW/3019mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/603mW NC 0mW/0mW
09-13-2026 11:56:33 RAM 3582/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [23%@1728,40%@1728,13%@1728,43%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@665 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.625C Tboard@36C SOC2@41.843C Tdiode@36.25C SOC0@42.375C CV1@-256C GPU@-256C tj@45.625C SOC1@41.593C CV2@-256C VDD_GPU_SOC 2394mW/2394mW VDD_CPU_CV 798mW/798mW VIN_SYS_5V0 3019mW/3019mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/603mW NC 0mW/0mW
09-13-2026 11:56:34 RAM 3578/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [14%@1728,16%@729,28%@729,15%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 6%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.406C Tboard@36C SOC2@41.843C Tdiode@36.25C SOC0@42.437C CV1@-256C GPU@-256C tj@45.156C SOC1@41.781C CV2@-256C VDD_GPU_SOC 2394mW/2394mW VDD_CPU_CV 798mW/798mW VIN_SYS_5V0 2918mW/2985mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/603mW NC 0mW/0mW
09-13-2026 11:56:34 RAM 3578/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,8%@729,0%@729,22%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 5%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.125C Tboard@36C SOC2@41.718C Tdiode@36.25C SOC0@42.468C CV1@-256C GPU@-256C tj@45.125C SOC1@41.593C CV2@-256C VDD_GPU_SOC 1995mW/2294mW VDD_CPU_CV 399mW/698mW VIN_SYS_5V0 2817mW/2943mW NC 0mW/0mW VDDQ_VDD2_1V8AO 503mW/578mW NC 0mW/0mW
09-13-2026 11:56:34 RAM 3578/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,4%@729,33%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 4%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.218C Tboard@36C SOC2@41.718C Tdiode@36.25C SOC0@42.312C CV1@-256C GPU@-256C tj@45.125C SOC1@41.781C CV2@-256C VDD_GPU_SOC 1995mW/2234mW VDD_CPU_CV 399mW/638mW VIN_SYS_5V0 2616mW/2877mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/542mW NC 0mW/0mW
09-13-2026 11:56:34 RAM 3578/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [8%@729,4%@729,0%@729,40%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 4%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.031C Tboard@36C SOC2@41.687C Tdiode@36.25C SOC0@42.343C CV1@-256C GPU@-256C tj@45.031C SOC1@41.593C CV2@-256C VDD_GPU_SOC 1995mW/2194mW VDD_CPU_CV 399mW/598mW VIN_SYS_5V0 2616mW/2834mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/519mW NC 0mW/0mW
09-13-2026 11:56:34 RAM 3578/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,4%@729,0%@729,38%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 3%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.968C Tboard@36C SOC2@41.75C Tdiode@36C SOC0@42.406C CV1@-256C GPU@-256C tj@44.968C SOC1@41.718C CV2@-256C VDD_GPU_SOC 1995mW/2166mW VDD_CPU_CV 399mW/570mW VIN_SYS_5V0 2512mW/2788mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/502mW NC 0mW/0mW
09-13-2026 11:56:35 RAM 3579/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [29%@806,8%@806,34%@806,8%@883,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 3%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.062C Tboard@35C SOC2@41.812C Tdiode@36.25C SOC0@42.406C CV1@-256C GPU@-256C tj@45.062C SOC1@41.75C CV2@-256C VDD_GPU_SOC 1995mW/2144mW VDD_CPU_CV 399mW/548mW VIN_SYS_5V0 2616mW/2766mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/490mW NC 0mW/0mW
09-13-2026 11:56:35 RAM 3579/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [9%@729,20%@729,8%@729,8%@729,0%@729,4%@729,0%@729,13%@729,off,off,off,off] EMC_FREQ 3%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.281C Tboard@36C SOC2@41.718C Tdiode@36C SOC0@42.375C CV1@-256C GPU@-256C tj@45.281C SOC1@41.687C CV2@-256C VDD_GPU_SOC 1995mW/2128mW VDD_CPU_CV 399mW/532mW VIN_SYS_5V0 2616mW/2749mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/480mW NC 0mW/0mW
09-13-2026 11:56:35 RAM 3579/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [30%@729,4%@729,4%@729,9%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.968C Tboard@36C SOC2@41.812C Tdiode@36C SOC0@42.375C CV1@-256C GPU@-256C tj@44.968C SOC1@41.718C CV2@-256C VDD_GPU_SOC 1995mW/2114mW VDD_CPU_CV 0mW/478mW VIN_SYS_5V0 2516mW/2726mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/472mW NC 0mW/0mW
09-13-2026 11:56:35 RAM 3579/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [20%@729,8%@729,8%@729,4%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.187C Tboard@36C SOC2@41.781C Tdiode@36C SOC0@42.531C CV1@-256C GPU@-256C tj@45.187C SOC1@41.656C CV2@-256C VDD_GPU_SOC 1995mW/2103mW VDD_CPU_CV 0mW/435mW VIN_SYS_5V0 2512mW/2707mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/466mW NC 0mW/0mW
