stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,0,15705757380928,15705757611840,15705757714434,15705764600985,7.220057,0.102594,6.886551,15360
live,1,15705767380928,15705767539295,15705767600064,15705770691527,3.310599,0.060769,3.091463,15360
live,2,15705777380928,15705777487870,15705777545375,15705780758856,3.377928,0.057505,3.213481,15360
live,3,15705787380928,15705787495869,15705787558622,15705791140012,3.759084,0.062753,3.58139,15360
live,4,15705797380928,15705797490781,15705797557374,15705801160236,3.779308,0.066593,3.602862,15360
live,5,15705807380928,15705807495292,15705807565853,15705811468655,4.087727,0.070561,3.902802,15360
live,6,15705817380928,15705817492220,15705817557405,15705821388334,4.007406,0.065185,3.830929,15360
live,7,15705827380928,15705827495227,15705827569596,15705831211659,3.830731,0.074369,3.642063,15360
live,8,15705837380928,15705837492443,15705837556828,15705841355436,3.974508,0.064385,3.798608,15360
live,9,15705847380928,15705847493882,15705847570875,15705851514574,4.133646,0.076993,3.943699,15360
live,10,15705857380928,15705857499706,15705857760285,15705862106869,4.725941,0.260579,4.346584,15360
live,11,15705867380928,15705867492185,15705867570170,15705871389099,4.008171,0.077985,3.818929,15360
live,12,15705877380928,15705877494777,15705877569626,15705881768527,4.387599,0.074849,4.198901,15360
live,13,15705887380928,15705887544473,15705887812636,15705892831356,5.450428,0.268163,5.01872,15360
live,14,15705897380928,15705897609593,15705897893885,15705902864060,5.483132,0.284292,4.970175,15360
live,15,15705907380928,15705907521496,15705907601689,15705911696621,4.315693,0.080193,4.094932,15360
live,16,15705917380928,15705917509175,15705917580184,15705921357448,3.97652,0.071009,3.777264,15360
live,17,15705927380928,15705927500438,15705927577847,15705931412840,4.031912,0.077409,3.834993,15360
live,18,15705937380928,15705937498870,15705937739033,15705942343604,4.962676,0.240163,4.604571,15360
live,19,15705947380928,15705947497621,15705947578422,15705952735768,5.35484,0.080801,5.157346,15360
live,20,15705957380928,15705957503285,15705957578134,15705963385824,6.004896,0.074849,5.80769,15360
live,21,15705967380928,15705967499348,15705967556181,15705971706858,4.32593,0.056833,4.150677,15360
live,22,15705977380928,15705977497556,15705977570165,15705981652905,4.271977,0.072609,4.08274,15360
live,23,15705987380928,15705987494195,15705987568372,15705991347748,3.96682,0.074177,3.779376,15360
live,24,15705997380928,15705997492307,15705997557908,15706002353201,4.972273,0.065601,4.795293,15360
live,25,15706007380928,15706007499922,15706007754006,15706012451570,5.070642,0.254084,4.697564,15360
live,26,15706017380928,15706017490514,15706017562451,15706021548549,4.167621,0.071937,3.986098,15360
