case,round,sample,wall_ms,budget_ms,device_ms
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,0,6.279182,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,0,6.30379,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,1,7.054519,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,1,7.079704,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,2,8.168325,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,2,8.193606,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,3,8.278151,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,3,8.301415,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,4,8.125573,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,4,8.149989,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,5,7.89629,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,5,7.921187,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,6,7.636863,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,6,7.660991,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,7,7.449533,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,7,7.473405,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,8,7.763872,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,8,7.787233,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,9,7.850305,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,9,7.875458,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,10,7.98794,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,10,8.01178,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,11,7.69952,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,11,7.72448,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,12,6.732243,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,12,6.755476,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,13,6.687988,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,13,6.712372,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,14,6.62661,40.0,
