stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,0,14061441999632,14061442246846,14061442352672,14061464989560,22.989928,0.105826,22.636888,7680
live,1,14061451999632,14061452352828,14061465176955,14061467587512,15.58788,12.824127,2.410557,7680
live,2,14061461999632,14061462424696,14061467663449,14061469796180,7.796548,5.238753,2.132731,7680
live,3,14061471999632,14061472147121,14061472207890,14061474553231,2.553599,0.060769,2.345341,7680
live,4,14061481999632,14061482123661,14061482387856,14061485234771,3.235139,0.264195,2.846915,7680
live,5,14061491999632,14061492113448,14061492378764,14061495274159,3.274527,0.265316,2.895395,7680
live,6,14061501999632,14061502105284,14061502369415,14061505461614,3.461982,0.264131,3.092199,7680
live,7,14061511999632,14061512110464,14061512386692,14061515456970,3.457338,0.276228,3.070278,7680
live,8,14061521999632,14061522107900,14061522380159,14061526167342,4.16771,0.272259,3.787183,7680
live,9,14061531999632,14061532105400,14061532448060,14061535771877,3.772245,0.34266,3.323817,7680
live,10,14061541999632,14061542106420,14061542385495,14061545916771,3.917139,0.279075,3.531276,7680
live,11,14061551999632,14061552105616,14061552172240,14061555479961,3.480329,0.066624,3.307721,7680
live,12,14061561999632,14061562132748,14061562206733,14061566799590,4.799958,0.073985,4.592857,7680
live,13,14061571999632,14061572170824,14061572258985,14061576524926,4.525294,0.088161,4.265941,7680
live,14,14061581999632,14061582148356,14061582228485,14061585798641,3.799009,0.080129,3.570156,7680
live,15,14061591999632,14061592117599,14061592189536,14061596841722,4.84209,0.071937,4.652186,7680
live,16,14061601999632,14061602183740,14061602281149,14061606427825,4.428193,0.097409,4.146676,7680
live,17,14061611999632,14061612142488,14061612207640,14061615104028,3.104396,0.065152,2.896388,7680
live,18,14061621999632,14061622132979,14061622201492,14061627436885,5.437253,0.068513,5.235393,7680
live,19,14061631999632,14061632141103,14061632213072,14061635638139,3.638507,0.071969,3.425067,7680
live,20,14061641999632,14061642122283,14061642192140,14061664488256,22.488624,0.069857,22.296116,7680
live,21,14061651999632,14061652313129,14061664592641,14061667403204,15.403572,12.279512,2.810563,7680
live,22,14061661999632,14061662241124,14061667474917,14061669741921,7.742289,5.233793,2.267004,7680
live,23,14061671999632,14061672114815,14061672173279,14061674934338,2.934706,0.058464,2.761059,7680
live,24,14061681999632,14061682127963,14061682200380,14061684905725,2.906093,0.072417,2.705345,7680
live,25,14061691999632,14061692110166,14061692168215,14061694956090,2.956458,0.058049,2.787875,7680
live,26,14061701999632,14061702112146,14061702174739,14061705119608,3.119976,0.062593,2.944869,7680
live,27,14061711999632,14061712110926,14061712175247,14061715663034,3.663402,0.064321,3.487787,7680
live,28,14061721999632,14061722112522,14061722173483,14061725489748,3.490116,0.060961,3.316265,7680
live,29,14061731999632,14061732130342,14061732208583,14061735579313,3.579681,0.078241,3.37073,7680
live,30,14061741999632,14061742146594,14061742235843,14061746449304,4.449672,0.089249,4.213461,7680
live,31,14061751999632,14061752143518,14061752212191,14061755712682,3.71305,0.068673,3.500491,7680
live,32,14061761999632,14061762113370,14061762177755,14061765613669,3.614037,0.064385,3.435914,7680
live,33,14061771999632,14061772142358,14061772231383,14061776643854,4.644222,0.089025,4.412471,7680
