timestamp_ns,emc_percent,emc_mhz,gpu_percent,ram_reported_mb,swap_reported_mb
17093271493889,1.0,665.0,0.0,3620.0,0.0
17093494288863,2.0,665.0,0.0,3616.0,0.0
17093719930559,2.0,665.0,0.0,3644.0,0.0
17093945891748,2.0,665.0,0.0,3615.0,0.0
17094192372226,2.0,665.0,0.0,3616.0,0.0
17094418139844,3.0,665.0,0.0,3635.0,0.0
17094647266255,9.0,204.0,0.0,3600.0,0.0
17094876080950,8.0,204.0,0.0,3600.0,0.0
17095103663982,7.0,204.0,0.0,3600.0,0.0
17095340672346,6.0,204.0,0.0,3600.0,0.0
17095563041522,1.0,665.0,0.0,3620.0,0.0
17095793865682,1.0,665.0,0.0,3601.0,0.0
17096029522509,5.0,204.0,0.0,3601.0,0.0
17096254750440,4.0,204.0,0.0,3601.0,0.0
17096487953669,4.0,204.0,0.0,3601.0,0.0
17096709945626,1.0,665.0,0.0,3604.0,0.0
17096943736478,4.0,204.0,0.0,3604.0,0.0
17097166758750,1.0,665.0,0.0,3604.0,0.0
17097425525907,3.0,204.0,0.0,3604.0,0.0
17097650038790,1.0,665.0,0.0,3654.0,0.0
17097903086101,4.0,204.0,0.0,3604.0,0.0
17098141531891,3.0,204.0,0.0,3604.0,0.0
17098365381886,1.0,665.0,0.0,3604.0,0.0
17098587620277,1.0,665.0,0.0,3625.0,0.0
17098827427395,4.0,204.0,0.0,3603.0,0.0
17099053575754,3.0,204.0,0.0,3604.0,0.0
17099292196809,3.0,204.0,0.0,3604.0,0.0
17099525896461,2.0,204.0,0.0,3628.0,0.0
17099747667806,1.0,665.0,0.0,3604.0,0.0
17099971752684,1.0,665.0,0.0,3604.0,0.0
17100203117043,3.0,204.0,0.0,3604.0,0.0
17100429332123,3.0,204.0,0.0,3604.0,0.0
17100652061785,1.0,665.0,0.0,3652.0,0.0
17100904516417,3.0,204.0,0.0,3604.0,0.0
17101140504289,3.0,204.0,0.0,3604.0,0.0
17101363437121,0.0,665.0,0.0,3604.0,0.0
17101584382441,0.0,665.0,0.0,3627.0,0.0
17101816932959,4.0,204.0,0.0,3603.0,0.0
17102044100274,3.0,204.0,0.0,3604.0,0.0
17102269877493,3.0,204.0,0.0,3604.0,0.0
17102507526537,3.0,204.0,0.0,3616.0,0.0
17102742962594,4.0,204.0,0.0,3605.0,0.0
17102965350620,1.0,665.0,0.0,3605.0,0.0
17103222541822,3.0,204.0,0.0,3605.0,0.0
17103458894243,3.0,204.0,0.0,3605.0,0.0
17103683469239,1.0,665.0,0.0,3605.0,0.0
17103912149726,3.0,204.0,0.0,3605.0,0.0
17104150241047,3.0,204.0,0.0,3605.0,0.0
17104375934777,0.0,665.0,0.0,3605.0,0.0
17104597656683,1.0,665.0,0.0,3627.0,0.0
17104825269125,4.0,204.0,0.0,3605.0,0.0
17105051587119,3.0,204.0,0.0,3606.0,0.0
17105283421564,3.0,204.0,0.0,3606.0,0.0
17105525256771,2.0,204.0,0.0,3629.0,0.0
17105752063987,1.0,665.0,0.0,3606.0,0.0
17105975366552,1.0,665.0,0.0,3606.0,0.0
17106221495316,3.0,204.0,0.0,3606.0,0.0
17106448126978,3.0,204.0,0.0,3606.0,0.0
17106670289305,1.0,665.0,0.0,3605.0,0.0
17106897036393,4.0,204.0,0.0,3606.0,0.0
17107137922437,3.0,204.0,0.0,3606.0,0.0
17107364203182,0.0,665.0,0.0,3606.0,0.0
17107584893492,1.0,665.0,0.0,3629.0,0.0
17107818224852,1.0,665.0,0.0,3605.0,0.0
17108046077457,3.0,204.0,0.0,3606.0,0.0
17108273082947,3.0,204.0,0.0,3606.0,0.0
17108522302085,3.0,204.0,0.0,3628.0,0.0
17108750971276,1.0,665.0,0.0,3607.0,0.0
17108974284914,1.0,665.0,0.0,3607.0,0.0
17109219139935,1.0,665.0,0.0,3607.0,0.0
17109447227359,3.0,204.0,0.0,3607.0,0.0
17109690163604,1.0,665.0,0.0,3605.0,0.0
17109911727300,1.0,665.0,0.0,3609.0,0.0
