stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,0,13637962228775,13637962680637,13637962770590,13637964606933,2.378158,0.089953,1.836343,480
live,1,13637972228775,13637972399670,13637972685050,13637973412739,1.183964,0.28538,0.727689,480
live,2,13637982228775,13637982364371,13637982431667,13637983223517,0.994742,0.067296,0.79185,480
live,3,13637992228775,13637992377488,13637992451857,13637993358268,1.129493,0.074369,0.906411,480
live,4,13638002228775,13638002380365,13638002450701,13638003426618,1.197843,0.070336,0.975917,480
live,5,13638012228775,13638012375337,13638012448810,13638013422070,1.193295,0.073473,0.97326,480
live,6,13638022228775,13638022378470,13638022448391,13638023389747,1.160972,0.069921,0.941356,480
live,7,13638032228775,13638032343299,13638032389731,13638033192589,0.963814,0.046432,0.802858,480
live,8,13638042228775,13638042353728,13638042433953,13638043644048,1.415273,0.080225,1.210095,480
live,9,13638052228775,13638052374141,13638052444382,13638053394985,1.16621,0.070241,0.950603,480
live,10,13638062228775,13638062371354,13638062440410,13638063381190,1.152415,0.069056,0.94078,480
live,11,13638072228775,13638072375030,13638072442071,13638073375171,1.146396,0.067041,0.9331,480
live,12,13638082228775,13638082379763,13638082465844,13638083452097,1.223322,0.086081,0.986253,480
live,13,13638092228775,13638092377648,13638092455985,13638093390973,1.162198,0.078337,0.934988,480
live,14,13638102228775,13638102382861,13638102460462,13638103398426,1.169651,0.077601,0.937964,480
live,15,13638112228775,13638112375498,13638112446027,13638113387190,1.158415,0.070529,0.941163,480
live,16,13638122228775,13638122352454,13638122388903,13638123178449,0.949674,0.036449,0.789546,480
live,17,13638132228775,13638132347203,13638132387748,13638133180398,0.951623,0.040545,0.79265,480
live,18,13638142228775,13638142347488,13638142433665,13638143550735,1.32196,0.086177,1.11707,480
live,19,13638152228775,13638152372669,13638152466494,13638153508395,1.27962,0.093825,1.041901,480
live,20,13638162228775,13638162380090,13638162467131,13638165653859,3.425084,0.087041,3.186728,480
live,21,13638172228775,13638172382455,13638172442872,13638172954622,0.725847,0.060417,0.51175,480
live,22,13638182228775,13638182364948,13638182445493,13638183417121,1.188346,0.080545,0.971628,480
live,23,13638192228775,13638192381937,13638192476754,13638193458078,1.229303,0.094817,0.981324,480
live,24,13638202228775,13638202381262,13638202469807,13638203415611,1.186836,0.088545,0.945804,480
live,25,13638212228775,13638212378058,13638212458155,13638213397271,1.168496,0.080097,0.939116,480
live,26,13638222228775,13638222378183,13638222457160,13638223426804,1.198029,0.078977,0.969644,480
live,27,13638232228775,13638232386244,13638232460549,13638233440657,1.211882,0.074305,0.980108,480
live,28,13638242228775,13638242380961,13638242451810,13638243391534,1.162759,0.070849,0.939724,480
live,29,13638252228775,13638252374174,13638252459423,13638253401291,1.172516,0.085249,0.941868,480
live,30,13638262228775,13638262373755,13638262468284,13638263394023,1.165248,0.094529,0.925739,480
live,31,13638272228775,13638272378072,13638272455929,13638273385540,1.156765,0.077857,0.929611,480
live,32,13638282228775,13638282377588,13638282468406,13638283434594,1.205819,0.090818,0.966188,480
live,33,13638292228775,13638292376881,13638292440690,13638293374366,1.145591,0.063809,0.933676,480
live,34,13638302228775,13638302371726,13638302441039,13638303362042,1.133267,0.069313,0.921003,480
live,35,13638312228775,13638312373675,13638312450956,13638313385272,1.156497,0.077281,0.934316,480
live,36,13638322228775,13638322375112,13638322456553,13638323389076,1.160301,0.081441,0.932523,480
live,37,13638332228775,13638332682120,13638333440242,13638334678657,2.449882,0.758122,1.238415,480
live,38,13638342228775,13638342408578,13638342488611,13638343453327,1.224552,0.080033,0.964716,480
live,39,13638352228775,13638352381534,13638352452479,13638353397067,1.168292,0.070945,0.944588,480
live,40,13638362228775,13638362372891,13638362459452,13638365582755,3.35398,0.086561,3.123303,480
live,41,13638372228775,13638372385912,13638372474329,13638373436165,1.20739,0.088417,0.961836,480
live,42,13638382228775,13638382379157,13638382465782,13638383423490,1.194715,0.086625,0.957708,480
live,43,13638392228775,13638392390930,13638392485299,13638393495584,1.266809,0.094369,1.010285,480
