timestamp_ns,rss_bytes,rss_lifetime_peak_bytes,swap_bytes,system_available_bytes,system_total_bytes,minor_faults,major_faults
16243524620194,53321728,53465088,0,61560012800,65851252736,13681,1
16243576841014,84418560,84418560,0,61530836992,65851252736,20475,1
16243629208685,89804800,99602432,0,61529890816,65851252736,21555,1
16243680642999,85032960,99602432,0,61531107328,65851252736,22430,1
16243733495156,84934656,99844096,0,61531881472,65851252736,25152,1
16243786094285,74006528,99844096,0,61541527552,65851252736,26716,1
16243837315157,88612864,99844096,0,61528494080,65851252736,28346,1
16243888666782,85098496,99844096,0,61532913664,65851252736,30665,1
16243939862534,85028864,99844096,0,61532913664,65851252736,33382,1
16243991115758,99618816,99844096,0,61517815808,65851252736,34945,1
16244042481400,84959232,99844096,0,61531107328,65851252736,36099,1
16244093903234,85159936,99844096,0,61530849280,65851252736,38816,1
16244145578256,99749888,99844096,0,61516267520,65851252736,40380,1
16244197353758,85090304,99844096,0,61530849280,65851252736,41534,1
16244248737736,85020672,99844096,0,61530849280,65851252736,44251,1
16244299623404,74080256,99844096,0,61541085184,65851252736,45815,1
16244350118315,74080256,99844096,0,61541085184,65851252736,45815,1
16244401851577,75968512,99844096,0,61539205120,65851252736,46355,1
16244453037344,75968512,99844096,0,61539205120,65851252736,46398,1
16244503896227,75968512,99844096,0,61539205120,65851252736,46399,1
16244555076107,75968512,99844096,0,61539205120,65851252736,46399,1
16244606754872,75968512,99844096,0,61539205120,65851252736,46401,1
16244658026721,75968512,99844096,0,61539205120,65851252736,46402,1
16244709118471,75968512,99844096,0,61539205120,65851252736,46403,1
16244760224877,75968512,99844096,0,61539205120,65851252736,46404,1
16244810998640,75968512,99844096,0,61539205120,65851252736,46406,1
16244862016661,75968512,99844096,0,61538947072,65851252736,46407,1
16244913040282,75968512,99844096,0,61538947072,65851252736,46408,1
16244964394756,75968512,99844096,0,61538947072,65851252736,46410,1
16245015813774,75968512,99844096,0,61538947072,65851252736,46411,1
16245067273433,75968512,99844096,0,61538947072,65851252736,46412,1
16245118586178,75968512,99844096,0,61538947072,65851252736,46414,1
16245170204559,75968512,99844096,0,61538947072,65851252736,46415,1
16245221431255,75968512,99844096,0,61538947072,65851252736,46416,1
16245272507997,75968512,99844096,0,61538947072,65851252736,46417,1
16245323529250,75968512,99844096,0,61538947072,65851252736,46418,1
16245376330174,87973888,99844096,0,61528010752,65851252736,47860,1
16245427756008,91693056,99844096,0,61524365312,65851252736,48267,1
16245478796046,77041664,102563840,0,61537804288,65851252736,49432,1
16245529948149,77041664,102563840,0,61537804288,65851252736,49434,1
16245581176541,77041664,102563840,0,61537804288,65851252736,49434,1
