stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,0,16426659825397,16426660119095,16426660250200,16426704520436,44.695039,0.131105,44.270236,15360
live,1,16426669825397,16426670113961,16426704773335,16426709348044,39.522647,34.659374,4.574709,15360
live,2,16426679825397,16426680100060,16426709472205,16426713398618,33.573221,29.372145,3.926413,15360
live,3,16426689825397,16426690154447,16426713493851,16426717221830,27.396433,23.339404,3.727979,15360
live,4,16426699825397,16426700158754,16426717309479,16426721021650,21.196253,17.150725,3.712171,15360
live,5,16426709825397,16426710010131,16426721100947,16426724730076,14.904679,11.090816,3.629129,15360
live,6,16426719825397,16426719974918,16426724811645,16426728852428,9.027031,4.836727,4.040783,15360
live,7,16426729825397,16426729986393,16426730039673,16426733654787,3.82939,0.05328,3.615114,15360
live,8,16426739825397,16426739947179,16426739996908,16426743561877,3.73648,0.049729,3.564969,15360
live,9,16426749825397,16426749954814,16426750225985,16426754351313,4.525916,0.271171,4.125328,15360
live,10,16426759825397,16426759938129,16426759990449,16426764763848,4.938451,0.05232,4.773399,15360
live,11,16426769825397,16426769941924,16426770000388,16426774617113,4.791716,0.058464,4.616725,15360
live,12,16426779825397,16426779937174,16426779994071,16426784663085,4.837688,0.056897,4.669014,15360
live,13,16426789825397,16426789940521,16426789998858,16426794621631,4.796234,0.058337,4.622773,15360
live,14,16426799825397,16426799938940,16426799991581,16426804563025,4.737628,0.052641,4.571444,15360
live,15,16426809825397,16426809938511,16426809990896,16426814822375,4.996978,0.052385,4.831479,15360
live,16,16426819825397,16426819936546,16426819986562,16426824740953,4.915556,0.050016,4.754391,15360
live,17,16426829825397,16426829986773,16426830038966,16426834247398,4.422001,0.052193,4.208432,15360
live,18,16426839825397,16426839938119,16426839998536,16426844629277,4.80388,0.060417,4.630741,15360
live,19,16426849825397,16426849944762,16426849996699,16426854444174,4.618777,0.051937,4.447475,15360
live,20,16426859825397,16426859937645,16426859994286,16426890294602,30.469205,0.056641,30.300316,15360
live,21,16426869825397,16426870020417,16426890431851,16426894491066,24.665669,20.411434,4.059215,15360
live,22,16426879825397,16426880333751,16426894601499,16426898357382,18.531985,14.267748,3.755883,15360
live,23,16426889825397,16426890068071,16426898451367,16426902168242,12.342845,8.383296,3.716875,15360
live,24,16426899825397,16426899989049,16426902248179,16426905904477,6.07908,2.25913,3.656298,15360
live,25,16426909825397,16426909978028,16426910039596,16426913911257,4.08586,0.061568,3.871661,15360
live,26,16426919825397,16426919948926,16426920000063,16426923672553,3.847156,0.051137,3.67249,15360
live,27,16426929825397,16426929945905,16426929994962,16426933837214,4.011817,0.049057,3.842252,15360
live,28,16426939825397,16426939940516,16426939986948,16426943602414,3.777017,0.046432,3.615466,15360
live,29,16426949825397,16426949947063,16426949995319,16426953559232,3.733835,0.048256,3.563913,15360
live,30,16426959825397,16426959933993,16426959972778,16426963503090,3.677693,0.038785,3.530312,15360
live,31,16426969825397,16426969929244,16426969973021,16426973545094,3.719697,0.043777,3.572073,15360
live,32,16426979825397,16426979931215,16426979981104,16426984083743,4.258346,0.049889,4.102639,15360
live,33,16426989825397,16426989936194,16426989985699,16426993837647,4.01225,0.049505,3.851948,15360
