accepted,expected_hops,completed_hops,dropped_hops,late_hops,late_percent,age_p99_ms,age_max_ms,service_p95_ms,service_median_ms,replay_expected,replay_completed,replay_dropped,replay_late,people,beams_per_person,candidate_beams,selected_streams,origin_ns,elapsed_s,process_cpu_percent_one_core,shared_history_bytes,backend,threads,modeled_live_access_MB_s,sampled_rss_peak_bytes,sampled_rss_increase_bytes,cupy_reserved_bytes,cupy_used_bytes,directory
True,1500,1500,0,0,0.0,4.51821653,8.443563,2.23706645,1.666261,15,15,0,0,1,1,1,1,15847157960369,15.014984246,22.822426627581088,1169408,cpu,4,24.984241998118446,71823360,19828736,,,cpu_4t_people1_beams1_round0
True,1500,1500,0,0,0.0,4.352257759999999,7.820195,2.23119285,1.210064,15,15,0,0,1,1,1,1,15864197327786,15.010724071,21.8073788253258,1169408,cpu,4,24.991332744883948,74452992,19980288,,,cpu_4t_people1_beams1_round1
True,1500,1500,0,0,0.0,4.307816859999999,6.775473,2.1488078,1.122318,15,15,0,0,1,1,1,1,15881231901798,15.009413854,21.103499291613264,1169408,cpu,4,24.993514313686937,70807552,18300928,,,cpu_4t_people1_beams1_round2
True,1500,1500,0,1,0.06666666666666667,4.9717559599999985,10.170394,3.1411231999999996,1.5351235,15,15,0,0,1,4,4,1,15898295491923,15.031712579,25.848707324049048,1169408,cpu,4,47.07248068250866,76771328,23031808,,,cpu_4t_people1_beams4_round0
True,1500,1500,0,0,0.0,5.110399649999999,7.920273,3.1978313499999995,1.3943539999999999,15,15,0,0,1,4,4,1,15915355118032,15.027108405,25.605709691121636,1169408,cpu,4,47.08690327705132,74547200,21483520,,,cpu_4t_people1_beams4_round1
True,1500,1500,0,0,0.0,5.1150775799999995,8.491772,3.1741967999999994,1.3716975,15,15,0,0,1,4,4,1,15932430591868,15.028749943,25.917000379823858,1169408,cpu,4,47.08176013864496,76615680,21536768,,,cpu_4t_people1_beams4_round2
True,1500,1500,0,0,0.0,4.90760126,6.556452,2.5243487999999994,1.7834789999999998,15,15,0,0,2,1,2,2,15949506249585,15.023278688,24.774255298370555,1169408,cpu,4,33.57589315060172,78151680,25931776,,,cpu_4t_people2_beams1_round0
True,1500,1500,0,0,0.0,5.2106824199999995,8.46531,2.4503862,1.128702,15,15,0,0,2,1,2,2,15966615793180,15.020674672,22.434653640833364,1169408,cpu,4,33.5817139386081,75177984,23146496,,,cpu_4t_people2_beams1_round1
True,1500,1500,0,0,0.0,4.640671929999999,8.276754,2.3670347999999994,1.232559,15,15,0,0,2,1,2,2,15983640894275,15.021808145,23.055044216129783,1169408,cpu,4,33.5791800248691,84193280,29503488,,,cpu_4t_people2_beams1_round2
True,1500,1500,0,7,0.4666666666666667,7.597379919999998,11.499494,4.763976199999998,1.572484,15,15,0,0,2,4,8,2,16000816496011,15.047716556,30.726469441873395,1169408,cpu,4,77.70640785586579,77283328,24096768,,,cpu_4t_people2_beams4_round0
True,1500,1500,0,8,0.5333333333333333,6.849390869999998,12.280764,4.270461999999999,1.543955,15,15,0,0,2,4,8,2,16017973116207,15.045390692,30.025689486805103,1169408,cpu,4,77.71842047423516,78258176,26152960,,,cpu_4t_people2_beams4_round1
True,1500,1500,0,3,0.2,7.359975079999997,10.971763,4.157622599999996,1.5304190000000002,15,15,0,0,2,4,8,2,16035201293070,15.045128151,30.209576191626464,1169408,cpu,4,77.71977667882345,82010112,28069888,,,cpu_4t_people2_beams4_round2
True,1500,1500,0,0,0.0,5.480023419999998,7.825885,3.2290554,1.881496,15,15,0,0,4,1,4,4,16052361102330,15.03068108,27.098926542646574,1169408,cpu,4,50.76177160163656,75669504,23719936,,,cpu_4t_people4_beams1_round0
True,1500,1500,0,0,0.0,5.7817471099999995,7.879896,3.2548099999999986,1.4570585,15,15,0,0,4,1,4,4,16069499145477,15.031974689,27.271623754944223,1169408,cpu,4,50.75740318790793,74665984,21630976,,,cpu_4t_people4_beams1_round1
True,1500,1500,0,0,0.0,5.534916219999995,8.494172,3.1822944499999997,1.2096635,15,15,0,0,4,1,4,4,16086722452764,15.036208465,25.474452808444603,1169408,cpu,4,50.74311132198047,78987264,24756224,,,cpu_4t_people4_beams1_round2
False,1500,1500,0,40,2.6666666666666665,11.43220203,16.710472,5.316498649999955,1.799719,15,15,0,0,4,4,16,4,16104138953815,15.064259471,37.85988135892047,1169408,cpu,4,138.92166448863475,87711744,35618816,,,cpu_4t_people4_beams4_round0
