stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,0,17057599733260,17057600124978,17057600464342,17057611446844,11.713584,0.339364,10.982502,7680
live,1,17057609733260,17057610041067,17057611712447,17057614463073,4.729813,1.67138,2.750626,7680
live,2,17057619733260,17057619938307,17057620089733,17057622789030,3.05577,0.151426,2.699297,7680
live,3,17057629733260,17057629933981,17057630034622,17057632473372,2.740112,0.100641,2.43875,7680
live,4,17057639733260,17057639891126,17057639978231,17057642334612,2.601352,0.087105,2.356381,7680
live,5,17057649733260,17057649964401,17057650052786,17057653114199,3.380939,0.088385,3.061413,7680
live,6,17057659733260,17057659887274,17057659961835,17057662128421,2.395161,0.074561,2.166586,7680
live,7,17057669733260,17057669894404,17057669991749,17057672077182,2.343922,0.097345,2.085433,7680
live,8,17057679733260,17057679900445,17057679986398,17057682374620,2.64136,0.085953,2.388222,7680
live,9,17057689733260,17057689906583,17057690292380,17057692502711,2.769451,0.385797,2.210331,7680
live,10,17057699733260,17057699931217,17057700075475,17057702716659,2.983399,0.144258,2.641184,7680
live,11,17057709733260,17057709902891,17057709959211,17057711156634,1.423374,0.05632,1.197423,7680
live,12,17057719733260,17057719891556,17057719988230,17057722291522,2.558262,0.096674,2.303292,7680
live,13,17057729733260,17057729895486,17057729985951,17057731992344,2.259084,0.090465,2.006393,7680
live,14,17057739733260,17057739887672,17057739969849,17057741970193,2.236933,0.082177,2.000344,7680
live,15,17057749733260,17057749884370,17057749967859,17057751990859,2.257599,0.083489,2.023,7680
live,16,17057759733260,17057759882347,17057759956364,17057762074022,2.340762,0.074017,2.117658,7680
live,17,17057769733260,17057769899237,17057769999751,17057772299075,2.565815,0.100514,2.299324,7680
live,18,17057779733260,17057779888287,17057779971232,17057782308381,2.575121,0.082945,2.337149,7680
live,19,17057789733260,17057789878649,17057789967066,17057792800764,3.067504,0.088417,2.833698,7680
live,20,17057799733260,17057799886163,17057799982292,17057810207280,10.47402,0.096129,10.224988,7680
live,21,17057809733260,17057810023630,17057810333938,17057812419307,2.686047,0.310308,2.085369,7680
live,22,17057819733260,17057820337228,17057820459405,17057822638856,2.905596,0.122177,2.179451,7680
live,23,17057829733260,17057829917024,17057830012546,17057832122907,2.389647,0.095522,2.110361,7680
live,24,17057839733260,17057839894714,17057839976027,17057841984339,2.251079,0.081313,2.008312,7680
live,25,17057849733260,17057849876979,17057849957396,17057852068142,2.334882,0.080417,2.110746,7680
live,26,17057859733260,17057859875149,17057859949358,17057862142953,2.409693,0.074209,2.193595,7680
live,27,17057869733260,17057869856327,17057869923976,17057872358117,2.624857,0.067649,2.434141,7680
live,28,17057879733260,17057879884545,17057879962178,17057882461920,2.72866,0.077633,2.499742,7680
live,29,17057889733260,17057889874939,17057889939643,17057892329400,2.59614,0.064704,2.389757,7680
live,30,17057899733260,17057899873012,17057899950005,17057903053115,3.319855,0.076993,3.10311,7680
live,31,17057909733260,17057909932079,17057910046032,17057913338200,3.60494,0.113953,3.292168,7680
live,32,17057919733260,17057919910024,17057920037738,17057923634326,3.901066,0.127714,3.596588,7680
live,33,17057929733260,17057929891042,17057929992739,17057932992872,3.259612,0.101697,3.000133,7680
live,34,17057939733260,17057939860443,17057939938012,17057942714910,2.98165,0.077569,2.776898,7680
live,35,17057949733260,17057949880565,17057949951830,17057952898682,3.165422,0.071265,2.946852,7680
live,36,17057959733260,17057959872207,17057959939440,17057962789843,3.056583,0.067233,2.850403,7680
live,37,17057969733260,17057969860137,17057969943466,17057973407700,3.67444,0.083329,3.464234,7680
live,38,17057979733260,17057979884995,17057979978980,17057983278892,3.545632,0.093985,3.299912,7680
live,39,17057989733260,17057989885821,17057989962365,17057993265446,3.532186,0.076544,3.303081,7680
live,40,17057999733260,17057999876982,17057999948823,17058010973597,11.240337,0.071841,11.024774,7680
live,41,17058009733260,17058010240340,17058011107167,17058014369895,4.636635,0.866827,3.262728,7680
live,42,17058019733260,17058019893770,17058019974027,17058023183378,3.450118,0.080257,3.209351,7680
live,43,17058029733260,17058029889284,17058029992645,17058033375726,3.642466,0.103361,3.383081,7680
