09-13-2026 12:09:49 RAM 3599/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [17%@1728,8%@1728,0%@1728,8%@1728,30%@729,33%@729,33%@729,8%@729,off,off,off,off] EMC_FREQ 5%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.031C Tboard@35C SOC2@41.5C Tdiode@36C SOC0@42.156C CV1@-256C GPU@-256C tj@45.218C SOC1@41.343C CV2@-256C VDD_GPU_SOC 1996mW/1996mW VDD_CPU_CV 798mW/798mW VIN_SYS_5V0 2918mW/2918mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/603mW NC 0mW/0mW
09-13-2026 12:09:49 RAM 3604/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [79%@1728,0%@1728,20%@1728,4%@1728,8%@729,8%@729,4%@729,4%@729,off,off,off,off] EMC_FREQ 2%@665 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.937C Tboard@35C SOC2@41.5C Tdiode@35.75C SOC0@42.218C CV1@-256C GPU@-256C tj@44.875C SOC1@41.406C CV2@-256C VDD_GPU_SOC 2395mW/2195mW VDD_CPU_CV 798mW/798mW VIN_SYS_5V0 3019mW/2968mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/603mW NC 0mW/0mW
09-13-2026 12:09:49 RAM 3594/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,30%@729,4%@729,0%@729,4%@729,0%@729,17%@729,8%@729,off,off,off,off] EMC_FREQ 7%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.781C Tboard@35C SOC2@41.531C Tdiode@35.75C SOC0@42.187C CV1@-256C GPU@-256C tj@44.906C SOC1@41.343C CV2@-256C VDD_GPU_SOC 1996mW/2129mW VDD_CPU_CV 798mW/798mW VIN_SYS_5V0 2918mW/2951mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/603mW NC 0mW/0mW
09-13-2026 12:09:49 RAM 3594/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,0%@729,0%@729,0%@729,0%@729,37%@729,4%@729,off,off,off,off] EMC_FREQ 6%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.937C Tboard@35C SOC2@41.468C Tdiode@35.75C SOC0@42.062C CV1@-256C GPU@-256C tj@44.937C SOC1@41.406C CV2@-256C VDD_GPU_SOC 1996mW/2095mW VDD_CPU_CV 399mW/698mW VIN_SYS_5V0 2817mW/2918mW NC 0mW/0mW VDDQ_VDD2_1V8AO 503mW/578mW NC 0mW/0mW
09-13-2026 12:09:50 RAM 3594/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,36%@729,0%@729,off,off,off,off] EMC_FREQ 5%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.781C Tboard@35C SOC2@41.437C Tdiode@35.75C SOC0@42.187C CV1@-256C GPU@-256C tj@44.781C SOC1@41.312C CV2@-256C VDD_GPU_SOC 1996mW/2075mW VDD_CPU_CV 399mW/638mW VIN_SYS_5V0 2717mW/2877mW NC 0mW/0mW VDDQ_VDD2_1V8AO 503mW/563mW NC 0mW/0mW
09-13-2026 12:09:50 RAM 3594/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,0%@729,0%@729,0%@729,0%@729,36%@729,8%@729,off,off,off,off] EMC_FREQ 4%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.781C Tboard@35C SOC2@41.375C Tdiode@35.75C SOC0@42.062C CV1@-256C GPU@-256C tj@44.781C SOC1@41.343C CV2@-256C VDD_GPU_SOC 1996mW/2062mW VDD_CPU_CV 399mW/598mW VIN_SYS_5V0 2612mW/2833mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/536mW NC 0mW/0mW
09-13-2026 12:09:50 RAM 3597/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,8%@729,4%@729,0%@729,4%@729,37%@729,4%@729,off,off,off,off] EMC_FREQ 3%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.781C Tboard@35C SOC2@41.437C Tdiode@35.75C SOC0@42.187C CV1@-256C GPU@-256C tj@44.781C SOC1@41.406C CV2@-256C VDD_GPU_SOC 1996mW/2053mW VDD_CPU_CV 399mW/570mW VIN_SYS_5V0 2512mW/2787mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/517mW NC 0mW/0mW
09-13-2026 12:09:50 RAM 3595/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [31%@729,0%@729,0%@729,0%@729,0%@729,0%@729,42%@729,0%@729,off,off,off,off] EMC_FREQ 3%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.75C Tboard@35C SOC2@41.562C Tdiode@35.75C SOC0@42.156C CV1@-256C GPU@-256C tj@44.843C SOC1@41.437C CV2@-256C VDD_GPU_SOC 1996mW/2045mW VDD_CPU_CV 399mW/548mW VIN_SYS_5V0 2717mW/2778mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/502mW NC 0mW/0mW
09-13-2026 12:09:51 RAM 3595/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,8%@729,4%@729,16%@729,0%@729,32%@729,8%@729,off,off,off,off] EMC_FREQ 3%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.843C Tboard@35C SOC2@41.406C Tdiode@35.75C SOC0@42.031C CV1@-256C GPU@-256C tj@44.843C SOC1@41.343C CV2@-256C VDD_GPU_SOC 1996mW/2040mW VDD_CPU_CV 399mW/532mW VIN_SYS_5V0 2616mW/2760mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/491mW NC 0mW/0mW
09-13-2026 12:09:51 RAM 3595/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,4%@729,0%@729,0%@729,13%@729,36%@729,0%@729,off,off,off,off] EMC_FREQ 3%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.843C Tboard@35C SOC2@41.531C Tdiode@35.75C SOC0@42.156C CV1@-256C GPU@-256C tj@44.843C SOC1@41.5C CV2@-256C VDD_GPU_SOC 1996mW/2035mW VDD_CPU_CV 399mW/518mW VIN_SYS_5V0 2512mW/2735mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/482mW NC 0mW/0mW
09-13-2026 12:09:51 RAM 3595/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [8%@729,0%@729,4%@729,0%@729,0%@806,0%@806,36%@806,17%@806,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.75C Tboard@35C SOC2@41.468C Tdiode@35.75C SOC0@42.031C CV1@-256C GPU@-256C tj@44.75C SOC1@41.343C CV2@-256C VDD_GPU_SOC 1996mW/2032mW VDD_CPU_CV 399mW/507mW VIN_SYS_5V0 2512mW/2715mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/475mW NC 0mW/0mW
