stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,0,14586938290787,14586938538978,14586938650659,14586942440280,4.149493,0.111681,3.789621,3840
live,1,14586948290787,14586948474509,14586948556110,14586949613853,1.323066,0.081601,1.057743,3840
live,2,14586958290787,14586958435800,14586958505529,14586959611305,1.320518,0.069729,1.105776,3840
live,3,14586968290787,14586968423748,14586968488293,14586969683638,1.392851,0.064545,1.195345,3840
live,4,14586978290787,14586978433232,14586978499985,14586979741282,1.450495,0.066753,1.241297,3840
live,5,14586988290787,14586988434812,14586988515773,14586989882064,1.591277,0.080961,1.366291,3840
live,6,14586998290787,14586998414503,14586998464936,14586999191122,0.900335,0.050433,0.726186,3840
live,7,14587008290787,14587008412915,14587008482260,14587009814855,1.524068,0.069345,1.332595,3840
live,8,14587018290787,14587018429727,14587018501216,14587019837939,1.547152,0.071489,1.336723,3840
live,9,14587028290787,14587028430315,14587028493804,14587029830399,1.539612,0.063489,1.336595,3840
live,10,14587038290787,14587038431159,14587038512376,14587039840331,1.549544,0.081217,1.327955,3840
live,11,14587048290787,14587048442307,14587048530852,14587049907415,1.616628,0.088545,1.376563,3840
live,12,14587058290787,14587058440687,14587058518672,14587059858499,1.567712,0.077985,1.339827,3840
live,13,14587068290787,14587068435483,14587068535932,14587070216339,1.925552,0.100449,1.680407,3840
live,14,14587078290787,14587078439206,14587078507783,14587080209983,1.919196,0.068577,1.7022,3840
live,15,14587088290787,14587088443858,14587088512659,14587090175595,1.884808,0.068801,1.662936,3840
live,16,14587098290787,14587098446334,14587098535840,14587099941907,1.65112,0.089506,1.406067,3840
live,17,14587108290787,14587108452650,14587108557612,14587110002464,1.711677,0.104962,1.444852,3840
live,18,14587118290787,14587118452758,14587118552535,14587120045420,1.754633,0.099777,1.492885,3840
live,19,14587128290787,14587128439106,14587128511171,14587129867798,1.577011,0.072065,1.356627,3840
live,20,14587138290787,14587138444846,14587138521359,14587143951611,5.660824,0.076513,5.430252,3840
live,21,14587148290787,14587148429401,14587148513018,14587149875277,1.58449,0.083617,1.362259,3840
live,22,14587158290787,14587158437317,14587158520678,14587159881145,1.590358,0.083361,1.360467,3840
live,23,14587168290787,14587168436209,14587168517586,14587169869061,1.578274,0.081377,1.351475,3840
live,24,14587178290787,14587178434525,14587178504894,14587179837328,1.546541,0.070369,1.332434,3840
live,25,14587188290787,14587188435273,14587188505994,14587189837596,1.546809,0.070721,1.331602,3840
live,26,14587198290787,14587198545270,14587198627959,14587200424048,2.133261,0.082689,1.796089,3840
live,27,14587208290787,14587208445633,14587208528898,14587209862260,1.571473,0.083265,1.333362,3840
live,28,14587218290787,14587218432524,14587218517805,14587219839200,1.548413,0.085281,1.321395,3840
live,29,14587228290787,14587228432408,14587228510041,14587230171344,1.880557,0.077633,1.661303,3840
live,30,14587238290787,14587238435812,14587239187247,14587240596130,2.305343,0.751435,1.408883,3840
live,31,14587248290787,14587248461072,14587248548913,14587250839249,2.548462,0.087841,2.290336,3840
live,32,14587258290787,14587258457532,14587258541629,14587259895376,1.604589,0.084097,1.353747,3840
live,33,14587268290787,14587268442440,14587268535785,14587269869500,1.578713,0.093345,1.333715,3840
live,34,14587278290787,14587278434611,14587278518549,14587279850055,1.559268,0.083938,1.331506,3840
live,35,14587288290787,14587288438015,14587288518080,14587289858067,1.56728,0.080065,1.339987,3840
live,36,14587298290787,14587298437867,14587298506348,14587299827711,1.536924,0.068481,1.321363,3840
live,37,14587308290787,14587308437815,14587308513528,14587309869483,1.578696,0.075713,1.355955,3840
live,38,14587318290787,14587318437315,14587318518084,14587319851159,1.560372,0.080769,1.333075,3840
live,39,14587328290787,14587328435855,14587328515856,14587329832418,1.541631,0.080001,1.316562,3840
live,40,14587338290787,14587338444987,14587338536252,14587344324845,6.034058,0.091265,5.788593,3840
live,41,14587348290787,14587348443046,14587348556200,14587349935067,1.64428,0.113154,1.378867,3840
live,42,14587358290787,14587358458611,14587358559316,14587360273772,1.982985,0.100705,1.714456,3840
live,43,14587368290787,14587368442238,14587368508255,14587369789745,1.498958,0.066017,1.28149,3840
live,44,14587378290787,14587378417994,14587378495499,14587379810045,1.519258,0.077505,1.314546,3840
live,45,14587388290787,14587388435158,14587388515351,14587389851882,1.561095,0.080193,1.336531,3840
live,46,14587398290787,14587398432802,14587398520835,14587399854805,1.564018,0.088033,1.33397,3840
live,47,14587408290787,14587408446478,14587408525519,14587409908130,1.617343,0.079041,1.382611,3840
live,48,14587418290787,14587418441401,14587418509690,14587419841325,1.550538,0.068289,1.331635,3840
live,49,14587428290787,14587428433285,14587428511142,14587429835929,1.545142,0.077857,1.324787,3840
live,50,14587438290787,14587438435953,14587438512946,14587439829348,1.538561,0.076993,1.316402,3840
live,51,14587448290787,14587448433565,14587448511262,14587449833232,1.542445,0.077697,1.32197,3840
