case,round,sampled_rss_peak_bytes,sampled_rss_increase_bytes,pss_after_bytes,steady_output_fps,python_copy_payload_MB_s,python_copy_read_write_MB_s,compressed_payload_MB_s
jetson_jetson_test_640x360_paced_software_native,5,85458944,65642496,64984064,24.997061100559375,0.0,0.0,0.09454526017172374
jetson_jetson_test_640x360_paced_nvdec_rgb,5,86769664,67158016,62083072,24.9902016815526,17.273227402289155,34.54645480457831,0.09451931609965808
jetson_jetson_test_640x360_throughput_nvdec_rgb,5,85671936,65974272,62310400,385.58391288018737,266.5156005827855,533.031201165571,1.4583766953497106
jetson_jetson_test_640x360_paced_nvdec_native,5,83869696,64327680,61054976,24.995015394217777,0.0,0.0,0.09453752278861606
jetson_jetson_test_640x360_throughput_software_rgb,5,94670848,74948608,72800256,271.9851765231165,187.99615401277813,375.99230802555627,1.0287173029574594
jetson_jetson_test_640x360_throughput_nvdec_native,5,82087936,62402560,56563712,1346.8625099970643,0.0,0.0,5.094177507945675
jetson_jetson_test_640x360_paced_software_rgb,5,91054080,71364608,70856704,25.00034949733553,17.280241572558317,34.560483145116635,0.0945576977269827
jetson_jetson_test_640x360_throughput_software_native,5,96989184,77225984,73722880,1896.0554170424152,0.0,0.0,7.171365145011781
jetson_jetson_test_1280x720_throughput_nvdec_native,0,82739200,63131648,59227136,1000.2961615111749,0.0,0.0,13.642240452601117
jetson_jetson_test_1280x720_paced_nvdec_native,0,89968640,70258688,61315072,24.932858043023916,0.0,0.0,0.34003933802929237
jetson_jetson_test_1280x720_paced_software_native,0,95899648,76095488,69088256,25.021208106134626,0.0,0.0,0.3412442739785995
jetson_jetson_test_1280x720_throughput_nvdec_rgb,0,95125504,75333632,71119872,135.0017546014956,373.252851122215,746.50570224443,1.8411811108165261
jetson_jetson_test_1280x720_paced_nvdec_rgb,0,94695424,74989568,68870144,24.973989510309945,69.04808619810493,138.09617239620985,0.34060029726164265
jetson_jetson_test_1280x720_paced_software_rgb,0,107016192,87191552,79170560,25.002990512885248,69.12826817002512,138.25653634005025,0.3409958187738926
jetson_jetson_test_1280x720_throughput_software_native,0,117202944,97505280,75961344,711.9462507147296,0.0,0.0,9.709666312130176
jetson_jetson_test_1280x720_throughput_software_rgb,0,125714432,105897984,96138240,77.22044812475096,213.49909497531146,426.99818995062293,1.0531480192665867
jetson_jetson_test_1280x720_throughput_nvdec_rgb,1,101396480,81924096,75460608,122.01036028455667,337.33424411474226,674.6684882294845,1.6640018594051365
jetson_jetson_test_1280x720_paced_software_native,1,97091584,77373440,70828032,25.013571591714594,0.0,0.0,0.34114012565738583
jetson_jetson_test_1280x720_throughput_software_native,1,112615424,92872704,69511168,663.6921321596157,0.0,0.0,9.051566927681193
jetson_jetson_test_1280x720_throughput_nvdec_native,1,82702336,63000576,56810496,1018.951262535323,0.0,0.0,13.896662476429059
jetson_jetson_test_1280x720_throughput_software_rgb,1,125640704,105840640,98293760,74.93678848028556,207.18523279029353,414.37046558058705,1.0220030092381238
