case,round,sample,wall_ms,budget_ms,device_ms
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,37,7.790048,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,37,7.816608,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,38,7.880801,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,38,7.906945,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,39,8.227814,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,39,8.253478,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,40,8.122948,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,40,8.154661,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,41,8.57857,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,41,8.60577,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,42,8.632715,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,42,8.660139,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,43,8.512425,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,43,8.540937,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,44,8.535402,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,44,8.56449,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,45,8.649099,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,45,8.676523,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,46,8.511881,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,46,8.539945,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,47,8.648938,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,47,8.678347,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,48,9.027151,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,48,9.057007,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,49,8.616363,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,49,8.653515,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,50,8.531433,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,50,8.558186,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,51,7.773439,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,51,7.80192,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,52,7.667167,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,52,7.695231,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,53,7.999234,40.0,
