timestamp_ns,emc_percent,emc_mhz,gpu_percent,ram_reported_mb,swap_reported_mb
13336032834299,8.0,665.0,0.0,2496.0,0.0
13336254672235,9.0,665.0,0.0,2496.0,0.0
13336476742718,11.0,665.0,0.0,2496.0,0.0
13336698524045,12.0,665.0,0.0,2496.0,0.0
13336920202459,13.0,665.0,0.0,2496.0,0.0
13337143579134,14.0,665.0,0.0,2496.0,0.0
13337365037289,14.0,665.0,0.0,2496.0,0.0
13337587313438,15.0,665.0,0.0,2496.0,0.0
13337809562739,16.0,665.0,0.0,2496.0,0.0
13338031329985,16.0,665.0,0.0,2496.0,0.0
13338253652599,16.0,665.0,0.0,2496.0,0.0
13338475380965,17.0,665.0,0.0,2496.0,0.0
13338697478232,17.0,665.0,0.0,2496.0,0.0
13338918881666,17.0,665.0,0.0,2496.0,0.0
13339140541519,17.0,665.0,0.0,2496.0,0.0
13339362690978,18.0,665.0,0.0,2496.0,0.0
13339585178682,18.0,665.0,0.0,2496.0,0.0
13339806922152,18.0,665.0,0.0,2496.0,0.0
13340028363698,18.0,665.0,0.0,2496.0,0.0
13340250007167,18.0,665.0,0.0,2496.0,0.0
13340471908943,18.0,665.0,0.0,2496.0,0.0
13340694191844,18.0,665.0,0.0,2496.0,0.0
13340915985203,18.0,665.0,0.0,2496.0,0.0
13341137173658,18.0,665.0,0.0,2496.0,0.0
13341359728434,18.0,665.0,0.0,2496.0,0.0
13341581613378,18.0,665.0,0.0,2496.0,0.0
13341803592370,18.0,665.0,0.0,2496.0,0.0
13342025715941,18.0,665.0,0.0,2496.0,0.0
13342247463539,18.0,665.0,0.0,2496.0,0.0
13342469624870,18.0,665.0,0.0,2496.0,0.0
13342692302368,18.0,665.0,0.0,2496.0,0.0
13342913265284,18.0,665.0,0.0,2496.0,0.0
13343135360534,18.0,665.0,0.0,2496.0,0.0
13343357432263,18.0,665.0,0.0,2496.0,0.0
13343579158869,18.0,665.0,0.0,2496.0,0.0
13343801770798,18.0,665.0,0.0,2496.0,0.0
13344022507022,18.0,665.0,0.0,2496.0,0.0
13344244162075,18.0,665.0,0.0,2496.0,0.0
13344466152844,18.0,665.0,0.0,2496.0,0.0
13344686859340,18.0,665.0,0.0,2496.0,0.0
