timestamp_ns,emc_percent,emc_mhz,gpu_percent,ram_reported_mb,swap_reported_mb
15327008960188,1.0,665.0,29.0,2915.0,0.0
15327229927235,1.0,665.0,30.0,2976.0,0.0
15327452149403,2.0,665.0,11.0,3059.0,0.0
15327675807780,2.0,665.0,10.0,3148.0,0.0
15327896094371,1.0,2133.0,18.0,3254.0,0.0
15328115418165,1.0,2133.0,7.0,3374.0,0.0
15328335560241,1.0,2133.0,8.0,3467.0,0.0
15328556102226,1.0,2133.0,0.0,3473.0,0.0
15328777821475,1.0,2133.0,18.0,3476.0,0.0
15328999421714,0.0,2133.0,21.0,3476.0,0.0
15329222675510,0.0,2133.0,26.0,3476.0,0.0
15329445137104,0.0,2133.0,31.0,3476.0,0.0
15329667318855,0.0,2133.0,32.0,3476.0,0.0
15329889512222,0.0,2133.0,31.0,3476.0,0.0
15330175198440,2.0,665.0,16.0,3476.0,0.0
15330467862765,1.0,665.0,27.0,3476.0,0.0
15330719354654,5.0,204.0,17.0,3476.0,0.0
15330968632627,1.0,665.0,14.0,3476.0,0.0
15331213816306,1.0,665.0,29.0,3476.0,0.0
15331494043766,4.0,204.0,27.0,3476.0,0.0
15331748017479,4.0,204.0,12.0,3476.0,0.0
15331994799451,1.0,665.0,21.0,3476.0,0.0
15332274509112,3.0,204.0,32.0,3476.0,0.0
15332517001109,1.0,665.0,54.0,3476.0,0.0
15332775328862,1.0,665.0,28.0,3476.0,0.0
15333092130170,1.0,665.0,24.0,3476.0,0.0
15333349531191,3.0,204.0,15.0,3476.0,0.0
15333606169802,3.0,204.0,26.0,3476.0,0.0
15333866630670,3.0,204.0,20.0,3476.0,0.0
15334126271432,3.0,204.0,17.0,3476.0,0.0
15334370310488,3.0,204.0,22.0,3476.0,0.0
15334606038397,1.0,665.0,20.0,3476.0,0.0
15334857816177,3.0,204.0,22.0,3476.0,0.0
15335107034403,3.0,204.0,14.0,3476.0,0.0
15335357043137,3.0,204.0,14.0,3476.0,0.0
15335628382001,1.0,665.0,23.0,3476.0,0.0
15335855892620,3.0,204.0,31.0,3476.0,0.0
15336100260416,1.0,665.0,27.0,3476.0,0.0
15336341349673,1.0,665.0,23.0,3476.0,0.0
15336600109207,3.0,204.0,25.0,3476.0,0.0
15336851716073,0.0,665.0,24.0,3476.0,0.0
15337113788353,1.0,665.0,27.0,3476.0,0.0
15337394405929,3.0,204.0,28.0,3476.0,0.0
15337655195441,0.0,665.0,19.0,3476.0,0.0
15337914620040,0.0,665.0,27.0,3476.0,0.0
15338167273286,3.0,204.0,30.0,3476.0,0.0
15338447913103,0.0,665.0,19.0,3476.0,0.0
15338695097575,0.0,665.0,13.0,3476.0,0.0
15338924873758,3.0,204.0,15.0,3476.0,0.0
15339182590910,1.0,665.0,24.0,3476.0,0.0
15339462654975,3.0,204.0,25.0,3476.0,0.0
15339706804591,1.0,665.0,15.0,3476.0,0.0
15339963314208,1.0,665.0,28.0,3476.0,0.0
15340241684586,3.0,204.0,21.0,3476.0,0.0
15340503391965,1.0,665.0,14.0,3477.0,0.0
15340754913325,1.0,665.0,38.0,3477.0,0.0
15341026412703,1.0,665.0,20.0,3476.0,0.0
15341279694981,3.0,204.0,16.0,3476.0,0.0
15341516918204,1.0,665.0,25.0,3476.0,0.0
15341753912880,1.0,665.0,15.0,3476.0,0.0
15342034359350,3.0,204.0,18.0,3476.0,0.0
15342269099788,1.0,665.0,28.0,3476.0,0.0
15342513539072,0.0,665.0,15.0,3476.0,0.0
15342766248735,0.0,665.0,36.0,3476.0,0.0
15343006971235,1.0,665.0,21.0,3476.0,0.0
15343289745830,0.0,665.0,14.0,3476.0,0.0
15343540234536,3.0,204.0,29.0,3476.0,0.0
15343763952016,1.0,665.0,0.0,3476.0,0.0
