case,round,sample,wall_ms,thread_cpu_ms,device_ms,budget_ms
weights_das_1,0,0,0.253699,0.26912,,
weights_das_1,0,1,0.262595,0.266496,,
weights_das_1,0,2,0.297124,0.26864,,
weights_das_1,0,3,0.262755,0.266048,,
weights_das_1,0,4,0.256579,0.259648,,
weights_das_1,0,5,0.257187,0.260352,,
weights_das_1,0,6,0.257443,0.260288,,
weights_das_1,0,7,0.254179,0.257056,,
weights_das_1,0,8,0.253891,0.256736,,
weights_das_1,0,9,0.252867,0.255744,,
weights_das_1,0,10,0.256036,0.258848,,
weights_das_1,0,11,0.256195,0.258848,,
weights_das_1,0,12,0.255043,0.257856,,
weights_das_1,0,13,0.255395,0.258144,,
weights_das_1,0,14,0.254691,0.25744,,
weights_das_1,0,15,0.254243,0.256864,,
weights_das_1,0,16,0.268323,0.2608,,
weights_das_1,0,17,0.256451,0.259232,,
weights_das_1,0,18,0.254723,0.257504,,
weights_das_1,0,19,0.253763,0.256384,,
weights_das_1,0,20,0.252611,0.255424,,
weights_das_1,0,21,0.254435,0.257216,,
weights_das_1,0,22,0.255267,0.25792,,
weights_das_1,0,23,0.252291,0.25504,,
weights_das_1,0,24,0.253955,0.256512,,
weights_das_1,0,25,0.254275,0.257056,,
weights_das_1,0,26,0.250659,0.253312,,
weights_das_1,0,27,0.254563,0.257536,,
weights_das_1,0,28,0.254115,0.256864,,
weights_das_1,0,29,0.252259,0.255072,,
weights_das_1,0,30,0.252003,0.254656,,
weights_das_1,0,31,0.3017,0.259456,,
weights_das_1,0,32,0.257379,0.260096,,
weights_das_1,0,33,0.253924,0.25648,,
weights_das_1,0,34,0.253443,0.255904,,
weights_das_1,0,35,0.252899,0.255616,,
weights_das_1,0,36,0.251811,0.2544,,
weights_das_1,0,37,0.253891,0.256512,,
weights_das_1,0,38,0.252355,0.255008,,
weights_das_1,0,39,0.253923,0.256544,,
weights_das_1,0,40,0.251587,0.25424,,
weights_das_1,0,41,0.253443,0.256064,,
weights_das_1,0,42,0.253571,0.256128,,
weights_das_1,0,43,0.249667,0.252288,,
weights_das_1,0,44,0.250179,0.252928,,
weights_das_1,0,45,0.263556,0.258464,,
weights_das_1,0,46,0.254051,0.256704,,
weights_das_1,0,47,0.252547,0.255264,,
weights_das_1,0,48,0.252451,0.255072,,
weights_das_1,0,49,0.251683,0.25424,,
weights_das_1,0,50,0.252227,0.25488,,
weights_das_1,0,51,0.251235,0.253792,,
weights_das_1,0,52,0.252451,0.255392,,
weights_das_1,0,53,0.254659,0.257248,,
weights_das_1,0,54,0.252067,0.254752,,
weights_das_1,0,55,0.250307,0.253024,,
weights_das_1,0,56,0.251843,0.254432,,
weights_das_1,0,57,0.250947,0.253696,,
weights_das_1,0,58,0.252707,0.255296,,
weights_das_1,0,59,0.252451,0.25504,,
weights_das_1,0,60,0.267427,0.259008,,
weights_das_1,0,61,0.255171,0.25776,,
weights_das_1,0,62,0.252611,0.255296,,
weights_das_1,0,63,0.251491,0.25408,,
weights_das_1,0,64,0.252419,0.25504,,
weights_das_1,0,65,0.250563,0.253152,,
weights_das_1,0,66,0.251779,0.254464,,
weights_das_1,0,67,0.251587,0.254208,,
weights_das_1,0,68,0.248867,0.251456,,
