frame,payload_bytes,encode_ms,decode_ms,roundtrip_service_ms
0,21295,0.495461,0.154146,0.649607
1,21291,0.49559,0.155201,0.650791
2,21310,0.497318,0.154081,0.651399
3,21285,0.507878,0.155906,0.663784
4,21315,0.490118,0.15213,0.642248
5,21297,0.49703,0.153922,0.650952
6,21315,0.494758,0.154274,0.649032
7,21303,0.48983,0.152194,0.642024
8,21306,0.492934,0.152514,0.645448
9,21300,0.530374,0.16653,0.696904
10,21318,0.492357,0.154722,0.647079
11,21306,0.496357,0.152194,0.648551
12,21301,0.493285,0.152578,0.645863
13,21314,0.504518,0.154977,0.659495
14,21316,0.490054,0.153345,0.643399
15,21322,0.512358,0.161154,0.673512
16,21304,0.496966,0.152962,0.649928
17,21312,0.49463,0.151874,0.646504
18,21289,0.49351,0.554374,1.047884
19,21332,0.507814,0.160066,0.66788
20,21268,0.518598,0.163394,0.681992
21,21298,0.512678,0.158881,0.671559
22,21305,0.49559,0.154113,0.649703
23,21286,0.499814,0.172994,0.672808
24,21292,0.499558,0.153154,0.652712
25,21303,0.491622,0.150786,0.642408
26,21305,0.508294,0.156738,0.665032
27,21302,0.49591,0.152738,0.648648
28,21282,0.494982,0.150754,0.645736
29,21312,0.490982,0.150562,0.641544
30,21298,0.491526,0.151618,0.643144
31,21314,0.491526,0.151202,0.642728
32,21310,0.51223,0.153314,0.665544
33,21313,0.491718,0.150626,0.642344
34,21306,0.490182,0.151362,0.641544
35,21292,0.493158,0.150306,0.643464
36,21296,0.494886,0.150882,0.645768
37,21306,0.496742,0.16925,0.665992
38,21300,0.553383,0.157122,0.710505
39,21288,0.495462,0.152226,0.647688
40,21298,0.495814,0.151394,0.647208
41,21305,0.497158,0.150882,0.64804
42,21278,0.495494,0.152802,0.648296
43,21292,0.493222,0.170274,0.663496
44,21290,0.493318,0.151458,0.644776
45,21305,0.493446,0.151074,0.64452
46,21301,0.49543,0.150082,0.645512
47,21290,0.497478,0.150818,0.648296
48,21324,0.49207,0.151138,0.643208
49,21272,0.491078,0.165122,0.6562
50,21300,0.501094,0.150434,0.651528
51,21292,0.490278,0.151202,0.64148
52,21308,0.506022,0.151362,0.657384
53,21288,0.49863,0.151586,0.650216
54,21287,0.48999,0.150018,0.640008
55,21305,0.504966,0.154562,0.659528
56,21311,0.493318,0.150882,0.6442
57,21310,0.493222,0.156002,0.649224
58,21297,0.49383,0.171074,0.664904
59,21307,0.491141,0.152162,0.643303
60,21294,0.488805,0.150946,0.639751
61,21328,0.504998,0.154146,0.659144
62,21299,0.492357,0.155426,0.647783
63,21303,0.500133,0.150754,0.650887
64,21295,0.491397,0.149122,0.640519
65,21310,0.488294,0.14973,0.638024
66,21296,0.492422,0.14925,0.641672
67,21294,0.505446,0.151746,0.657192
68,21303,0.497702,0.150338,0.64804
69,21312,0.492038,0.149698,0.641736
70,21317,0.49463,0.152578,0.647208
71,21311,0.491462,0.150626,0.642088
72,21304,0.494502,0.165314,0.659816
73,21325,0.522374,0.154786,0.67716
74,21297,0.497765,0.15037,0.648135
75,21318,0.487685,0.15085,0.638535
76,21275,0.488806,0.14893,0.637736
77,21298,0.499238,0.14925,0.648488
78,21294,0.492422,0.149218,0.64164
79,21298,0.541927,0.157954,0.699881
80,21275,0.49159,0.151105,0.642695
81,21290,0.498374,0.151873,0.650247
82,21302,0.499718,0.150498,0.650216
83,21311,0.490438,0.151105,0.641543
84,21309,0.488934,0.150177,0.639111
85,21293,0.51143,0.157346,0.668776
86,21297,0.490598,0.151201,0.641799
87,21307,0.494982,0.151393,0.646375
88,21318,0.49159,0.155841,0.647431
89,21310,0.48999,0.150977,0.640967
90,21283,0.487973,0.164738,0.652711
91,21299,0.495206,0.153633,0.648839
92,21288,0.488262,0.152513,0.640775
93,21300,0.498342,0.150593,0.648935
94,21302,0.505862,0.150529,0.656391
95,21316,0.492486,0.151745,0.644231
96,21305,0.493062,0.164449,0.657511
97,21307,0.491782,0.151105,0.642887
98,21296,0.491558,0.149569,0.641127
99,21283,0.495109,0.15133,0.646439
100,21297,0.489381,0.149666,0.639047
101,21311,0.489573,0.151714,0.641287
102,21309,0.505382,0.152962,0.658344
103,21309,0.500101,0.151618,0.651719
104,21288,0.561478,0.167842,0.72932
105,21286,0.502853,0.150882,0.653735
106,21306,0.499238,0.151201,0.650439
107,21292,0.489509,0.150114,0.639623
108,21308,0.540806,0.16701,0.707816
109,21316,0.491174,0.152098,0.643272
110,21282,0.49927,0.150434,0.649704
111,21291,0.490694,0.149282,0.639976
112,21286,0.49447,0.149602,0.644072
113,21301,0.486342,0.149442,0.635784
114,21298,0.513286,0.154146,0.667432
115,21274,0.502118,0.150946,0.653064
116,21308,0.498278,0.153474,0.651752
117,21290,0.493446,0.151906,0.645352
118,21286,0.493158,0.14861,0.641768
119,21304,0.49079,0.15549,0.64628
120,21302,0.550503,0.155233,0.705736
121,21305,0.493734,0.149793,0.643527
122,21311,0.498854,0.149217,0.648071
123,21285,0.49703,0.149953,0.646983
124,21281,0.493798,0.150081,0.643879
125,21306,0.491973,0.14829,0.640263
126,21304,0.514886,0.152161,0.667047
127,21315,0.489958,0.149985,0.639943
128,21275,0.489797,0.150178,0.639975
129,21297,0.484677,0.149474,0.634151
130,21299,0.488198,0.149634,0.637832
131,21307,0.493478,0.199682,0.69316
132,21288,0.497798,0.154274,0.652072
133,21315,0.490598,0.149217,0.639815
134,21308,0.487686,0.151329,0.639015
135,21332,0.496966,0.151937,0.648903
136,21311,0.495622,0.152257,0.647879
137,21321,0.488773,0.164674,0.653447
138,21288,0.496198,0.149249,0.645447
139,21310,0.492902,0.149889,0.642791
140,21322,0.491045,0.14893,0.639975
141,21308,0.486597,0.150402,0.636999
142,21307,0.485926,0.150146,0.636072
143,21298,0.483078,0.165474,0.648552
144,21286,0.490342,0.149218,0.63956
145,21297,0.496422,0.150114,0.646536
146,21310,0.488294,0.150882,0.639176
147,21310,0.489638,0.151202,0.64084
148,21295,0.494566,0.150114,0.64468
149,21285,0.518406,0.156354,0.67476
150,21295,0.488582,0.156962,0.645544
151,21291,0.494534,0.15069,0.645224
152,21310,0.49863,0.150114,0.648744
153,21285,0.48551,0.149762,0.635272
154,21315,0.485094,0.156833,0.641927
155,21297,0.515238,0.156066,0.671304
156,21315,0.489702,0.15181,0.641512
157,21303,0.49271,0.152738,0.645448
158,21306,0.48967,0.149602,0.639272
159,21300,0.489894,0.149985,0.639879
160,21318,0.486789,0.150242,0.637031
161,21306,0.516998,0.160514,0.677512
162,21301,0.495334,0.15213,0.647464
163,21314,0.493254,0.152194,0.645448
164,21316,0.490214,0.149665,0.639879
165,21322,0.487846,0.152385,0.640231
166,21304,0.49399,0.155425,0.649415
167,21312,0.511046,0.156802,0.667848
168,21289,0.484262,0.151617,0.635879
169,21332,0.494054,0.288483,0.782537
170,21268,0.49239,0.150562,0.642952
171,21298,0.491654,0.150434,0.642088
172,21305,0.48711,0.150498,0.637608
173,21286,0.526406,0.154754,0.68116
174,21292,0.491621,0.14989,0.641511
175,21303,0.486822,0.14957,0.636392
176,21305,0.498342,0.149858,0.6482
177,21302,0.485478,0.150114,0.635592
178,21282,0.489926,0.165186,0.655112
179,21312,0.486566,0.151874,0.63844
180,21298,0.485542,0.14957,0.635112
181,21314,0.485286,0.149985,0.635271
182,21310,0.486917,0.149858,0.636775
183,21313,0.484837,0.150882,0.635719
184,21306,0.48743,0.177026,0.664456
185,21292,0.502726,0.155777,0.658503
186,21296,0.488294,0.150657,0.638951
187,21306,0.490565,0.149858,0.640423
188,21300,0.487301,0.150274,0.637575
189,21288,0.485702,0.149378,0.63508
190,21298,0.488934,0.173826,0.66276
191,21305,0.49287,0.151778,0.644648
192,21278,0.494886,0.150306,0.645192
193,21292,0.484422,0.14941,0.633832
194,21290,0.485062,0.150402,0.635464
195,21305,0.485638,0.150114,0.635752
196,21301,0.490566,0.16589,0.656456
197,21290,0.49159,0.148513,0.640103
198,21324,0.487878,0.150689,0.638567
199,21272,0.487301,0.149922,0.637223
200,21300,0.493669,0.148802,0.642471
201,21292,0.495782,0.149154,0.644936
202,21308,0.500294,0.154658,0.654952
203,21288,0.493253,0.150882,0.644135
204,21287,0.49175,0.149378,0.641128
205,21305,0.49031,0.150498,0.640808
206,21311,0.494502,0.149666,0.644168
207,21310,0.492966,0.150338,0.643304
208,21297,0.519174,0.15917,0.678344
209,21307,0.499814,0.15357,0.653384
