frame,pts_ns,raw_ready_ns,encoded_ready_ns,source_schedule_lateness_ms,encoder_ms,encode_path_ms,payload_bytes,rtp_bytes,rtp_packets,max_rtp_packet_bytes,packet_ready_ns,packet_ready_ms,scheduled_packet_latency_ms
0,400000000,568707086309538,568707108313445,0.182511,13.860195,22.003907,6410,6497,7,1200,568707108571304,22.261766,22.444277000000003
1,440000000,568707126333914,568707151147966,0.196199,16.50509,24.814052,6013,6100,7,1200,568707151381921,25.048007,25.244206
2,480000000,568707166307601,568707189755750,0.172222,15.800699,23.448149,8564,8679,9,1200,568707190048681,23.74108,23.913302
3,520000000,568707206327049,568707231459537,0.192214,16.698117,25.132488,9123,9238,9,1200,568707231930935,25.603886,25.7961
4,560000000,568707246275168,568707274179049,0.137357,19.884458,27.903881,9345,9460,9,1200,568707274685775,28.410607,28.547964
5,600000000,568707286272408,568707317490984,0.131621,23.599478,31.218576,9851,9980,10,1200,568707318085775,31.813367,31.944988
6,640000000,568707326265231,568707367759769,0.125821,33.770095,41.494538,9965,10094,10,1200,568707368286047,42.020816,42.146637000000005
7,680000000,568707366292551,568707396130311,0.150549,21.598495,29.83776,10132,10261,10,1200,568707396700046,30.407495,30.558044000000002
8,720000000,568707406272063,568707445273995,0.131468,31.011822,39.001932,10015,10144,10,1200,568707445906578,39.634515,39.765983
9,760000000,568707446279671,568707474824743,0.144132,20.100365,28.545072,10127,10256,10,1200,568707475394734,29.115063,29.259195
10,800000000,568707486276270,568707529822864,0.136923,35.536835,43.546594,10015,10144,10,1200,568707530282133,44.005863,44.142786
11,840000000,568707526337831,568707557750457,0.213172,23.051024,31.412626,9938,10067,10,1200,568707558323872,31.986041,32.199213
12,880000000,568707566281822,568707599949739,0.141163,25.502253,33.667917,9658,9787,10,1200,568707600440048,34.158226,34.299389
13,920000000,568707606270677,568707638160301,0.130786,23.583862,31.889624,9678,9807,10,1200,568707638707412,32.436735,32.567521
14,960000000,568707646299213,568707691577251,0.161754,37.022868,45.278038,9672,9801,10,1200,568707692924819,46.625606,46.78736
15,1000000000,568707686311973,568707724086978,0.17125,29.559836,37.775005,22204,22489,22,1200,568707725080814,38.768841,38.940091
