frame,pts_ns,raw_ready_ns,encoded_ready_ns,source_schedule_lateness_ms,encoder_ms,encode_path_ms,payload_bytes,rtp_bytes,rtp_packets,max_rtp_packet_bytes,packet_ready_ns,packet_ready_ms,scheduled_packet_latency_ms
0,400000000,568668563290758,568668611022008,392.321019,47.654162,47.73125,49821,50437,46,1200,568668612309703,49.018945,441.339964
1,440000000,568668621766743,568668664804498,410.794476,42.964506,43.037755,46549,47137,44,1200,568668666020000,44.253257,455.047733
2,480000000,568668675521584,568668718079718,424.550886,42.484469,42.558134,43644,44190,41,1200,568668719263956,43.742372,468.293258
3,520000000,568668729488845,568668769442051,438.517186,39.876182,39.953206,43544,44090,41,1200,568668770812628,41.323783,479.840969
4,560000000,568668780318244,568668814599672,449.341593,34.211635,34.281428,40418,40936,39,1200,568668815836358,35.518114,484.85970699999996
5,600000000,568668825302518,568668860874809,454.331307,35.49677,35.572291,40493,41011,39,1200,568668862025127,36.722609,491.05391599999996
6,640000000,568668871513847,568668906280336,460.54286,34.692664,34.766489,40455,40973,39,1200,568668907444318,35.930471,496.47333100000003
7,680000000,568668916905134,568668954418088,465.933379,37.438617,37.512954,40528,41031,38,1200,568668955617334,38.7122,504.645579
8,720000000,568668966717913,568668997086175,475.74827,30.286309,30.368262,36470,36917,34,1200,568668998291821,31.573908,507.322178
9,760000000,568669007762813,568669038260644,476.792018,30.422374,30.497831,36246,36693,34,1200,568669039353713,31.5909,508.38291799999996
10,800000000,568669048809792,568669083973759,477.838134,35.08771,35.163967,36193,36640,34,1200,568669085068940,36.259148,514.0972820000001
11,840000000,568669095960620,568669129888028,485.008546,33.827535,33.927408,32822,33227,31,1200,568669132073718,36.113098,521.1216440000001
12,880000000,568669145185137,568669173720673,494.21271,28.460912,28.535536,32938,33343,31,1200,568669174796238,29.611101,523.823811
13,920000000,568669184742371,568669212252167,493.772824,27.426243,27.509796,32882,33302,32,1200,568669213314100,28.571729,522.344553
14,960000000,568669222771587,568669250284167,491.799705,27.438339,27.51258,32826,33231,31,1200,568669251335764,28.564177,520.363882
15,1000000000,568669260815363,568669318654285,489.846841,57.761193,57.838922,63058,63832,58,1200,568669320252768,59.437405,549.2842459999999
16,1040000000,568669329677135,568669361925483,518.706917,32.170299,32.248348,36443,36890,34,1200,568669363043448,33.366313,552.07323
17,1080000000,568669374922085,568669414248884,523.951674,39.245647,39.326799,36367,36814,34,1200,568669416089258,41.167173,565.1188470000001
18,1120000000,568669428227929,568669460659447,537.25691,32.348861,32.431518,36703,37150,34,1200,568669461775204,33.547275,570.804185
19,1160000000,568669471201779,568669498616023,540.229737,27.340835,27.414244,32993,33413,32,1200,568669499631234,28.429455,568.659192
20,1200000000,568669509092562,568669538108904,538.120455,28.941397,29.016342,32886,33291,31,1200,568669539103412,30.01085,568.131305
21,1240000000,568669548555811,568669589025536,537.575513,40.403932,40.469725,32923,33328,31,1200,568669590239439,41.683628,579.259141
22,1280000000,568669601490131,568669638040322,550.518057,36.478734,36.550191,33204,33624,32,1200,568669639289745,37.799614,588.317671
23,1320000000,568669650995963,568669687445896,560.028464,36.366124,36.449933,36712,37159,34,1200,568669688910362,37.914399,597.942863
24,1360000000,568669701968404,568669740266103,570.996809,38.219395,38.297699,36926,37402,36,1200,568669741483173,39.514769,610.511578
25,1400000000,568669752794283,568669786562521,581.823264,33.689133,33.768238,37112,37588,36,1200,568669787708134,34.913851,616.737115
