frame,payload_bytes,encode_ms,decode_ms,roundtrip_service_ms
0,106028,1.90751,0.520358,2.427868
1,106058,1.876246,0.522694,2.39894
2,106040,1.922743,0.52535,2.448093
3,106095,1.957335,0.529574,2.486909
4,106084,1.89439,0.51943,2.41382
5,106081,1.930903,0.527878,2.458781
6,106119,1.89679,0.53735,2.43414
7,106048,1.897911,0.520038,2.417949
8,106053,1.920694,0.521286,2.44198
9,106091,1.901014,0.518535,2.419549
10,106039,1.895543,0.518438,2.413981
11,106073,1.912278,0.524838,2.437116
12,106079,1.890934,0.522215,2.413149
13,106074,1.938263,0.526726,2.464989
14,106024,1.890486,0.559079,2.449565
15,106027,1.895702,0.517766,2.413468
16,106049,1.914807,0.520678,2.435485
17,106062,1.887894,0.516902,2.404796
18,106083,1.908534,0.962539,2.871073
19,106128,1.934359,0.52711,2.461469
20,106124,1.897623,0.521958,2.419581
21,106116,1.933495,0.523942,2.457437
22,106090,1.911479,0.522246,2.433725
23,106046,1.895862,0.518374,2.414236
24,106076,1.92943,0.524135,2.453565
25,106063,1.886103,0.537318,2.423421
26,106037,1.900566,0.521382,2.421948
27,106095,1.927415,0.52407,2.451485
28,106053,1.887062,0.51735,2.404412
29,106064,1.905686,0.521447,2.427133
30,106093,1.912791,0.523526,2.436317
31,106075,1.891446,0.521478,2.412924
32,106064,1.920599,0.521542,2.442141
33,106028,1.900214,0.544998,2.445212
34,106085,1.918199,0.519462,2.437661
35,106054,1.923766,0.522823,2.446589
36,106087,1.894135,0.518662,2.412797
37,106069,1.918358,0.518342,2.4367
38,106097,1.906775,0.522598,2.429373
39,106087,1.891926,0.517478,2.409404
40,106060,1.92239,0.522759,2.445149
41,106073,1.883575,0.541766,2.425341
42,106032,1.89695,0.520486,2.417436
43,106084,1.920951,0.521926,2.442877
44,106106,1.88527,0.514854,2.400124
45,106075,1.91007,0.521446,2.431516
46,106032,1.883798,0.539783,2.423581
47,106091,1.899319,0.517222,2.416541
48,106071,1.916086,0.52023,2.436316
49,106061,1.880886,0.51799,2.398876
50,106064,1.901942,0.517158,2.4191
51,106084,1.90479,0.523686,2.428476
52,106086,1.902295,0.51799,2.420285
53,106097,1.925399,0.520646,2.446045
54,106042,1.890294,0.555399,2.445693
55,106076,1.892118,0.516038,2.408156
56,106029,1.921239,0.519366,2.440605
57,106052,1.885142,0.52887,2.414012
58,106048,1.907575,0.520326,2.427901
59,106043,1.91855,0.521574,2.440124
60,106051,1.88783,0.519174,2.407004
61,106067,1.909623,0.522502,2.432125
62,106129,1.896086,0.553671,2.449757
63,106066,1.897975,0.519398,2.417373
64,105971,1.92415,0.52135,2.4455
65,106081,1.895543,0.517382,2.412925
66,106112,1.888246,0.521254,2.4095
67,106087,1.931703,0.521894,2.453597
68,106100,1.898806,0.518918,2.417724
69,106060,1.917334,0.522919,2.440253
70,106027,1.901367,0.546054,2.447421
71,106013,1.891606,0.516326,2.407932
72,106083,1.917239,0.522502,2.439741
73,106120,1.901846,0.51863,2.420476
74,106052,1.906423,0.520326,2.426749
75,106081,1.915382,0.520198,2.43558
76,106086,1.893558,0.516999,2.410557
77,106098,1.925687,0.523014,2.448701
78,106054,1.87727,0.537159,2.414429
79,106042,1.878646,0.521383,2.400029
80,106124,1.928407,0.520422,2.448829
81,106068,1.887542,0.515814,2.403356
82,106072,1.914263,0.522118,2.436381
83,106057,1.924822,0.52375,2.448572
84,106098,1.891767,0.516038,2.407805
85,106113,1.929079,0.531206,2.460285
86,106017,1.900311,0.541798,2.442109
87,106027,1.89199,0.519974,2.411964
88,106019,1.910262,0.531943,2.442205
89,106046,1.884471,0.516614,2.401085
90,106057,1.90095,0.524454,2.425404
91,106041,1.924311,0.51975,2.444061
92,106039,1.884822,0.514406,2.399228
93,106063,1.92015,0.520614,2.440764
94,106066,1.904311,0.542982,2.447293
95,106064,1.884886,0.515174,2.40006
96,106079,1.912886,0.520711,2.433597
97,106047,1.883799,0.518502,2.402301
98,106067,1.918647,0.521286,2.439933
99,106087,1.90943,0.519527,2.428957
100,106048,1.895703,0.515302,2.411005
101,106004,1.920694,0.519654,2.440348
102,106045,1.892854,0.540295,2.433149
103,106022,1.91775,0.518822,2.436572
104,106062,1.983479,0.537799,2.521278
105,106085,1.90815,0.51511,2.42326
106,106045,1.922871,0.52183,2.444701
107,106092,1.918742,0.51975,2.438492
108,106081,1.89871,0.526823,2.425533
109,106051,1.924631,0.521606,2.446237
110,106029,1.874934,0.544007,2.418941
111,106091,1.890263,0.516422,2.406685
112,106109,1.915127,0.519366,2.434493
113,106084,1.886582,0.516998,2.40358
114,106065,1.914423,0.52327,2.437693
115,106044,1.937462,0.523975,2.461437
116,106084,1.908375,0.518374,2.426749
117,106069,1.91583,0.521542,2.437372
118,106050,1.891478,0.543079,2.434557
119,106103,1.88335,0.526214,2.409564
120,106111,1.924246,0.519239,2.443485
121,106093,1.887255,0.516422,2.403677
122,106085,1.910007,0.521286,2.431293
123,106042,1.911542,0.523495,2.435037
124,106089,1.897847,0.51751,2.415357
125,106092,1.91215,0.522726,2.434876
126,105996,1.885366,0.546375,2.431741
127,106081,1.895766,0.517446,2.413212
128,106050,1.924726,0.524743,2.449469
129,106093,1.898039,0.517542,2.415581
130,106100,1.911766,0.52231,2.434076
131,106061,1.935063,0.530886,2.465949
132,106033,1.902775,0.517606,2.420381
133,106087,1.917623,0.523686,2.441309
134,106075,1.887926,0.545895,2.433821
135,106043,1.909015,0.51863,2.427645
136,106049,1.930167,0.51927,2.449437
137,106049,1.890582,0.517958,2.40854
138,106112,1.912726,0.523623,2.436349
139,106115,1.931511,0.52327,2.454781
140,106086,1.883798,0.51783,2.401628
141,106063,1.923351,0.522214,2.445565
142,106061,1.894166,0.540871,2.435037
143,106088,1.902167,0.517414,2.419581
144,106120,1.911478,0.519814,2.431292
145,106124,1.896662,0.517127,2.413789
146,106016,1.904727,0.517894,2.422621
147,106069,1.909334,0.523206,2.43254
148,106107,1.889111,0.519974,2.409085
149,106047,1.933175,0.520902,2.454077
150,106028,1.894071,0.547238,2.441309
151,106058,1.889846,0.51799,2.407836
