frame,pts_ns,raw_ready_ns,encoded_ready_ns,source_schedule_lateness_ms,encoder_ms,encode_path_ms,payload_bytes,rtp_bytes,rtp_packets,max_rtp_packet_bytes,packet_ready_ns,packet_ready_ms,scheduled_packet_latency_ms
50,2400000000,568716875332655,568716928288255,0.154065,45.115252,52.9556,10130,10259,10,1200,568716928849990,53.517335,53.671400000000006
51,2440000000,568716915309766,568716964249991,0.12836,40.55779,48.940225,9929,10058,10,1200,568716964814094,49.504328,49.632688
52,2480000000,568716955337598,568716987451769,0.168896,23.854298,32.114171,9809,9938,10,1200,568716987914526,32.576928,32.745824
53,2520000000,568716995331222,568717033001042,0.1534,30.165828,37.66982,9717,9846,10,1200,568717033895964,38.564742,38.718142
54,2560000000,568717035401134,568717076225296,0.232849,32.143931,40.824162,9770,9899,10,1200,568717076854999,41.453865,41.686714
55,2600000000,568717075325509,568717108090087,0.150183,24.280862,32.764578,9883,10012,10,1200,568717108664398,33.338889,33.489072
56,2640000000,568717115324125,568717157912467,0.147423,34.950748,42.588342,9712,9841,10,1200,568717158584379,43.260254,43.40767700000001
57,2680000000,568717155361589,568717206267021,0.188183,42.366771,50.905432,9660,9789,10,1200,568717206880500,51.518911,51.707094000000005
58,2720000000,568717195323756,568717241130024,0.152366,37.596347,45.806268,10048,10177,10,1200,568717241869649,46.545893,46.698259
59,2760000000,568717235482662,568717271010729,0.314408,26.826013,35.528067,9908,10037,10,1200,568717271370221,35.887559,36.201967
60,2800000000,568717275323132,568717322265765,0.147646,39.566962,46.942633,9832,9961,10,1200,568717322661546,47.338414,47.48606
61,2840000000,568717315367476,568717348225975,0.198902,23.991739,32.858499,10205,10334,10,1200,568717348572955,33.205479,33.404380999999994
62,2880000000,568717355360332,568717407254608,0.193454,43.828069,51.894276,10047,10176,10,1200,568717407661108,52.300776,52.49423
63,2920000000,568717395357091,568717433684935,0.184773,29.630461,38.327844,9692,9821,10,1200,568717434086380,38.729289,38.914062
64,2960000000,568717435350555,568717477305098,0.181981,33.839023,41.954543,9962,10091,10,1200,568717477637870,42.287315,42.469296
65,3000000000,568717475332498,568717514544769,0.153717,31.452083,39.212271,22005,22290,22,1200,568717515218121,39.885623,40.03934
66,3040000000,568717515348170,568717559549780,0.181389,36.12641,44.20161,11094,11237,11,1200,568717559966808,44.618638,44.800027
67,3080000000,568717555371554,568717588163589,0.207461,23.91193,32.792035,10408,10537,10,1200,568717588698987,33.327433,33.534894
68,3120000000,568717595352602,568717628126716,0.180412,24.775364,32.774114,9931,10060,10,1200,568717628404384,33.051782,33.232194
69,3160000000,568717635356338,568717677609252,0.186836,33.92648,42.252914,9710,9839,10,1200,568717677967304,42.610966,42.797802
70,3200000000,568717675356297,568717709751615,0.187116,26.115284,34.395318,9599,9728,10,1200,568717710052578,34.696281,34.883397
71,3240000000,568717715330401,568717761120157,0.153795,38.193283,45.789756,9668,9797,10,1200,568717761417120,46.086719,46.240514000000005
72,3280000000,568717755350809,568717819389100,0.180315,55.921972,64.038291,9547,9676,10,1200,568717819798769,64.44796,64.62827499999999
