frame,payload_bytes,encode_ms,decode_ms,roundtrip_service_ms
0,2745,0.166914,0.066145,0.233059
1,2751,0.166849,0.066145,0.232994
2,2744,0.170914,0.068641,0.239555
3,2751,0.16781,0.065889,0.233699
4,2746,0.165858,0.064769,0.230627
5,2742,0.172834,0.066881,0.239715
6,2751,0.16797,0.065697,0.233667
7,2744,0.165058,0.064577,0.229635
8,2745,0.166978,0.063553,0.230531
9,2746,0.167298,0.065313,0.232611
10,2750,0.167842,0.064801,0.232643
11,2745,0.163746,0.080929,0.244675
12,2750,0.167938,0.065729,0.233667
13,2749,0.17645,0.066433,0.242883
14,2743,0.165826,0.068737,0.234563
15,2745,0.16365,0.064193,0.227843
16,2749,0.164162,0.063809,0.227971
17,2740,0.166658,0.064577,0.231235
18,2759,0.16429,0.419141,0.583431
19,2741,0.178146,0.071136,0.249282
20,2753,0.172706,0.068609,0.241315
21,2745,0.170242,0.067585,0.237827
22,2746,0.168098,0.067009,0.235107
23,2740,0.169346,0.066305,0.235651
24,2749,0.167458,0.064417,0.231875
25,2743,0.16749,0.081665,0.249155
26,2748,0.172034,0.066689,0.238723
27,2746,0.170754,0.067393,0.238147
28,2746,0.16589,0.065281,0.231171
29,2743,0.166082,0.065761,0.231843
30,2745,0.165154,0.064737,0.229891
31,2748,0.165442,0.064545,0.229987
32,2748,0.166338,0.064449,0.230787
33,2751,0.164066,0.064033,0.228099
34,2741,0.165634,0.063585,0.229219
35,2749,0.164162,0.064737,0.228899
36,2747,0.164162,0.063745,0.227907
37,2744,0.164162,0.064449,0.228611
38,2750,0.165218,0.064353,0.229571
39,2748,0.162722,0.065313,0.228035
40,2747,0.172098,0.065153,0.237251
41,2745,0.187714,0.068513,0.256227
42,2745,0.174786,0.066176,0.240962
43,2746,0.167106,0.065152,0.232258
44,2752,0.164642,0.064896,0.229538
45,2753,0.166754,0.065024,0.231778
46,2743,0.166658,0.064192,0.23085
47,2746,0.171458,0.065408,0.236866
48,2747,0.16525,0.063648,0.228898
49,2752,0.164322,0.063232,0.227554
50,2743,0.165473,0.063457,0.22893
51,2743,0.163905,0.063073,0.226978
52,2760,0.164802,0.064769,0.229571
53,2751,0.171778,0.065665,0.237443
54,2740,0.165282,0.064737,0.230019
55,2741,0.165633,0.064129,0.229762
56,2745,0.16317,0.063937,0.227107
57,2755,0.170626,0.072096,0.242722
58,2755,0.167234,0.068033,0.235267
59,2744,0.165346,0.064736,0.230082
60,2751,0.164802,0.064576,0.229378
61,2739,0.170146,0.064672,0.234818
62,2736,0.172162,0.069601,0.241763
63,2753,0.16653,0.064897,0.231427
64,2744,0.167074,0.064513,0.231587
65,2750,0.164802,0.064705,0.229507
66,2744,0.164418,0.063489,0.227907
67,2749,0.164034,0.063648,0.227682
68,2740,0.16429,0.063712,0.228002
69,2744,0.166466,0.06432,0.230786
70,2756,0.168994,0.065568,0.234562
71,2744,0.164866,0.06544,0.230306
72,2745,0.180994,0.066369,0.247363
73,2743,0.171906,0.066081,0.237987
74,2735,0.17165,0.065601,0.237251
75,2752,0.16685,0.064577,0.231427
76,2747,0.165154,0.063425,0.228579
77,2748,0.164546,0.063777,0.228323
78,2747,0.166082,0.063649,0.229731
79,2747,0.163586,0.062881,0.226467
80,2743,0.16397,0.063297,0.227267
81,2751,0.164386,0.064321,0.228707
82,2746,0.168962,0.064833,0.233795
83,2753,0.165474,0.064289,0.229763
84,2734,0.163202,0.064704,0.227906
85,2745,0.164386,0.068928,0.233314
86,2750,0.165282,0.063776,0.229058
87,2745,0.163554,0.064224,0.227778
88,2748,0.182498,0.070977,0.253475
89,2749,0.169954,0.064065,0.234019
90,2748,0.166562,0.063649,0.230211
91,2748,0.16429,0.063201,0.227491
92,2749,0.162818,0.064033,0.226851
93,2747,0.170754,0.064193,0.234947
94,2741,0.16381,0.064001,0.227811
95,2749,0.168706,0.064353,0.233059
96,2747,0.16413,0.063456,0.227586
97,2739,0.163874,0.063616,0.22749
98,2745,0.164034,0.063136,0.22717
99,2742,0.16381,0.063456,0.227266
100,2750,0.162849,0.064513,0.227362
101,2746,0.163329,0.064481,0.22781
102,2745,0.165441,0.064609,0.23005
103,2751,0.169378,0.063937,0.233315
