stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,0,16208734200427,16208734770539,16208735300562,16208753872349,19.671922,0.530023,18.571787,3840
live,1,16208744200427,16208744509927,16208754285890,16208757179335,12.978908,9.775963,2.893445,3840
live,2,16208754200427,16208754574662,16208757277352,16208759888937,5.68851,2.70269,2.611585,3840
live,3,16208764200427,16208764400610,16208764515844,16208767213574,3.013147,0.115234,2.69773,3840
live,4,16208774200427,16208774371712,16208774476194,16208777110243,2.909816,0.104482,2.634049,3840
live,5,16208784200427,16208784403807,16208784482688,16208786241623,2.041196,0.078881,1.758935,3840
live,6,16208794200427,16208794316349,16208794357917,16208795479691,1.279264,0.041568,1.121774,3840
live,7,16208804200427,16208804323099,16208804391612,16208807768423,3.567996,0.068513,3.376811,3840
live,8,16208814200427,16208815011906,16208815181189,16208818219915,4.019488,0.169283,3.038726,3840
live,9,16208824200427,16208824409849,16208824514811,16208827209053,3.008626,0.104962,2.694242,3840
live,10,16208834200427,16208834352631,16208834440824,16208837063289,2.862862,0.088193,2.622465,3840
live,11,16208844200427,16208844357974,16208844467703,16208847110457,2.91003,0.109729,2.642754,3840
live,12,16208854200427,16208854421813,16208854549591,16208857280921,3.080494,0.127778,2.73133,3840
live,13,16208864200427,16208864419476,16208864531957,16208867874207,3.67378,0.112481,3.34225,3840
live,14,16208874200427,16208874373266,16208874467603,16208877110452,2.910025,0.094337,2.642849,3840
live,15,16208884200427,16208884357904,16208884510802,16208886167495,1.967068,0.152898,1.656693,3840
live,16,16208894200427,16208894323182,16208894367374,16208895499101,1.298674,0.044192,1.131727,3840
live,17,16208904200427,16208904326573,16208904394637,16208906956974,2.756547,0.068064,2.562337,3840
live,18,16208914200427,16208914353195,16208914426796,16208917009453,2.809026,0.073601,2.582657,3840
live,19,16208924200427,16208924360138,16208924450347,16208927035180,2.834753,0.090209,2.584833,3840
live,20,16208934200427,16208934352392,16208934422761,16208951773253,17.572826,0.070369,17.350492,3840
live,21,16208944200427,16208944429128,16208951887654,16208954354277,10.15385,7.458526,2.466623,3840
live,22,16208954200427,16208954570568,16208954655433,16208957134985,2.934558,0.084865,2.479552,3840
live,23,16208964200427,16208964346020,16208964429285,16208967672430,3.472003,0.083265,3.243145,3840
live,24,16208974200427,16208974362467,16208974763304,16208978285844,4.085417,0.400837,3.52254,3840
live,25,16208984200427,16208984358785,16208984474115,16208987768556,3.568129,0.11533,3.294441,3840
live,26,16208994200427,16208994371616,16208994462305,16208998031566,3.831139,0.090689,3.569261,3840
live,27,16209004200427,16209004391070,16209004499232,16209007967628,3.767201,0.108162,3.468396,3840
live,28,16209014200427,16209014368797,16209014459710,16209017969578,3.769151,0.090913,3.509868,3840
live,29,16209024200427,16209024368379,16209024470685,16209028127467,3.92704,0.102306,3.656782,3840
live,30,16209034200427,16209034359290,16209034454523,16209037999336,3.798909,0.095233,3.544813,3840
live,31,16209044200427,16209044356728,16209044447577,16209047947718,3.747291,0.090849,3.500141,3840
live,32,16209054200427,16209054352407,16209054441336,16209058034949,3.834522,0.088929,3.593613,3840
live,33,16209064200427,16209064399670,16209064537847,16209068336904,4.136477,0.138177,3.799057,3840
