09-13-2026 12:11:38 RAM 3620/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [9%@729,12%@729,4%@729,26%@729,0%@1728,0%@1728,4%@1728,66%@1728,off,off,off,off] EMC_FREQ 1%@665 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.187C Tboard@35C SOC2@41.656C Tdiode@36C SOC0@42.187C CV1@-256C GPU@-256C tj@45.187C SOC1@41.562C CV2@-256C VDD_GPU_SOC 2395mW/2395mW VDD_CPU_CV 798mW/798mW VIN_SYS_5V0 2918mW/2918mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/603mW NC 0mW/0mW
09-13-2026 12:11:38 RAM 3604/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,4%@729,8%@729,4%@729,13%@1728,52%@1728,4%@1728,47%@1728,off,off,off,off] EMC_FREQ 2%@665 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.218C Tboard@35C SOC2@41.593C Tdiode@35.75C SOC0@42.125C CV1@-256C GPU@-256C tj@45.218C SOC1@41.437C CV2@-256C VDD_GPU_SOC 2395mW/2395mW VDD_CPU_CV 1197mW/997mW VIN_SYS_5V0 3019mW/2968mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/603mW NC 0mW/0mW
09-13-2026 12:11:38 RAM 3617/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [8%@729,4%@729,8%@729,4%@729,0%@1728,100%@1728,0%@1608,4%@1728,off,off,off,off] EMC_FREQ 3%@665 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.25C Tboard@35C SOC2@41.593C Tdiode@35.75C SOC0@42.218C CV1@-256C GPU@-256C tj@45.343C SOC1@41.406C CV2@-256C VDD_GPU_SOC 2395mW/2395mW VDD_CPU_CV 1197mW/1064mW VIN_SYS_5V0 3019mW/2985mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/603mW NC 0mW/0mW
09-13-2026 12:11:38 RAM 3596/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [8%@729,8%@729,4%@729,8%@729,21%@1728,79%@1728,4%@1728,4%@1728,off,off,off,off] EMC_FREQ 3%@665 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.281C Tboard@35C SOC2@41.656C Tdiode@35.75C SOC0@42.218C CV1@-256C GPU@-256C tj@45.281C SOC1@41.343C CV2@-256C VDD_GPU_SOC 2395mW/2395mW VDD_CPU_CV 1197mW/1097mW VIN_SYS_5V0 3019mW/2993mW NC 0mW/0mW VDDQ_VDD2_1V8AO 704mW/628mW NC 0mW/0mW
09-13-2026 12:11:39 RAM 3598/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,7%@729,0%@729,0%@729,0%@729,34%@729,0%@729,off,off,off,off] EMC_FREQ 3%@665 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.968C Tboard@35C SOC2@41.531C Tdiode@35.75C SOC0@42.25C CV1@-256C GPU@-256C tj@45.125C SOC1@41.375C CV2@-256C VDD_GPU_SOC 2395mW/2395mW VDD_CPU_CV 798mW/1037mW VIN_SYS_5V0 2918mW/2978mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/623mW NC 0mW/0mW
09-13-2026 12:11:39 RAM 3598/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,11%@729,4%@729,0%@729,0%@960,0%@960,42%@960,0%@960,off,off,off,off] EMC_FREQ 8%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.968C Tboard@35C SOC2@41.562C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@44.968C SOC1@41.375C CV2@-256C VDD_GPU_SOC 1996mW/2328mW VDD_CPU_CV 399mW/931mW VIN_SYS_5V0 2717mW/2935mW NC 0mW/0mW VDDQ_VDD2_1V8AO 503mW/603mW NC 0mW/0mW
09-13-2026 12:11:39 RAM 3598/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@883,0%@883,40%@883,0%@883,off,off,off,off] EMC_FREQ 7%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.937C Tboard@35C SOC2@41.5C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@44.937C SOC1@41.375C CV2@-256C VDD_GPU_SOC 1996mW/2281mW VDD_CPU_CV 399mW/855mW VIN_SYS_5V0 2616mW/2889mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/574mW NC 0mW/0mW
09-13-2026 12:11:39 RAM 3598/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,4%@729,0%@729,4%@729,0%@729,0%@729,43%@806,0%@806,off,off,off,off] EMC_FREQ 6%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.125C Tboard@35C SOC2@41.562C Tdiode@35.75C SOC0@42.156C CV1@-256C GPU@-256C tj@44.937C SOC1@41.562C CV2@-256C VDD_GPU_SOC 1996mW/2245mW VDD_CPU_CV 399mW/798mW VIN_SYS_5V0 2616mW/2855mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/552mW NC 0mW/0mW
09-13-2026 12:11:40 RAM 3599/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,4%@729,4%@729,0%@729,16%@1728,8%@1728,37%@1728,45%@1728,off,off,off,off] EMC_FREQ 6%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.156C Tboard@35C SOC2@41.562C Tdiode@35.75C SOC0@42.218C CV1@-256C GPU@-256C tj@45.156C SOC1@41.343C CV2@-256C VDD_GPU_SOC 1995mW/2217mW VDD_CPU_CV 399mW/753mW VIN_SYS_5V0 2717mW/2839mW NC 0mW/0mW VDDQ_VDD2_1V8AO 503mW/547mW NC 0mW/0mW
09-13-2026 12:11:40 RAM 3599/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@806,0%@806,34%@806,off,off,off,off] EMC_FREQ 1%@665 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.937C Tboard@35C SOC2@41.5C Tdiode@36C SOC0@42.25C CV1@-256C GPU@-256C tj@44.843C SOC1@41.468C CV2@-256C VDD_GPU_SOC 1996mW/2195mW VDD_CPU_CV 399mW/718mW VIN_SYS_5V0 2717mW/2827mW NC 0mW/0mW VDDQ_VDD2_1V8AO 503mW/542mW NC 0mW/0mW
09-13-2026 12:11:40 RAM 3599/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,0%@729,4%@729,0%@729,17%@729,0%@729,36%@729,off,off,off,off] EMC_FREQ 5%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.812C Tboard@35C SOC2@41.5C Tdiode@35.75C SOC0@42.156C CV1@-256C GPU@-256C tj@44.812C SOC1@41.312C CV2@-256C VDD_GPU_SOC 1996mW/2177mW VDD_CPU_CV 399mW/689mW VIN_SYS_5V0 2612mW/2808mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/530mW NC 0mW/0mW
