stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,0,14519674669386,14519675142134,14519675452218,14519678317827,3.648441,0.310084,2.865609,1920
live,1,14519684669386,14519684835999,14519684916864,14519685913870,1.244484,0.080865,0.997006,1920
live,2,14519694669386,14519694791596,14519694854797,14519695827035,1.157649,0.063201,0.972238,1920
live,3,14519704669386,14519704812154,14519705249761,14519706878872,2.209486,0.437607,1.629111,1920
live,4,14519714669386,14519714809032,14519715158733,14519716943143,2.273757,0.349701,1.78441,1920
live,5,14519724669386,14519724813334,14519725176827,14519727056246,2.38686,0.363493,1.879419,1920
live,6,14519734669386,14519734811908,14519735152201,14519737025219,2.355833,0.340293,1.873018,1920
live,7,14519744669386,14519744803634,14519745126134,14519746839247,2.169861,0.3225,1.713113,1920
live,8,14519754669386,14519754872032,14519755022851,14519756257396,1.58801,0.150819,1.234545,1920
live,9,14519764669386,14519764829262,14519764903407,14519765745787,1.076401,0.074145,0.84238,1920
live,10,14519774669386,14519774865084,14519774979934,14519776465779,1.796393,0.11485,1.485845,1920
live,11,14519784669386,14519784868746,14519785266608,14519787211115,2.541729,0.397862,1.944507,1920
live,12,14519794669386,14519794829527,14519795213181,14519797224281,2.554895,0.383654,2.0111,1920
live,13,14519804669386,14519804824389,14519805201642,14519807171878,2.502492,0.377253,1.970236,1920
live,14,14519814669386,14519814822771,14519815202104,14519817212821,2.543435,0.379333,2.010717,1920
live,15,14519824669386,14519824824353,14519825204198,14519827187202,2.517816,0.379845,1.983004,1920
live,16,14519834669386,14519834823790,14519835181619,14519837088942,2.419556,0.357829,1.907323,1920
live,17,14519844669386,14519844797404,14519845113824,14519846792376,2.12299,0.31642,1.678552,1920
live,18,14519854669386,14519854823082,14519855199791,14519857202412,2.533026,0.376709,2.002621,1920
live,19,14519864669386,14519864816568,14519864891257,14519866730419,2.061033,0.074689,1.839162,1920
live,20,14519874669386,14519874824614,14519874903847,14519878940320,4.270934,0.079233,4.036473,1920
live,21,14519884669386,14519884906773,14519884992854,14519886630989,1.961603,0.086081,1.638135,1920
live,22,14519894669386,14519894815969,14519894902114,14519896808605,2.139219,0.086145,1.906491,1920
