09-13-2026 11:55:22 RAM 3582/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [56%@1728,0%@1728,45%@1728,4%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@665 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.468C Tboard@36C SOC2@41.937C Tdiode@36.25C SOC0@42.531C CV1@-256C GPU@-256C tj@45.468C SOC1@41.75C CV2@-256C VDD_GPU_SOC 2394mW/2394mW VDD_CPU_CV 798mW/798mW VIN_SYS_5V0 2918mW/2918mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/603mW NC 0mW/0mW
09-13-2026 11:55:23 RAM 3573/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [20%@729,12%@729,0%@729,26%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 4%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.406C Tboard@36C SOC2@41.906C Tdiode@36.25C SOC0@42.562C CV1@-256C GPU@-256C tj@45.406C SOC1@41.781C CV2@-256C VDD_GPU_SOC 1995mW/2194mW VDD_CPU_CV 798mW/798mW VIN_SYS_5V0 2918mW/2918mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/603mW NC 0mW/0mW
09-13-2026 11:55:23 RAM 3573/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,13%@729,4%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 3%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.093C Tboard@36C SOC2@41.875C Tdiode@36.25C SOC0@42.406C CV1@-256C GPU@-256C tj@45.218C SOC1@41.937C CV2@-256C VDD_GPU_SOC 1995mW/2128mW VDD_CPU_CV 399mW/665mW VIN_SYS_5V0 2817mW/2884mW NC 0mW/0mW VDDQ_VDD2_1V8AO 503mW/569mW NC 0mW/0mW
09-13-2026 11:55:23 RAM 3573/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,20%@729,4%@729,0%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 3%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.281C Tboard@36C SOC2@41.812C Tdiode@36.25C SOC0@42.343C CV1@-256C GPU@-256C tj@45.281C SOC1@41.75C CV2@-256C VDD_GPU_SOC 1995mW/2094mW VDD_CPU_CV 399mW/598mW VIN_SYS_5V0 2717mW/2842mW NC 0mW/0mW VDDQ_VDD2_1V8AO 503mW/553mW NC 0mW/0mW
09-13-2026 11:55:23 RAM 3573/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,4%@729,10%@729,4%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.343C Tboard@36C SOC2@41.718C Tdiode@36.25C SOC0@42.593C CV1@-256C GPU@-256C tj@45.343C SOC1@41.75C CV2@-256C VDD_GPU_SOC 1995mW/2074mW VDD_CPU_CV 399mW/558mW VIN_SYS_5V0 2616mW/2797mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/522mW NC 0mW/0mW
09-13-2026 11:55:24 RAM 3579/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [25%@729,4%@729,4%@729,4%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.031C Tboard@36C SOC2@41.906C Tdiode@36.25C SOC0@42.406C CV1@-256C GPU@-256C tj@45.031C SOC1@41.937C CV2@-256C VDD_GPU_SOC 1995mW/2061mW VDD_CPU_CV 0mW/465mW VIN_SYS_5V0 2516mW/2750mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/502mW NC 0mW/0mW
09-13-2026 11:55:24 RAM 3579/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [20%@729,26%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.281C Tboard@36C SOC2@41.75C Tdiode@36C SOC0@42.468C CV1@-256C GPU@-256C tj@45.281C SOC1@41.75C CV2@-256C VDD_GPU_SOC 1995mW/2052mW VDD_CPU_CV 0mW/399mW VIN_SYS_5V0 2512mW/2716mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/488mW NC 0mW/0mW
09-13-2026 11:55:24 RAM 3579/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [5%@729,0%@729,4%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.156C Tboard@36C SOC2@41.781C Tdiode@36C SOC0@42.437C CV1@-256C GPU@-256C tj@45.156C SOC1@41.718C CV2@-256C VDD_GPU_SOC 1995mW/2044mW VDD_CPU_CV 0mW/349mW VIN_SYS_5V0 2516mW/2691mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/477mW NC 0mW/0mW
09-13-2026 11:55:24 RAM 3579/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [5%@729,4%@729,0%@729,0%@729,0%@729,0%@729,4%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.125C Tboard@36C SOC2@41.843C Tdiode@36C SOC0@42.593C CV1@-256C GPU@-256C tj@45.062C SOC1@41.75C CV2@-256C VDD_GPU_SOC 1995mW/2039mW VDD_CPU_CV 0mW/310mW VIN_SYS_5V0 2512mW/2671mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/457mW NC 0mW/0mW
09-13-2026 11:55:24 RAM 3579/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [25%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.187C Tboard@36C SOC2@41.781C Tdiode@36.25C SOC0@42.437C CV1@-256C GPU@-256C tj@45.187C SOC1@41.718C CV2@-256C VDD_GPU_SOC 1995mW/2034mW VDD_CPU_CV 0mW/279mW VIN_SYS_5V0 2512mW/2655mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/442mW NC 0mW/0mW
09-13-2026 11:55:25 RAM 3586/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,28%@729,26%@729,13%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.312C Tboard@36C SOC2@41.843C Tdiode@36.25C SOC0@42.406C CV1@-256C GPU@-256C tj@45.312C SOC1@41.781C CV2@-256C VDD_GPU_SOC 1995mW/2031mW VDD_CPU_CV 0mW/253mW VIN_SYS_5V0 2512mW/2642mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/438mW NC 0mW/0mW
