case,backend,target_mbps,rounds,frames,payload_mean_mbps,rtp_mean_mbps,rtp_packets_per_second,late_service_vs_frame_period,late_scheduled_vs_frame_period,steady_output_fps_min,source_schedule_lateness_ms_max,encoder_ms_mean,encoder_ms_p50,encoder_ms_p95,encoder_ms_p99,encoder_ms_max,encode_path_ms_mean,encode_path_ms_p50,encode_path_ms_p95,encode_path_ms_p99,encode_path_ms_max,packet_ready_ms_mean,packet_ready_ms_p50,packet_ready_ms_p95,packet_ready_ms_p99,packet_ready_ms_max,scheduled_packet_latency_ms_mean,scheduled_packet_latency_ms_p50,scheduled_packet_latency_ms_p95,scheduled_packet_latency_ms_p99,scheduled_packet_latency_ms_max,payload_bytes_mean,payload_bytes_p50,payload_bytes_p95,payload_bytes_p99,payload_bytes_max
h264_cpu_2M,cpu,2.0,3,450,2.0357284444444446,2.0656777777777777,319.8333333333333,9,69,24.782820027154475,51.824575,20.376508771111112,19.551718,30.134228699999994,40.59849942999999,44.696335,20.466189104444446,19.6416235,30.299671149999998,40.70244154999999,44.806512,21.792549462222222,20.875974,31.910731199999997,42.901364339999986,47.563089,27.018936346666663,21.926660999999996,59.49023979999999,68.0685144,77.51979,10178.642222222223,8143.0,17282.0,37381.79999999999,39782.0
h264_cpu_4M,cpu,4.0,3,450,3.997973777777778,4.050335555555556,519.9444444444445,12,311,24.717225382363264,234.825844,24.806755304444444,23.743479999999998,35.38933709999999,43.49038854,49.215812,24.89412061333333,23.880874,35.49578654999999,43.56086922,49.277349,26.287468857777778,25.27769,37.331501349999996,44.96404447,51.017369,117.25064221777777,130.911828,217.51027114999997,250.26541212,263.026528,19989.86888888889,20101.0,24142.0,47215.0,53485.0
h264_cpu_8M,cpu,8.0,3,450,7.917245777777778,8.016615555555555,938.7222222222222,187,450,18.254911102040953,2704.54651,38.76144254444444,36.690977000000004,53.00341869999999,61.870107409999974,68.911116,38.85116456888888,36.773186,53.09051249999999,61.943031419999976,68.986637,40.36040342222222,38.303107499999996,54.874849749999996,63.541931739999974,70.729602,1452.8059229022224,1392.2496859999999,2457.9446839999996,2660.6397798599996,2742.807697,39586.22888888889,40418.0,46549.0,59574.0,63058.0
h264_nvenc_2M,nvenc,2.0,3,450,2.063365333333333,2.0903573333333334,261.5,261,263,24.834654280316286,0.652738,33.58664220888889,32.841235,47.713794549999996,57.253941299999994,61.307507,41.69202048888889,40.942371,55.92928969999998,65.27261209,68.908685,42.26886373555555,41.5096895,56.47137304999997,65.77050562,69.295121,42.45085106666667,41.708135,56.731756499999975,65.9094825,69.461742,10316.826666666666,9804.5,11137.0,22204.0,22254.0
h264_nvenc_4M,nvenc,4.0,3,450,3.850688,3.8985306666666664,447.6666666666667,264,265,24.953478848381856,0.473288,34.069980784444446,32.934357,47.28641309999999,60.06619334999997,86.655422,42.07891699777778,41.051108,55.54905615,68.41177243999998,94.196471,42.887793746666674,41.886302,56.42296955,69.29891030999998,95.061601,43.065091797777775,42.073371,56.61600335,69.49260378999998,95.230943,19253.44,18188.5,24535.0,31410.0,31422.0
h264_nvenc_8M,nvenc,8.0,3,450,7.882966666666667,7.978764,875.8333333333334,294,294,24.90215198257131,0.340307,34.61110202,33.988385,47.25381319999999,57.0800868,65.472292,42.730399813333335,42.1573135,55.863708149999994,65.54888154,73.702118,43.680670973333335,43.128589000000005,56.97389449999999,66.83603178999999,74.291437,43.867078604444444,43.2971215,57.17401165,67.01920496,74.465614,39414.833333333336,39356.0,40025.0,50317.0,50345.0
