scenario,audio_profile,people,audio_streams,cameras,link_mbps,one_way_ms_assumed,playout_ms_assumed,offered_load_fraction,mean_rate_below_link,network_p50_ms,network_p95_ms,network_max_ms,max_queue_wait_ms,network_deadline_ms,late_frames,frames,source_end_backlog_ms
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,4,4,0,1000,25,20,0.00018559999999999998,True,45.00232000000033,45.0037120000016,45.0037120000016,0.0027840000011991606,100,0,1000,0.30461200000164723
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,8,8,0,1,25,20,0.3712,True,49.176000000000045,52.42400000000032,52.42400000000032,6.496000000000279,100,0,2000,7.724900000000368
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,8,8,0,5,25,20,0.07424,True,45.8352,46.484800000000064,46.484800000000064,1.2992000000000559,100,0,2000,1.7857000000001122
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,8,8,0,10,25,20,0.03712,True,45.4176,45.74240000000003,45.74240000000003,0.6496000000000279,100,0,2000,1.0433000000000803
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,8,8,0,20,25,20,0.01856,True,45.2087999999989,45.371200000000016,45.371200000000016,0.32480000000001397,100,0,2000,0.6720999999965116
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,8,8,0,50,25,20,0.007423999999999999,True,45.08352000000001,45.148480000000006,45.148480000000006,0.1299200000000056,100,0,2000,0.44938000000005474
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,8,8,0,100,25,20,0.0037119999999999996,True,45.04175999999889,45.07424,45.07424,0.0649600000000028,100,0,2000,0.37513999999649883
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,8,8,0,1000,25,20,0.00037119999999999997,True,45.00417600000069,45.007423999999645,45.0074240000032,0.006496000002798041,100,0,2000,0.3083240000032461
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,16,16,0,1,25,20,0.7424,True,52.88800000000009,59.84800000000064,59.84800000000064,13.920000000000599,100,0,4000,15.148900000000687
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,16,16,0,5,25,20,0.14848,True,46.577600000000004,47.96960000000013,47.96960000000013,2.7840000000001197,100,0,4000,3.270500000000176
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,16,16,0,10,25,20,0.07424,True,45.7888,46.484800000000064,46.484800000000064,1.3920000000000599,100,0,4000,1.7857000000001122
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,16,16,0,20,25,20,0.03712,True,45.394399999998015,45.74239999999293,45.74240000000003,0.6960000000000299,100,0,4000,1.0432999999929748
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,16,16,0,50,25,20,0.014847999999999998,True,45.15776000000001,45.29696000000001,45.29696000000001,0.27840000000001197,100,0,4000,0.5978600000000611
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,16,16,0,100,25,20,0.007423999999999999,True,45.07887999999801,45.1484799999929,45.148480000000006,0.13920000000000599,100,0,4000,0.4493799999929493
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,16,16,0,1000,25,20,0.0007423999999999999,True,45.0078880000014,45.01484799999929,45.014848000006396,0.013920000005995803,100,0,4000,0.3157480000064439
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,32,32,0,1,25,20,1.4848,False,1267.5129600001367,2358.2435542002795,2489.1699210002953,2443.241921000295,100,7853,8000,2444.470821000295
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,32,32,0,5,25,20,0.29696,True,48.06240000000001,50.75360000000025,50.939200000000255,5.753600000000247,100,0,8000,6.240100000000304
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,32,32,0,10,25,20,0.14848,True,46.531200000000005,47.876800000000124,47.96960000000013,2.8768000000001237,100,0,8000,3.270500000000176
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,32,32,0,20,25,20,0.07424,True,45.765599999996255,46.43840000000006,46.484800000000064,1.4384000000000619,100,0,8000,1.7856999999859013
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,32,32,0,50,25,20,0.029695999999999997,True,45.30624000000002,45.575360000000025,45.593920000000026,0.5753600000000247,100,0,8000,0.8948200000000739
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,32,32,0,100,25,20,0.014847999999999998,True,45.153119999996235,45.28768000000001,45.29696000000001,0.28768000000001237,100,0,8000,0.5978599999858503
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,32,32,0,1000,25,20,0.0014847999999999999,True,45.01531200000282,45.02876799999862,45.02969600001279,0.028768000012391326,100,0,8000,0.3305960000128394
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,64,64,0,1,25,20,2.9696,False,4979.590144500295,9410.590943000581,9913.169921000614,9867.241921000612,100,15925,16000,9868.470821000614
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,64,64,0,5,25,20,0.59392,True,51.03200000000003,56.32160000000049,56.87840000000051,11.692800000000503,100,0,16000,12.17930000000056
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,64,64,0,10,25,20,0.29696,True,48.01600000000002,50.66080000000024,50.939200000000255,5.846400000000251,100,0,16000,6.240100000000304
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,64,64,0,20,25,20,0.14848,True,46.507999999992734,47.830400000000125,47.96960000000013,2.9232000000001257,100,0,16000,3.2704999999717543
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,64,64,0,50,25,20,0.05939199999999999,True,45.60320000000003,46.13216000000005,46.18784000000005,1.1692800000000503,100,0,16000,1.4887400000000994
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,64,64,0,100,25,20,0.029695999999999997,True,45.30159999999269,45.56608000000003,45.593920000000026,0.5846400000000251,100,0,16000,0.8948199999716522
selected_beam_local_vision,opus_mono_16k_24k_20ms/speech_like,64,64,0,1000,25,20,0.0029695999999999998,True,45.030160000005665,45.05660800002438,45.05939200002558,0.05846400002518237,100,0,16000,0.36029200002563044
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,1,1,1,25,20,4.102509333333333,False,7645.031174000003,14555.022538399928,15431.850620999905,15233.946620999905,100,372,375,15439.481737999906
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,1,1,5,25,20,0.8205018666666666,True,70.81806799999997,91.25192309999973,107.63105699999905,58.81477999999962,100,4,375,83.21191699999986
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,1,1,10,25,20,0.4102509333333333,True,52.246594000000606,62.764719999999826,71.51119999999985,21.149143999999787,100,0,375,67.92151699999937
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,1,1,20,25,20,0.20512546666666664,True,45.046400000000006,53.851559999999736,58.25559999999992,7.8983439999995575,100,0,375,60.27631699999958
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,1,1,50,25,20,0.08205018666666666,True,45.01856,48.540623999999895,50.30223999999979,2.9254309999999784,100,0,375,55.689196999999524
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,1,1,100,25,20,0.04102509333333333,True,45.009280000000004,46.77031199999995,47.65112000000034,1.3990310000000505,100,0,375,54.1601570000001
selected_beam_shared_camera,opus_mono_16k_24k_20ms/speech_like,1,1,1,1000,25,20,0.004102509333333333,True,45.000928000000016,45.17703120000006,45.26511200000012,0.025271000000048893,100,0,375,52.7840209999999
