scenario,audio_profile,people,audio_streams,beams_per_person,cameras,payload_mbps,modeled_ipv4_mbps,recommended_link_mbps,reserve_factor,model_basis,video_profile
independent_robots,opus_mono_16k_16k_20ms/speech_like,1,1,1,1,3.8666879999999995,4.094509333333333,5.314733286796196,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_16k_20ms/speech_like,2,2,1,2,7.733375999999999,8.189018666666666,10.629466573592392,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_16k_20ms/speech_like,3,3,1,3,11.600063999999998,12.283527999999999,15.944199860388586,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_16k_20ms/speech_like,4,4,1,4,15.466751999999998,16.37803733333333,21.258933147184784,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_16k_20ms/speech_like,8,8,1,8,30.933503999999996,32.75607466666666,42.51786629436957,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_16k_20ms/speech_like,16,16,1,16,61.86700799999999,65.51214933333333,85.03573258873914,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_16k_20ms/speech_like,32,32,1,32,123.73401599999998,131.02429866666665,170.07146517747827,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
independent_robots,opus_mono_16k_16k_20ms/speech_like,64,64,1,64,247.46803199999997,262.0485973333333,340.14293035495655,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,h264_nvenc_4M
selected_beam_local_vision,opus_mono_16k_16k_20ms/noise,1,1,1,0,0.016,0.0384,0.047999999999999994,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
selected_beam_local_vision,opus_mono_16k_16k_20ms/noise,2,2,1,0,0.032,0.0768,0.09599999999999999,1.25,measured codec bytes; modeled IPv4/UDP/security headers; largest average bitrate round for this fixture,none
