09-13-2026 12:27:53 RAM 5485/62801MB (lfb 13388x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@960,56%@1036,0%@1036,8%@1036,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@2133 GR3D_FREQ 25%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@46.468C Tboard@37C SOC2@43.031C Tdiode@37.5C SOC0@43.593C CV1@-256C GPU@42.375C tj@46.468C SOC1@42.843C CV2@-256C VDD_GPU_SOC 3592mW/3159mW VDD_CPU_CV 399mW/864mW VIN_SYS_5V0 3421mW/3320mW NC 0mW/0mW VDDQ_VDD2_1V8AO 704mW/704mW NC 0mW/0mW
09-13-2026 12:27:53 RAM 5485/62801MB (lfb 13388x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@1036,0%@1036,45%@1036,8%@960,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@2133 GR3D_FREQ 25%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@46.625C Tboard@37C SOC2@43.093C Tdiode@37.25C SOC0@43.75C CV1@-256C GPU@42.343C tj@46.625C SOC1@42.812C CV2@-256C VDD_GPU_SOC 3592mW/3192mW VDD_CPU_CV 399mW/828mW VIN_SYS_5V0 3321mW/3320mW NC 0mW/0mW VDDQ_VDD2_1V8AO 704mW/704mW NC 0mW/0mW
09-13-2026 12:27:54 RAM 5486/62801MB (lfb 13388x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@1036,0%@1036,0%@1036,52%@1036,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@2133 GR3D_FREQ 25%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@46.25C Tboard@37C SOC2@43.062C Tdiode@37.5C SOC0@43.687C CV1@-256C GPU@42.156C tj@46.25C SOC1@42.906C CV2@-256C VDD_GPU_SOC 3592mW/3221mW VDD_CPU_CV 399mW/798mW VIN_SYS_5V0 3321mW/3320mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/696mW NC 0mW/0mW
09-13-2026 12:27:54 RAM 5486/62801MB (lfb 13388x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@1036,4%@1036,4%@1113,50%@1113,0%@729,4%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@2133 GR3D_FREQ 21%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@46.5C Tboard@37C SOC2@43.031C Tdiode@37.5C SOC0@43.687C CV1@-256C GPU@42.187C tj@46.5C SOC1@42.812C CV2@-256C VDD_GPU_SOC 3592mW/3246mW VDD_CPU_CV 399mW/771mW VIN_SYS_5V0 3321mW/3320mW NC 0mW/0mW VDDQ_VDD2_1V8AO 704mW/697mW NC 0mW/0mW
09-13-2026 12:27:54 RAM 5486/62801MB (lfb 13388x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@1036,0%@960,0%@960,47%@960,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@2133 GR3D_FREQ 21%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@46.593C Tboard@37C SOC2@43.062C Tdiode@37.5C SOC0@43.531C CV1@-256C GPU@42.125C tj@46.593C SOC1@42.875C CV2@-256C VDD_GPU_SOC 3591mW/3267mW VDD_CPU_CV 399mW/748mW VIN_SYS_5V0 3321mW/3320mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/691mW NC 0mW/0mW
09-13-2026 12:27:54 RAM 5486/62801MB (lfb 13388x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@960,0%@960,4%@1036,50%@1036,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@2133 GR3D_FREQ 19%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@46.281C Tboard@37C SOC2@43C Tdiode@37.5C SOC0@43.593C CV1@-256C GPU@42.468C tj@46.281C SOC1@42.906C CV2@-256C VDD_GPU_SOC 3591mW/3286mW VDD_CPU_CV 399mW/727mW VIN_SYS_5V0 3321mW/3320mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/686mW NC 0mW/0mW
09-13-2026 12:27:54 RAM 5486/62801MB (lfb 13388x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@1036,0%@1036,8%@1036,50%@1036,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@2133 GR3D_FREQ 22%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@46.312C Tboard@37C SOC2@43.093C Tdiode@37.5C SOC0@43.562C CV1@-256C GPU@42.25C tj@46.312C SOC1@43C CV2@-256C VDD_GPU_SOC 3591mW/3303mW VDD_CPU_CV 399mW/709mW VIN_SYS_5V0 3220mW/3315mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/681mW NC 0mW/0mW
09-13-2026 12:27:55 RAM 5486/62801MB (lfb 13388x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@960,0%@960,0%@960,54%@960,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@2133 GR3D_FREQ 25%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@46.281C Tboard@37C SOC2@43C Tdiode@37.25C SOC0@43.656C CV1@-256C GPU@42.187C tj@46.281C SOC1@42.875C CV2@-256C VDD_GPU_SOC 3591mW/3318mW VDD_CPU_CV 399mW/693mW VIN_SYS_5V0 3220mW/3310mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/677mW NC 0mW/0mW
09-13-2026 12:27:55 RAM 5495/62801MB (lfb 13386x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@1036,0%@1036,9%@960,48%@960,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@2133 GR3D_FREQ 21%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@46.468C Tboard@37C SOC2@43.031C Tdiode@37.5C SOC0@43.687C CV1@-256C GPU@42.343C tj@46.468C SOC1@42.812C CV2@-256C VDD_GPU_SOC 3591mW/3332mW VDD_CPU_CV 399mW/678mW VIN_SYS_5V0 3321mW/3310mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/673mW NC 0mW/0mW
09-13-2026 12:27:55 RAM 5495/62801MB (lfb 13386x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@960,0%@960,0%@960,50%@960,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@2133 GR3D_FREQ 28%@[611,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@46.562C Tboard@37C SOC2@43C Tdiode@37.5C SOC0@43.531C CV1@-256C GPU@42.218C tj@46.406C SOC1@42.875C CV2@-256C VDD_GPU_SOC 3591mW/3344mW VDD_CPU_CV 399mW/665mW VIN_SYS_5V0 3321mW/3311mW NC 0mW/0mW VDDQ_VDD2_1V8AO 603mW/670mW NC 0mW/0mW
