09-13-2026 12:05:14 RAM 3586/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,0%@729,9%@729,0%@729,0%@729,4%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.875C Tboard@35C SOC2@41.656C Tdiode@36C SOC0@42.187C CV1@-256C GPU@-256C tj@44.875C SOC1@41.593C CV2@-256C VDD_GPU_SOC 1996mW/1995mW VDD_CPU_CV 0mW/266mW VIN_SYS_5V0 2512mW/2622mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/393mW NC 0mW/0mW
09-13-2026 12:05:14 RAM 3587/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,0%@729,10%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.093C Tboard@35C SOC2@41.656C Tdiode@36C SOC0@42.125C CV1@-256C GPU@-256C tj@44.906C SOC1@41.625C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/245mW VIN_SYS_5V0 2512mW/2614mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/386mW NC 0mW/0mW
09-13-2026 12:05:15 RAM 3587/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,0%@729,13%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.093C Tboard@35C SOC2@41.562C Tdiode@36C SOC0@42.218C CV1@-256C GPU@-256C tj@45.093C SOC1@41.562C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/228mW VIN_SYS_5V0 2512mW/2606mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/380mW NC 0mW/0mW
09-13-2026 12:05:15 RAM 3586/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [9%@729,18%@729,0%@729,13%@729,4%@729,4%@729,0%@729,8%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.937C Tboard@35C SOC2@41.562C Tdiode@36C SOC0@42.25C CV1@-256C GPU@-256C tj@44.937C SOC1@41.531C CV2@-256C VDD_GPU_SOC 1996mW/1995mW VDD_CPU_CV 0mW/212mW VIN_SYS_5V0 2512mW/2600mW NC 0mW/0mW VDDQ_VDD2_1V8AO 402mW/381mW NC 0mW/0mW
09-13-2026 12:05:15 RAM 3586/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [10%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,4%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.843C Tboard@35C SOC2@41.593C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@44.843C SOC1@41.656C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/199mW VIN_SYS_5V0 2512mW/2595mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/376mW NC 0mW/0mW
09-13-2026 12:05:15 RAM 3586/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [20%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.062C Tboard@35C SOC2@41.656C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@45.062C SOC1@41.593C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/187mW VIN_SYS_5V0 2512mW/2590mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/372mW NC 0mW/0mW
09-13-2026 12:05:16 RAM 3587/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [9%@729,16%@729,0%@729,4%@729,0%@729,17%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.968C Tboard@35C SOC2@41.593C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@44.968C SOC1@41.406C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/177mW VIN_SYS_5V0 2512mW/2585mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/368mW NC 0mW/0mW
09-13-2026 12:05:16 RAM 3587/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@883,20%@883,21%@878,0%@1036,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.843C Tboard@35C SOC2@41.593C Tdiode@36C SOC0@42.25C CV1@-256C GPU@-256C tj@44.843C SOC1@41.625C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/168mW VIN_SYS_5V0 2512mW/2581mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/364mW NC 0mW/0mW
09-13-2026 12:05:16 RAM 3587/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [17%@729,4%@729,0%@729,0%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.156C Tboard@35C SOC2@41.593C Tdiode@36C SOC0@42.281C CV1@-256C GPU@-256C tj@45.156C SOC1@41.562C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/159mW VIN_SYS_5V0 2512mW/2578mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/361mW NC 0mW/0mW
09-13-2026 12:05:16 RAM 3587/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [22%@729,0%@729,0%@729,0%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@44.875C Tboard@35C SOC2@41.593C Tdiode@36C SOC0@42.156C CV1@-256C GPU@-256C tj@44.968C SOC1@41.687C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/152mW VIN_SYS_5V0 2512mW/2575mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/358mW NC 0mW/0mW
