stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,0,17306218358933,17306218667871,17306219042436,17306291878659,73.519726,0.374565,72.836223,30720
live,1,17306228358933,17306228656826,17306292167878,17306300661487,72.302554,63.511052,8.493609,30720
live,2,17306238358933,17306238628212,17306300821297,17306308847091,70.488158,62.193085,8.025794,30720
live,3,17306248358933,17306248643983,17306308988373,17306316882262,68.523329,60.34439,7.893889,30720
live,4,17306258358933,17306258550057,17306317045880,17306324388082,66.029149,58.495823,7.342202,30720
live,8,17306298358933,17306298589909,17306324536276,17306331888014,33.529081,25.946367,7.351738,30720
live,9,17306308358933,17306308563120,17306332057456,17306339833904,31.474971,23.494336,7.776448,30720
live,10,17306318358933,17306318510890,17306339980658,17306347462158,29.103225,21.469768,7.4815,30720
live,11,17306328358933,17306328511685,17306347612976,17306354941002,26.582069,19.101291,7.328026,30720
live,12,17306338358933,17306338684386,17306355083979,17306362427622,24.068689,16.399593,7.343643,30720
live,13,17306348358933,17306348496890,17306362566503,17306369565661,21.206728,14.069613,6.999158,30720
live,14,17306358358933,17306358504277,17306369681151,17306376712149,18.353216,11.176874,7.030998,30720
live,15,17306368358933,17306368785780,17306376834071,17306383776908,15.417975,8.048291,6.942837,30720
live,16,17306378358933,17306378516043,17306383897421,17306390842723,12.48379,5.381378,6.945302,30720
live,17,17306388358933,17306388505062,17306390956228,17306398050299,9.691366,2.451166,7.094071,30720
live,18,17306398358933,17306398494881,17306398549441,17306405495479,7.136546,0.05456,6.946038,30720
live,19,17306408358933,17306408485948,17306408765727,17306415859798,7.500865,0.279779,7.094071,30720
live,20,17306418358933,17306418482070,17306418539927,17306475372561,57.013628,0.057857,56.832634,30720
live,21,17306428358933,17306428547026,17306475552084,17306483033424,54.674491,47.005058,7.48134,30720
live,22,17306438358933,17306438500140,17306483169937,17306490491723,52.13279,44.669797,7.321786,30720
live,23,17306448358933,17306448488423,17306490616877,17306497925319,49.566386,42.128454,7.308442,30720
live,24,17306458358933,17306458489058,17306498052328,17306505017118,46.658185,39.56327,6.96479,30720
live,26,17306478358933,17306478502200,17306505139263,17306512107989,33.749056,26.637063,6.968726,30720
live,27,17306488358933,17306488504755,17306512231286,17306519193804,30.834871,23.726531,6.962518,30720
live,28,17306498358933,17306498495630,17306519316269,17306526334948,27.976015,20.820639,7.018679,30720
live,29,17306508358933,17306508514761,17306526464261,17306533592189,25.233256,17.9495,7.127928,30720
live,30,17306518358933,17306518606181,17306533718558,17306540743253,22.38432,15.112377,7.024695,30720
live,31,17306528358933,17306528519871,17306540866582,17306548230865,19.871932,12.346711,7.364283,30720
live,32,17306538358933,17306538507801,17306548556725,17306555639788,17.280855,10.048924,7.083063,30720
live,33,17306548358933,17306548706423,17306555751277,17306562576449,14.217516,7.044854,6.825172,30720
live,34,17306558358933,17306558506063,17306562683938,17306569446325,11.087392,4.177875,6.762387,30720
live,35,17306568358933,17306568669772,17306569553719,17306576260265,7.901332,0.883947,6.706546,30720
live,36,17306578358933,17306578495141,17306578553701,17306585622716,7.263783,0.05856,7.069015,30720
live,37,17306588358933,17306588494656,17306588770403,17306596568483,8.20955,0.275747,7.79808,30720
live,38,17306598358933,17306598521435,17306598813342,17306606368315,8.009382,0.291907,7.554973,30720
live,39,17306608358933,17306608494357,17306608557110,17306615365834,7.006901,0.062753,6.808724,30720
live,40,17306618358933,17306618481552,17306618539441,17306676444120,58.085187,0.057889,57.904679,30720
live,41,17306628358933,17306628532556,17306676620570,17306683811475,55.452542,48.088014,7.190905,30720
live,42,17306638358933,17306638501126,17306683971733,17306691402448,53.043515,45.470607,7.430715,30720
live,43,17306648358933,17306648474081,17306691528594,17306698830603,50.47167,43.054513,7.302009,30720
live,44,17306658358933,17306658561053,17306698951757,17306706003684,47.644751,40.390704,7.051927,30720
live,46,17306678358933,17306678524722,17306706136709,17306712980889,34.621956,27.611987,6.84418,30720
live,47,17306688358933,17306688516653,17306713099131,17306719974831,31.615898,24.582478,6.8757,30720
live,48,17306698358933,17306698497191,17306720110353,17306726898116,28.539183,21.613162,6.787763,30720
live,49,17306708358933,17306708516802,17306727013606,17306734115101,25.756168,18.496804,7.101495,30720
live,50,17306718358933,17306718569246,17306734228254,17306741328566,22.969633,15.659008,7.100312,30720
live,51,17306728358933,17306728513464,17306741444439,17306748613423,20.25449,12.930975,7.168984,30720
live,52,17306738358933,17306738510579,17306748723697,17306755769127,17.410194,10.213118,7.04543,30720
live,53,17306748358933,17306748524974,17306755892937,17306762981344,14.622411,7.367963,7.088407,30720
live,54,17306758358933,17306758518633,17306763097249,17306769816916,11.457983,4.578616,6.719667,30720
live,55,17306768358933,17306768567684,17306769925877,17306776730857,8.371924,1.358193,6.80498,30720
live,56,17306778358933,17306778510847,17306778572863,17306785475924,7.116991,0.062016,6.903061,30720
live,57,17306788358933,17306788489241,17306788545818,17306796860000,8.501067,0.056577,8.314182,30720
live,58,17306798358933,17306798487796,17306798547221,17306806775130,8.416197,0.059425,8.227909,30720
live,59,17306808358933,17306808485039,17306808550832,17306816933847,8.574914,0.065793,8.383015,30720
live,60,17306818358933,17306818486378,17306818548907,17306876599092,58.240159,0.062529,58.050185,30720
live,61,17306828358933,17306828548261,17306876774230,17306885242910,56.883977,48.225969,8.46868,30720
live,62,17306838358933,17306838504320,17306885399648,17306892481751,54.122818,46.895328,7.082103,30720
live,63,17306848358933,17306848480890,17306892617209,17306899669935,51.311002,44.136319,7.052726,30720
live,64,17306858358933,17306858507318,17306899820593,17306907143819,48.784886,41.313275,7.323226,30720
live,66,17306878358933,17306878516907,17306907275469,17306914042944,35.684011,28.758562,6.767475,30720
live,67,17306888358933,17306888502054,17306914165346,17306920914260,32.555327,25.663292,6.748914,30720
live,68,17306898358933,17306898696739,17306921030902,17306927744904,29.385971,22.334163,6.714002,30720
live,69,17306908358933,17306908503036,17306927867946,17306934533404,26.174471,19.36491,6.665458,30720
live,70,17306918358933,17306918513623,17306934647517,17306941382544,23.023611,16.133894,6.735027,30720
live,71,17306928358933,17306928500754,17306941497713,17306948530728,20.171795,12.996959,7.033015,30720
live,72,17306938358933,17306938508621,17306948643785,17306955599295,17.240362,10.135164,6.95551,30720
live,73,17306948358933,17306948550152,17306955716032,17306962981753,14.62282,7.16588,7.265721,30720
live,74,17306958358933,17306958517891,17306963094619,17306970119217,11.760284,4.576728,7.024598,30720
live,75,17306968358933,17306968528222,17306970224530,17306977099399,8.740466,1.696308,6.874869,30720
live,76,17306978358933,17306978549145,17306978604345,17306985533455,7.174522,0.0552,6.92911,30720
live,77,17306988358933,17306988511283,17306988567092,17306996148721,7.789788,0.055809,7.581629,30720
live,78,17306998358933,17306998488526,17306998544814,17307005430499,7.071566,0.056288,6.885685,30720
live,79,17307008358933,17307008487977,17307008549705,17307016182727,7.823794,0.061728,7.633022,30720
live,80,17307018358933,17307018480579,17307018533028,17307076467020,58.108087,0.052449,57.933992,30720
live,81,17307028358933,17307028538751,17307076650030,17307084160875,55.801942,48.111279,7.510845,30720
live,82,17307038358933,17307038506009,17307084303564,17307091557957,53.199024,45.797555,7.254393,30720
live,83,17307048358933,17307048484308,17307091687847,17307098687421,50.328488,43.203539,6.999574,30720
live,84,17307058358933,17307058505071,17307098804574,17307117584869,59.225936,40.299503,18.780295,30720
live,86,17307078358933,17307078495301,17307117709575,17307124754845,46.395912,39.214274,7.04527,30720
live,87,17307088358933,17307088510688,17307124884639,17307131748147,43.389214,36.373951,6.863508,30720
live,88,17307098358933,17307098546907,17307131877205,17307138798410,40.439477,33.330298,6.921205,30720
live,89,17307108358933,17307117306434,17307138908395,17307145696639,37.337706,21.601961,6.788244,30720
live,90,17307118358933,17307118493840,17307145828384,17307152912887,34.553954,27.334544,7.084503,30720
live,91,17307128358933,17307128512876,17307153032025,17307160165393,31.80646,24.519149,7.133368,30720
live,92,17307138358933,17307138532391,17307160279666,17307167495403,29.13647,21.747275,7.215737,30720
live,93,17307148358933,17307148516001,17307167627116,17307174958662,26.599729,19.111115,7.331546,30720
live,94,17307158358933,17307158548413,17307175070248,17307182059646,23.700713,16.521835,6.989398,30720
live,95,17307168358933,17307168609112,17307182173087,17307188919922,20.560989,13.563975,6.746835,30720
live,96,17307178358933,17307178508210,17307189025907,17307195933160,17.574227,10.517697,6.907253,30720
live,97,17307188358933,17307188495757,17307196063786,17307202748572,14.389639,7.568029,6.684786,30720
live,98,17307198358933,17307198497896,17307202885438,17307210146295,11.787362,4.387542,7.260857,30720
replay,99,17307208358933,17307209691409,17307209787954,17307732154374,523.795441,0.096545,522.36642,2338816
live,99,17307208358933,17307209655217,17307210262744,17307219390984,11.032051,0.607527,9.12824,30720
live,100,17307218358933,17307218963459,17307219894767,17307277627668,59.268735,0.931308,57.732901,30720
live,101,17307228358933,17307228631738,17307277815414,17307285312722,56.953789,49.183676,7.497308,30720
live,102,17307238358933,17307238558324,17307285461556,17307292910672,54.551739,46.903232,7.449116,30720
live,103,17307248358933,17307248538223,17307293052498,17307300554190,52.195257,44.514275,7.501692,30720
live,104,17307258358933,17307258512809,17307300688815,17307308179787,49.820854,42.176006,7.490972,30720
live,106,17307278358933,17307278522847,17307308331149,17307315850378,37.491445,29.808302,7.519229,30720
live,107,17307288358933,17307288545530,17307315982699,17307324029390,35.670457,27.437169,8.046691,30720
live,108,17307298358933,17307298551477,17307324163504,17307331362120,33.003187,25.612027,7.198616,30720
live,109,17307308358933,17307308511728,17307331488490,17307338438623,30.07969,22.976762,6.950133,30720
live,110,17307318358933,17307318513866,17307338590817,17307345689880,27.330947,20.076951,7.099063,30720
live,111,17307328358933,17307328524549,17307345829914,17307352869169,24.510236,17.305365,7.039255,30720
live,112,17307338358933,17307338622370,17307352997106,17307360367437,22.008504,14.374736,7.370331,30720
live,113,17307348358933,17307348535227,17307360489550,17307367273058,18.914125,11.954323,6.783508,30720
live,114,17307358358933,17307358582167,17307367406083,17307374740797,16.381864,8.823916,7.334714,30720
live,115,17307368358933,17307368535313,17307375041601,17307382121752,13.762819,6.506288,7.080151,30720
live,116,17307378358933,17307378535948,17307382256922,17307389184943,10.82601,3.720974,6.928021,30720
live,117,17307388358933,17307388524231,17307389308112,17307396182885,7.823952,0.783881,6.874773,30720
