case,round,sample,wall_ms,budget_ms,device_ms
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,0,6.669298,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,0,6.703218,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,1,6.835763,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,1,6.86322,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,2,6.983894,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,2,7.02191,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,3,6.762578,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,3,6.787955,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,4,6.796595,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,4,6.822451,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,5,6.778067,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,5,6.802803,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,6,6.582992,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,6,6.607152,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,7,6.577424,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,7,6.601392,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,8,6.600721,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,8,6.625681,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,9,6.369198,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,9,6.39531,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,10,6.741362,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,10,6.764723,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,11,6.696018,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,11,6.720882,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,12,6.537328,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,12,6.560816,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,13,6.798772,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,13,6.82082,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,14,6.70837,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,14,6.730386,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,15,6.687602,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,15,6.711442,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,16,6.484719,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,16,6.507952,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,17,6.760818,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,17,6.784115,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,18,6.74501,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,18,6.789747,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,19,6.814676,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,19,6.839828,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,20,6.993142,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,20,7.017974,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,21,7.022294,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,21,7.060663,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,22,6.976437,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,22,7.01055,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,23,6.750578,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,23,6.780243,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,24,6.785203,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,24,6.813907,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,25,6.904724,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,25,6.93026,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,26,7.229433,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,26,7.263481,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,27,7.252152,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,27,7.285785,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,28,7.275833,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,28,7.304634,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,29,7.457499,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,29,7.486395,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,30,7.269209,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,30,7.295674,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,31,7.295449,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,31,7.328346,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,32,7.64371,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,32,7.673982,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,33,7.617629,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,33,7.648285,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,34,7.603068,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,34,7.634525,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,35,7.538108,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,35,7.570685,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,36,7.539324,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,36,7.570204,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,37,7.586109,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,37,7.616925,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,38,7.734495,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,38,7.763519,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,39,7.718814,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,39,7.752575,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,40,7.347226,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,40,7.379866,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,41,7.346714,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,41,7.374362,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,42,7.54294,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,42,7.570748,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,43,8.336806,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,43,8.375622,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,44,8.830188,40.0,
