case,round,sampled_rss_peak_bytes,sampled_rss_increase_bytes,pss_after_bytes,steady_output_fps,python_copy_payload_MB_s,python_copy_read_write_MB_s,compressed_payload_MB_s
jetson_jetson_test_640x360_throughput_nvdec_native,0,78249984,58564608,54742016,1325.7413140587748,0.0,0.0,5.014291758293334
jetson_jetson_test_640x360_paced_nvdec_native,0,80175104,60477440,57039872,24.992821038601683,0.0,0.0,0.09452922317604168
jetson_jetson_test_640x360_paced_software_native,0,81207296,61460480,61063168,24.996387954836127,0.0,0.0,0.09454271416292369
jetson_jetson_test_640x360_throughput_nvdec_rgb,0,87130112,67432448,63745024,407.1873519453808,281.44789766464714,562.8957953292943,1.5400864114961812
jetson_jetson_test_640x360_paced_nvdec_rgb,0,87351296,67608576,64097280,24.98301862306374,17.268262472261657,34.536524944523315,0.09449214794053228
jetson_jetson_test_640x360_paced_software_rgb,0,90714112,71098368,70378496,24.999398122712076,17.279583982418586,34.55916796483717,0.09455409938552434
jetson_jetson_test_640x360_throughput_software_native,0,87072768,67383296,66811904,722.1708646184376,0.0,0.0,2.73143438779133
jetson_jetson_test_640x360_throughput_software_rgb,0,91246592,71540736,70752256,216.78154063571068,149.83940088740323,299.67880177480646,0.8199230732516684
jetson_jetson_test_640x360_throughput_nvdec_rgb,1,85876736,66056192,62089216,416.37184140390974,287.7962167783824,575.5924335567648,1.574824492981354
jetson_jetson_test_640x360_paced_software_native,1,83148800,63332352,62969856,24.99665872682529,0.0,0.0,0.09454373829164264
jetson_jetson_test_640x360_throughput_software_native,1,85139456,65359872,64954368,731.2011341410515,0.0,0.0,2.7655891701476136
jetson_jetson_test_640x360_throughput_nvdec_native,1,82280448,62652416,56686592,1332.4979912369208,0.0,0.0,5.039847234560498
jetson_jetson_test_640x360_throughput_software_rgb,1,88481792,68784128,68154368,206.41434488486743,142.67359518442038,285.34719036884076,0.7807116949391701
jetson_jetson_test_640x360_paced_nvdec_rgb,1,83472384,63655936,57643008,24.984339698500886,17.269175599603813,34.538351199207625,0.09449714458475414
jetson_jetson_test_640x360_paced_software_rgb,1,86466560,66785280,66479104,25.001138285885833,17.280786783204288,34.561573566408576,0.0945606811264475
jetson_jetson_test_640x360_paced_nvdec_native,1,75599872,55930880,52338688,24.996675358295885,0.0,0.0,0.09454380119610602
jetson_jetson_test_640x360_paced_nvdec_rgb,2,83857408,64163840,60266496,24.982185249806424,17.2676864446662,34.5353728893324,0.09448899591033495
