stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,0,14095456447855,14095456672445,14095456773790,14095467736902,11.289047,0.101345,10.963112,15360
live,1,14095466447855,14095466687033,14095467941320,14095470492488,4.044633,1.254287,2.551168,15360
live,2,14095476447855,14095476608724,14095476887703,14095480240193,3.792338,0.278979,3.35249,15360
live,3,14095486447855,14095486593871,14095486882803,14095489993145,3.54529,0.288932,3.110342,15360
live,4,14095496447855,14095496581675,14095496871215,14095499875508,3.427653,0.28954,3.004293,15360
live,5,14095506447855,14095506619143,14095506982124,14095510884668,4.436813,0.362981,3.902544,15360
live,6,14095516447855,14095516652772,14095517035944,14095520994329,4.546474,0.383172,3.958385,15360
live,7,14095526447855,14095526676192,14095527067717,14095531187576,4.739721,0.391525,4.119859,15360
live,8,14095536447855,14095536672508,14095537060928,14095541023890,4.576035,0.38842,3.962962,15360
live,9,14095546447855,14095546607159,14095546689624,14095550693961,4.246106,0.082465,4.004337,15360
live,10,14095556447855,14095556616275,14095556703444,14095560712453,4.264598,0.087169,4.009009,15360
live,11,14095566447855,14095566606414,14095566691151,14095570752066,4.304211,0.084737,4.060915,15360
live,12,14095576447855,14095576608170,14095576725324,14095580937536,4.489681,0.117154,4.212212,15360
live,13,14095586447855,14095586606886,14095586688807,14095590832282,4.384427,0.081921,4.143475,15360
live,14,14095596447855,14095596609474,14095596691427,14095600972888,4.525033,0.081953,4.281461,15360
live,15,14095606447855,14095606624062,14095606717343,14095611095253,4.647398,0.093281,4.37791,15360
live,16,14095616447855,14095616622906,14095616717531,14095623906964,7.459109,0.094625,7.189433,15360
live,17,14095626447855,14095626601365,14095626656694,14095628867058,2.419203,0.055329,2.210364,15360
live,18,14095636447855,14095636568049,14095636624946,14095638900430,2.452575,0.056897,2.275484,15360
live,19,14095646447855,14095646600493,14095646669454,14095649414384,2.966529,0.068961,2.74493,15360
live,20,14095656447855,14095656781835,14095656890893,14095673720829,17.272974,0.109058,16.829936,15360
live,21,14095666447855,14095666718598,14095673913855,14095677170824,10.722969,7.195257,3.256969,15360
live,22,14095676447855,14095676682498,14095677298185,14095681029784,4.581929,0.615687,3.731599,15360
live,23,14095686447855,14095686609501,14095687332230,14095690691151,4.243296,0.722729,3.358921,15360
live,24,14095696447855,14095696582360,14095696652153,14095699575357,3.127502,0.069793,2.923204,15360
live,25,14095706447855,14095706589876,14095706679541,14095710637030,4.189175,0.089665,3.957489,15360
live,26,14095716447855,14095716622128,14095716709170,14095720805508,4.357653,0.087042,4.096338,15360
live,27,14095726447855,14095726606604,14095726685229,14095730632446,4.184591,0.078625,3.947217,15360
live,28,14095736447855,14095736603784,14095736679817,14095740718427,4.270572,0.076033,4.03861,15360
live,29,14095746447855,14095746604836,14095746699269,14095750593333,4.145478,0.094433,3.894064,15360
live,30,14095756447855,14095756611200,14095756687265,14095761159096,4.711241,0.076065,4.471831,15360
live,31,14095766447855,14095766608924,14095766702909,14095770875568,4.427713,0.093985,4.172659,15360
live,32,14095776447855,14095776602583,14095776696185,14095780989230,4.541375,0.093602,4.293045,15360
live,33,14095786447855,14095786609331,14095786703284,14095790888616,4.440761,0.093953,4.185332,15360
live,34,14095796447855,14095796607503,14095796692656,14095800940869,4.493014,0.085153,4.248213,15360
live,35,14095806447855,14095806605931,14095806694412,14095811217060,4.769205,0.088481,4.522648,15360
live,36,14095816447855,14095816602247,14095816688872,14095820895324,4.447469,0.086625,4.206452,15360
live,37,14095826447855,14095826640035,14095826742884,14095831013785,4.56593,0.102849,4.270901,15360
live,38,14095836447855,14095836627327,14095836726880,14095841148759,4.700904,0.099553,4.421879,15360
live,39,14095846447855,14095846627291,14095846732444,14095851345525,4.89767,0.105153,4.613081,15360
live,40,14095856447855,14095856639383,14095856726616,14095873456007,17.008152,0.087233,16.729391,15360
live,41,14095866447855,14095866663155,14095873642985,14095876360779,9.912924,6.97983,2.717794,15360
live,42,14095876447855,14095876611342,14095876691535,14095879302735,2.85488,0.080193,2.6112,15360
live,43,14095886447855,14095886595050,14095886660682,14095888638595,2.19074,0.065632,1.977913,15360
live,44,14095896447855,14095896563749,14095896626150,14095898729280,2.281425,0.062401,2.10313,15360
live,45,14095906447855,14095906593281,14095906663138,14095909203682,2.755827,0.069857,2.540544,15360
live,46,14095916447855,14095916619678,14095916712159,14095919429504,2.981649,0.092481,2.717345,15360
live,47,14095926447855,14095926609977,14095926692378,14095929650143,3.202288,0.082401,2.957765,15360
live,48,14095936447855,14095936609749,14095936700918,14095939634011,3.186156,0.091169,2.933093,15360
