09-13-2026 11:51:06 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,0%@729,4%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.593C Tboard@36C SOC2@42.281C Tdiode@36.75C SOC0@43.093C CV1@-256C GPU@-256C tj@45.593C SOC1@42.218C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/166mW VIN_SYS_5V0 2516mW/2598mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/376mW NC 0mW/0mW
09-13-2026 11:51:07 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,4%@729,13%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.937C Tboard@36C SOC2@42.281C Tdiode@36.75C SOC0@42.937C CV1@-256C GPU@-256C tj@45.937C SOC1@42.25C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/153mW VIN_SYS_5V0 2516mW/2592mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/370mW NC 0mW/0mW
09-13-2026 11:51:07 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,0%@729,9%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.75C Tboard@36C SOC2@42.187C Tdiode@36.5C SOC0@43.093C CV1@-256C GPU@-256C tj@45.75C SOC1@42.187C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/142mW VIN_SYS_5V0 2512mW/2586mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/365mW NC 0mW/0mW
09-13-2026 11:51:07 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,13%@729,4%@729,13%@729,4%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.593C Tboard@36C SOC2@42.375C Tdiode@36.5C SOC0@42.875C CV1@-256C GPU@-256C tj@45.593C SOC1@42.312C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/133mW VIN_SYS_5V0 2516mW/2581mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/361mW NC 0mW/0mW
09-13-2026 11:51:07 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,9%@729,4%@729,4%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.593C Tboard@36C SOC2@42.343C Tdiode@36.75C SOC0@43.093C CV1@-256C GPU@-256C tj@45.906C SOC1@42.25C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/124mW VIN_SYS_5V0 2512mW/2577mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/357mW NC 0mW/0mW
09-13-2026 11:51:08 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,5%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.531C Tboard@36C SOC2@42.343C Tdiode@36.75C SOC0@42.906C CV1@-256C GPU@-256C tj@45.531C SOC1@42.343C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/117mW VIN_SYS_5V0 2516mW/2573mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/354mW NC 0mW/0mW
09-13-2026 11:51:08 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,0%@729,18%@729,8%@729,0%@729,0%@729,0%@729,13%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.812C Tboard@36C SOC2@42.281C Tdiode@36.75C SOC0@43C CV1@-256C GPU@-256C tj@45.812C SOC1@42.25C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/110mW VIN_SYS_5V0 2512mW/2570mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/351mW NC 0mW/0mW
09-13-2026 11:51:08 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [20%@729,4%@729,20%@729,4%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.906C Tboard@36C SOC2@42.375C Tdiode@36.75C SOC0@43.031C CV1@-256C GPU@-256C tj@45.906C SOC1@42.25C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/105mW VIN_SYS_5V0 2516mW/2567mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/348mW NC 0mW/0mW
09-13-2026 11:51:08 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@729,0%@729,13%@729,4%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.531C Tboard@36C SOC2@42.437C Tdiode@36.75C SOC0@42.968C CV1@-256C GPU@-256C tj@45.656C SOC1@42.406C CV2@-256C VDD_GPU_SOC 1996mW/1995mW VDD_CPU_CV 0mW/99mW VIN_SYS_5V0 2516mW/2564mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/346mW NC 0mW/0mW
09-13-2026 11:51:09 RAM 3583/62801MB (lfb 13737x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@729,4%@729,0%@729,17%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] VIC_FREQ 115 APE 174 CV0@-256C CPU@45.781C Tboard@36C SOC2@42.312C Tdiode@36.75C SOC0@43.031C CV1@-256C GPU@-256C tj@45.781C SOC1@42.25C CV2@-256C VDD_GPU_SOC 1995mW/1995mW VDD_CPU_CV 0mW/95mW VIN_SYS_5V0 2516mW/2562mW NC 0mW/0mW VDDQ_VDD2_1V8AO 301mW/344mW NC 0mW/0mW
