stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,73,16570125382739,16570125541453,16570137056276,16570143864612,18.481873,11.514823,6.808336,30720
live,74,16570135382739,16570135597123,16570144021382,16570150875990,15.493251,8.424259,6.854608,30720
live,75,16570145382739,16570145536216,16570151004728,16570157783175,12.400436,5.468512,6.778447,30720
live,76,16570155382739,16570155589453,16570157916393,16570164728249,9.34551,2.32694,6.811856,30720
live,77,16570165382739,16570165622339,16570165708196,16570172591029,7.20829,0.085857,6.882833,30720
live,78,16570175382739,16570175537431,16570175612536,16570182346279,6.96354,0.075105,6.733743,30720
live,79,16570185382739,16570185526316,16570185594381,16570193390953,8.008214,0.068065,7.796572,30720
live,80,16570195382739,16570195523234,16570195589122,16570252819233,57.436494,0.065888,57.230111,30720
live,81,16570205382739,16570205591128,16570253012388,16570260723870,55.341131,47.42126,7.711482,30720
live,82,16570215382739,16570215569837,16570260894560,16570268477593,53.094854,45.324723,7.583033,30720
live,83,16570225382739,16570225550562,16570268640315,16570276250676,50.867937,43.089753,7.610361,30720
live,84,16570235382739,16570235535735,16570276383894,16570283490729,48.10799,40.848159,7.106835,30720
live,86,16570255382739,16570255527393,16570283641739,16570290496507,35.113768,28.114346,6.854768,30720
live,87,16570265382739,16570265569047,16570290629213,16570297594830,32.212091,25.060166,6.965617,30720
live,88,16570275382739,16570276064306,16570297731664,16570304572096,29.189357,21.667358,6.840432,30720
live,89,16570285382739,16570285571777,16570304708162,16570311445489,26.06275,19.136385,6.737327,30720
live,90,16570295382739,16570295541622,16570311565554,16570318396290,23.013551,16.023932,6.830736,30720
live,91,16570305382739,16570305529387,16570318517092,16570325349652,19.966913,12.987705,6.83256,30720
live,92,16570315382739,16570315553729,16570325475605,16570332341382,16.958643,9.921876,6.865777,30720
live,93,16570325382739,16570325626871,16570332462567,16570339257911,13.875172,6.835696,6.795344,30720
live,94,16570335382739,16570335543787,16570339377816,16570346710734,11.327995,3.834029,7.332918,30720
live,95,16570345382739,16570345559329,16570346823599,16570353569695,8.186956,1.26427,6.746096,30720
live,96,16570355382739,16570355532150,16570355593526,16570362332645,6.949906,0.061376,6.739119,30720
live,97,16570365382739,16570365513067,16570365579051,16570372442140,7.059401,0.065984,6.863089,30720
live,98,16570375382739,16570375515232,16570375579105,16570382510994,7.128255,0.063873,6.931889,30720
live,99,16570385382739,16570386459680,16570386582306,16570396520726,11.137987,0.122626,9.93842,30720
replay,99,16570385382739,16570386515937,16570386645922,16570917099981,531.717242,0.129985,530.454059,2338816
live,100,16570395382739,16570395739949,16570397213022,16570455861806,60.479067,1.473073,58.648784,30720
live,101,16570405382739,16570405826243,16570456057840,16570463811755,58.429016,50.231597,7.753915,30720
live,102,16570415382739,16570415592342,16570463989581,16570471635559,56.25282,48.397239,7.645978,30720
live,103,16570425382739,16570425567435,16570471783112,16570479330465,53.947726,46.215677,7.547353,30720
live,104,16570435382739,16570435548608,16570479476419,16570487134524,51.751785,43.927811,7.658105,30720
live,107,16570465382739,16570465570528,16570487273182,16570494776246,29.393507,21.702654,7.503064,30720
live,108,16570475382739,16570475549589,16570494930648,16570502741651,27.358912,19.381059,7.811003,30720
live,109,16570485382739,16570485658443,16570502872117,16570510525935,25.143196,17.213674,7.653818,30720
live,110,16570495382739,16570495549983,16570510663856,16570518233193,22.850454,15.113873,7.569337,30720
live,111,16570505382739,16570505569909,16570518371211,16570525444318,20.061579,12.801302,7.073107,30720
